Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,15,-0.4922,26,0.36903,18,-0.2147,17,-0.2833,12,-0.8162,17,-0.2798,23,0.20267,13,-0.6849,15,-0.4668,48,1.46418
ENSG00000188976,NOC2L,27,-1.1156,75,0.49278,53,-0.0477,42,-0.4332,37,-0.6226,51,-0.1236,74,0.48407,53,-0.0539,62,0.19597,77,0.53873
ENSG00000188290,HES4,89,0.59016,80,0.39787,71,0.21753,51,-0.3016,34,-0.9165,53,-0.2389,69,0.16682,59,-0.0751,45,-0.5003,69,0.17001
ENSG00000187608,ISG15,69,0.18748,69,0.19342,42,-0.5877,61,-0.0153,75,0.33170,55,-0.1621,69,0.17849,44,-0.5148,49,-0.3620,80,0.43544
ENSG00000188157,AGRN,30,-0.3225,36,-0.0086,62,0.88779,42,0.22818,21,-0.8357,30,-0.2903,33,-0.1373,40,0.14838,30,-0.2828,39,0.09766
ENSG00000078808,SDF4,86,0.08427,52,-0.7137,63,-0.4151,72,-0.2035,75,-0.1414,87,0.08831,84,0.03352,79,-0.0674,117,0.57895,106,0.41163
ENSG00000176022,B3GALT6,27,-0.0790,27,-0.1080,25,-0.2523,22,-0.4058,26,-0.1621,31,0.09435,34,0.26129,33,0.19328,28,-0.0312,36,0.34913
ENSG00000160087,UBE2J2,26,-0.7556,39,-0.1000,38,-0.1633,42,-0.0071,59,0.55181,22,-0.9800,42,-0.0059,46,0.16351,43,0.06327,62,0.63083
ENSG00000131584,ACAP3,92,-0.5469,186,0.57368,140,0.11186,126,-0.0606,77,-0.8252,87,-0.6339,98,-0.4504,145,0.16148,146,0.17980,211,0.78401
ENSG00000127054,INTS11,57,-0.2471,42,-0.7319,41,-0.7473,48,-0.5106,42,-0.7299,81,0.31743,64,-0.0510,88,0.45442,83,0.35901,120,0.97387
ENSG00000224051,CPTP,35,0.43953,12,-1.1811,10,-1.3831,23,-0.1990,9,-1.5267,25,-0.0895,43,0.80448,26,-0.0233,23,-0.2394,57,1.29688
ENSG00000107404,DVL1,95,0.40326,65,-0.2234,76,0.04506,55,-0.4759,52,-0.5485,91,0.32422,56,-0.4475,60,-0.3464,86,0.22850,108,0.60468
ENSG00000175756,AURKAIP1,97,-0.3022,123,0.06877,135,0.21956,185,0.74987,88,-0.4553,100,-0.2579,104,-0.1970,120,0.03148,99,-0.2791,126,0.10541
ENSG00000221978,CCNL2,47,-0.1862,41,-0.4009,36,-0.6159,44,-0.3161,43,-0.3432,64,0.28750,85,0.76194,87,0.81316,57,0.11419,29,-0.9414
ENSG00000242485,MRPL20,145,-0.2268,197,0.25807,176,0.07750,151,-0.1651,128,-0.4289,142,-0.2596,168,0.00405,204,0.31240,164,-0.0381,202,0.30345
ENSG00000179403,VWA1,47,1.09670,18,-0.4777,19,-0.3476,22,-0.1681,28,0.23783,19,-0.3215,18,-0.4374,9,-1.4228,44,0.99390,17,-0.5729
ENSG00000197785,ATAD3A,15,-0.1842,16,-0.1328,19,0.18059,23,0.48750,11,-0.6593,16,-0.0864,28,0.76841,9,-0.9148,15,-0.1769,19,0.11682
ENSG00000205090,TMEM240,22,-0.8972,25,-0.6898,51,0.42385,54,0.52272,39,-0.0071,54,0.53843,37,-0.0832,38,-0.0349,32,-0.3096,38,-0.0268
