Cluster,Description,geneID,p.adjust,GeneRatio,ONTOLOGY,n_valid,valid_genes,n_valid_anc,valid_genes_anc,GeneRatio_num
"Oligo-3_down_AA, Oligo-3_down_EA",external side of plasma membrane,ENOX1,0.03673140418202525,1/2,CC,0,,0,,0.5
Oligo-3_down_ALL,myelin sheath,CNP/DLG1/GPM6B/MAG/MAL/MBP/PLLP/PLP1/ERMN/CA2,3.1264414174074635e-6,10/287,CC,1,ERMN,0,,0.03484320557491289
Oligo-3_down_ALL,main axon,DLG1/DLG2/BIN1/ANK3/MAG/MAPT/MBP/ERMN/SPOCK1,0.001426299395591854,9/287,CC,1,ERMN,0,,0.0313588850174216
Oligo-3_down_ALL,cell-cell junction,SDCCAG8/RAB10/SHROOM1/DLG1/DLG2/GAB1/CDH20/CDH19/ANK3/P2RX7/PCDH9/PKD2/KLHL24/SHROOM4/RDX/STRN/CD99L2/CDC42BPA/FRMD5/KRIT1/OPALIN/AKAP6/MAGI2,0.005658842216494309,23/287,CC,1,OPALIN,0,,0.08013937282229965
Oligo-3_down_ALL,neuromuscular junction,COL4A5/DLG1/DLG2/ANK3/P2RX7/PSEN1/SPOCK1/SYNGR2,0.008325390556448613,8/287,CC,0,,0,,0.027874564459930314
Oligo-3_down_ALL,compact myelin,MAG/MAL/MBP/PLLP,0.009343803239388045,4/287,CC,0,,0,,0.013937282229965157
Oligo-3_down_ALL,node of Ranvier,DLG1/BIN1/ANK3/SPOCK1,0.027972079918442506,4/287,CC,0,,0,,0.013937282229965157
Oligo-3_down_ALL,adherens junction,RAB10/SHROOM1/DLG1/DLG2/CDH20/CDH19/KLHL24/SHROOM4/RDX/CD99L2/FRMD5,0.03810304763083026,11/287,CC,0,,0,,0.03832752613240418
Oligo-3_down_ALL,neuronal cell body,CRYAB/DLG2/LPAR1/WHRN/MAPT/MBP/NUMA1/P2RX7/PDE1C/KLHL24/PSEN1/ERMN/SORCS2/SHTN1/PTPRF/SLC12A2/STRN/TTLL7/UNC5C/WASHC5,0.03810304763083026,20/287,CC,2,LPAR1/ERMN,0,,0.06968641114982578
Oligo-3_up_AA,neuronal cell body,TUBB3/OLFM1/BAIAP2/CPLX2/CPLX1/NRSN1/ENO2/INPP5F/NCDN/FLNA/VPS13A/GRIP1/MAPK8IP2/SEZ6L2/GFRA1/GRM5/HSP90AB1/KCNC1/MAP2/ASTN1/ATP2B2/PLXDC1/SLC12A5/PTPRN/RAP1GAP/CX3CL1/RTN4R/SLC8A2/SNAP25/SORL1/SYT4/SYT5/TAC1/UCHL1/VGF/RNF112/CACNA1B/LRP8/KCNIP4/GRIP2/CAPN2/ENC1/UNC5A/SV2A,8.131264351044707e-14,44/327,CC,1,ENC1,0,,0.1345565749235474
Oligo-3_up_AA,synaptic vesicle,RAB3C/SYNPR/DMXL2/CBARP/RAB26/GRIN1/ICA1/SLC6A17/SEPTIN5/SLC17A7/SYT13/RAB3B/SNAP25/STX1A/SYP/SYT4/SYT5/RNF112/SLC30A3/MCTP1/DOC2A/SYNGR3/SNAP91/SV2A,1.2083509845089188e-8,24/327,CC,1,SLC17A7,0,,0.07339449541284404
Oligo-3_up_AA,synaptic vesicle membrane,RAB3C/SYNPR/DMXL2/CBARP/RAB26/ICA1/SLC6A17/SLC17A7/SYT13/RAB3B/STX1A/SYP/SYT4/SYT5/SLC30A3/MCTP1/DOC2A/SYNGR3/SV2A,1.2083509845089188e-8,19/327,CC,1,SLC17A7,0,,0.0581039755351682
Oligo-3_up_AA,exocytic vesicle membrane,RAB3C/SYNPR/DMXL2/CBARP/RAB26/ICA1/SLC6A17/SLC17A7/SYT13/RAB3B/STX1A/SYP/SYT4/SYT5/SLC30A3/MCTP1/DOC2A/SYNGR3/SV2A,1.2083509845089188e-8,19/327,CC,1,SLC17A7,0,,0.0581039755351682
Oligo-3_up_AA,exocytic vesicle,RAB3C/SYNPR/DMXL2/CBARP/RAB26/GRIN1/ICA1/SLC6A17/SEPTIN5/SLC17A7/SYT13/RAB3B/SNAP25/STX1A/SYP/SYT4/SYT5/RNF112/SLC30A3/MCTP1/DOC2A/SYNGR3/SNAP91/SV2A,2.3740294897547217e-8,24/327,CC,1,SLC17A7,0,,0.07339449541284404
Oligo-3_up_AA,synaptic membrane,BAIAP2/ELFN2/CNR1/DBN1/DNM1/EFNB3/SORCS3/GRIP1/GABRB3/ERC2/GRIN1/GRM5/KCNC1/NRCAM/ATP2B2/PDE2A/SUSD4/CACNA2D3/SLC12A5/KCTD16/CADM3/SCN2A/SLC6A7/SNAP25/STXBP1/SYP/LRP8/GRIP2/NETO1/ADAM23/CLSTN3/RIMS3/SNAP91,2.3740294897547217e-8,33/327,CC,0,,0,,0.10091743119266056
