Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to8,Feature log2 fold change topic 2to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,3,-2.7843,25,0.75301,33,0.64143,8,-1.4472
ENSG00000188976,NOC2L,106,1.01392,57,-0.0087,47,-0.3342,21,-1.5308
ENSG00000188290,HES4,101,0.15128,82,-0.4792,222,1.51615,21,-2.2397
ENSG00000187608,ISG15,57,-0.4811,75,-0.1462,117,0.68447,74,-0.0574
ENSG00000188157,AGRN,3,-3.0497,32,0.80057,33,0.25705,19,-0.6295
ENSG00000078808,SDF4,50,-0.5555,73,0.09650,77,0.13167,77,0.11397
ENSG00000176022,B3GALT6,3,-3.0453,32,1.12258,29,0.15347,11,-1.3709
ENSG00000160087,UBE2J2,3,-3.6690,49,1.08488,30,-0.4958,35,-0.2328
ENSG00000131584,ACAP3,351,1.66857,118,-0.5276,86,-0.7037,76,-0.8784
ENSG00000127054,INTS11,94,0.55843,59,-0.5147,81,0.30699,79,0.27229
ENSG00000224051,CPTP,3,-3.2239,34,0.59669,43,0.56077,20,-0.6010
ENSG00000107404,DVL1,3,-4.4566,84,1.06338,69,-0.0311,47,-0.6281
ENSG00000175756,AURKAIP1,122,-0.2042,133,-0.2138,219,0.74959,120,-0.2279
ENSG00000221978,CCNL2,236,2.19495,49,-1.2353,58,-0.2962,57,-0.3137
ENSG00000242485,MRPL20,426,1.24861,182,-0.4905,156,-0.4173,184,-0.1654
ENSG00000179403,VWA1,79,0.43342,22,-2.7663,80,0.45479,292,3.06599
ENSG00000197785,ATAD3A,3,-2.2661,18,0.83832,15,-0.0497,11,-0.4789
ENSG00000205090,TMEM240,77,0.39749,68,0.63626,43,-0.5459,10,-2.6210
ENSG00000160075,SSU72,42,-1.8854,163,0.74583,126,-0.2132,125,-0.2236
ENSG00000228594,FNDC10,67,0.90024,38,-0.0977,44,0.20515,11,-1.8895
ENSG00000272106,AL691432.2,45,0.75651,27,-0.1902,15,-0.9185,32,0.22366
ENSG00000197530,MIB2,72,0.91469,37,-0.4644,46,0.16270,36,-0.2073
ENSG00000189339,SLC35E2B,3,-3.9679,63,1.46956,43,-0.2439,20,-1.3710
ENSG00000008130,NADK,64,1.10944,33,0.06686,17,-1.0004,14,-1.2590
ENSG00000078369,GNB1,97,-2.1235,462,1.02663,394,0.01071,189,-1.1314
ENSG00000187730,GABRD,55,-1.3881,171,1.64359,100,-0.4881,8,-4.0859
ENSG00000067606,PRKCZ,81,-1.3658,233,1.07571,159,-0.3356,91,-1.1807
ENSG00000162585,FAAP20,71,0.31060,56,-0.2341,71,0.32140,54,-0.1309
ENSG00000157933,SKI,11,-1.5996,33,0.33694,33,0.09371,35,0.18257
ENSG00000157916,RER1,191,1.52614,66,-0.7128,69,-0.2042,64,-0.3106
ENSG00000157911,PEX10,55,0.76281,30,-0.5934,35,0.03562,45,0.45062
ENSG00000149527,PLCH2,3,-2.8321,26,0.79051,28,0.30987,14,-0.7456
ENSG00000157881,PANK4,47,1.24224,20,-0.4728,23,0.01531,14,-0.7039
ENSG00000197921,HES5,3,-2.3887,15,-0.5557,62,2.36653,0,-6.2651
ENSG00000157870,PRXL2B,3,-4.2198,72,1.20098,71,0.26764,20,-1.6931
ENSG00000177133,PRDM16-DT,114,2.27785,23,-1.2199,38,0.27608,10,-1.8043
ENSG00000158109,TPRG1L,39,-2.0868,191,1.36918,136,-0.2097,45,-1.8874
ENSG00000130764,LRRC47,3,-4.4555,88,1.53284,48,-0.5949,39,-0.9206
ENSG00000116198,CEP104,3,-2.2263,15,-0.0588,17,0.18216,26,0.91777
ENSG00000196581,AJAP1,3,-3.4004,44,2.00626,16,-1.1088,12,-1.5325
ENSG00000069424,KCNAB2,117,-1.1540,303,1.35453,198,-0.3517,39,-2.7825
ENSG00000116254,CHD5,24,-2.6042,177,2.05830,81,-0.8105,21,-2.7931
ENSG00000116251,RPL22,760,0.55006,393,-1.1812,833,0.70617,1083,1.16540
ENSG00000116237,ICMT,17,-1.0735,38,0.39663,44,0.35628,25,-0.5414
ENSG00000158292,GPR153,3,-2.2494,18,1.03873,22,0.61590,0,-4.6972
ENSG00000097021,ACOT7,200,-0.3377,292,1.02544,162,-0.6626,68,-1.9732
ENSG00000215788,TNFRSF25,93,1.69855,30,-0.6296,41,0.27963,5,-2.8858
ENSG00000171680,PLEKHG5,3,-3.2937,40,1.83669,24,-0.4038,5,-2.5634
ENSG00000162408,NOL9,3,-3.3211,38,1.01223,40,0.34438,13,-1.3919
ENSG00000162413,KLHL21,3,-3.4240,37,0.40200,49,0.56621,32,-0.1092
ENSG00000041988,THAP3,3,-2.6373,23,0.70233,26,0.42494,12,-0.7711
ENSG00000007923,DNAJC11,3,-3.7509,53,1.32964,24,-0.8987,35,-0.3294
ENSG00000171735,CAMTA1,3,-5.4792,175,1.25494,125,-0.2243,90,-0.7270
ENSG00000049245,VAMP3,3,-3.3600,17,-2.0260,67,1.18563,141,2.72391
ENSG00000049246,PER3,3,-3.0180,25,-0.2659,30,0.24224,55,1.26182
ENSG00000116288,PARK7,301,-0.0859,306,-0.1777,453,0.57883,284,-0.1787
ENSG00000116285,ERRFI1,3,-2.2180,18,1.18841,7,-1.0241,12,-0.2928
ENSG00000162426,SLC45A1,3,-3.3899,38,0.73424,60,0.93926,6,-2.5417
ENSG00000142599,RERE,35,-1.3536,92,0.45828,87,0.04232,79,-0.1085
ENSG00000074800,ENO1,345,-0.9355,655,0.20416,952,0.68106,409,-0.6757
ENSG00000171612,SLC25A33,3,-3.2442,27,-0.5740,100,2.10917,16,-0.9646
ENSG00000188807,TMEM201,220,3.76323,16,-2.3262,9,-2.0528,20,-0.9330
ENSG00000171608,PIK3CD,3,-2.3188,19,1.07163,18,0.19827,5,-1.6358
ENSG00000171603,CLSTN1,344,-0.9827,773,1.13328,519,-0.3483,193,-1.8480
ENSG00000178585,CTNNBIP1,3,-3.3295,37,0.72678,41,0.38834,22,-0.6114
ENSG00000162441,LZIC,3,-3.3030,27,-0.6918,58,0.99329,69,1.31717
ENSG00000130939,UBE4B,3,-3.1724,36,1.57023,15,-0.9899,17,-0.7751
ENSG00000054523,KIF1B,72,-1.9317,291,0.76457,190,-0.4691,252,-0.0185
ENSG00000142657,PGD,49,0.04686,51,0.41251,25,-0.9943,41,-0.2075
ENSG00000241563,CORT,3,-4.2670,65,0.19969,143,1.41746,23,-1.5258
ENSG00000160049,DFFA,124,2.08358,29,-1.0806,27,-0.5201,32,-0.2885
ENSG00000142655,PEX14,3,-3.2425,41,2.47496,11,-1.5000,6,-2.2930
ENSG00000120948,TARDBP,3,-4.1034,61,0.52453,59,0.10251,65,0.24764
ENSG00000116649,SRM,171,0.69299,105,-0.2982,148,0.45166,68,-0.7762
ENSG00000171824,EXOSC10,38,0.64688,23,-0.4687,28,0.15932,29,0.20745
ENSG00000198793,MTOR,3,-3.6650,50,1.35137,33,-0.3552,22,-0.9270
ENSG00000116661,FBXO2,393,0.36917,246,-0.9272,739,1.47441,274,-0.2104
ENSG00000132879,FBXO44,92,-0.6187,162,1.03645,85,-0.7419,59,-1.3043
ENSG00000116670,MAD2L2,35,0.29118,27,-0.3809,34,0.25348,36,0.31634
ENSG00000177674,AGTRAP,46,1.17218,9,-2.5477,82,2.32383,36,0.74593
ENSG00000177000,MTHFR,3,-2.1201,15,0.44799,22,0.77246,7,-0.9434
ENSG00000011021,CLCN6,3,-4.0375,63,1.05668,44,-0.2991,43,-0.3285
ENSG00000116685,KIAA2013,53,0.48234,34,-0.6112,48,0.32447,55,0.54066
ENSG00000083444,PLOD1,138,2.42950,20,-1.8669,61,0.85455,25,-0.6038
