Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,146,3.04474,2,-4.0170,40,0.44011,10,-1.7290,20,-0.7510,6,-2.5238,0,-5.6382
ENSG00000188976,NOC2L,146,1.81698,47,-0.1850,64,0.36202,40,-0.4497,23,-1.3771,17,-1.6947,51,-0.0690
ENSG00000188290,HES4,146,-0.1117,776,3.27861,64,-1.5118,40,-2.0884,106,-0.6935,13,-3.7129,97,-0.7545
ENSG00000187608,ISG15,146,0.40484,144,0.38194,129,0.23070,21,-2.5498,152,0.55597,60,-1.0167,95,-0.3035
ENSG00000188157,AGRN,146,1.84759,80,0.71614,53,0.03436,29,-0.9020,29,-0.9908,19,-1.5259,29,-0.8947
ENSG00000078808,SDF4,146,0.76776,182,1.15949,74,-0.4039,76,-0.3137,52,-0.9804,41,-1.2490,134,0.61648
ENSG00000176022,B3GALT6,146,1.81613,46,-0.2331,52,-0.0216,29,-0.9156,47,-0.1997,16,-1.8153,39,-0.4669
ENSG00000160087,UBE2J2,146,1.61008,55,-0.1027,71,0.37805,36,-0.7703,36,-0.8618,24,-1.3420,51,-0.2080
ENSG00000131584,ACAP3,146,0.52959,93,-0.2193,163,0.84829,56,-1.0101,98,-0.1458,67,-0.7230,73,-0.5947
ENSG00000127054,INTS11,146,1.38196,117,0.96458,54,-0.3515,21,-1.7173,55,-0.3336,57,-0.2307,34,-1.0346
ENSG00000224051,CPTP,146,2.10425,36,-0.4084,49,0.09553,15,-1.7286,47,0.03854,22,-1.1101,5,-3.3023
ENSG00000107404,DVL1,146,0.79751,147,0.80451,78,-0.2670,57,-0.7222,64,-0.6121,67,-0.4863,115,0.38836
ENSG00000175756,AURKAIP1,146,-0.3400,211,0.25115,171,-0.1090,214,0.27427,208,0.25909,141,-0.4033,161,-0.1906
ENSG00000221978,CCNL2,146,1.15917,108,0.62308,62,-0.3170,33,-1.2436,53,-0.5863,60,-0.3284,89,0.29803
ENSG00000242485,MRPL20,146,-0.3297,152,-0.2680,209,0.28297,163,-0.1568,153,-0.2978,182,0.02287,252,0.55825
ENSG00000179403,VWA1,146,1.00662,160,1.17245,21,-2.2083,31,-1.4695,23,-2.0601,90,0.17597,212,1.70946
ENSG00000205090,TMEM240,146,1.39951,8,-3.1067,112,1.10881,56,-0.2417,61,-0.1336,12,-2.5295,19,-1.8719
ENSG00000160075,SSU72,146,-0.0750,111,-0.5070,167,0.15526,166,0.13250,162,0.10314,123,-0.3476,175,0.21773
ENSG00000228594,FNDC10,146,1.79858,33,-0.7701,61,0.24873,35,-0.6507,63,0.29934,14,-2.0547,5,-3.3492
ENSG00000197530,MIB2,146,1.67750,50,-0.1938,59,0.08665,53,-0.1167,36,-0.8056,25,-1.2359,45,-0.3587
ENSG00000008130,NADK,146,2.55642,36,-0.0934,13,-1.7721,23,-0.7516,31,-0.3569,8,-2.3040,40,0.09815
ENSG00000078369,GNB1,146,-1.4712,339,-0.1722,425,0.22120,514,0.51111,442,0.29818,223,-0.8306,443,0.26140
ENSG00000187730,GABRD,146,0.66833,20,-2.3839,192,1.43235,47,-1.1474,131,0.56152,6,-4.0562,15,-2.7674
ENSG00000067606,PRKCZ,146,-0.5171,85,-1.3563,331,0.99624,237,0.25346,250,0.40234,134,-0.6560,59,-1.8821
ENSG00000162585,FAAP20,146,0.63057,135,0.49562,49,-1.2324,94,-0.0968,114,0.24515,99,-0.0125,101,0.00898
ENSG00000157933,SKI,146,1.41710,86,0.47135,44,-0.6835,32,-1.0914,44,-0.6709,68,0.08104,74,0.21430
ENSG00000157916,RER1,146,0.98637,147,0.99153,55,-0.6967,38,-1.2052,64,-0.4337,79,-0.0619,88,0.12029
ENSG00000157911,PEX10,146,1.90649,8,-2.7986,36,-0.6077,27,-1.0026,38,-0.5175,29,-0.8677,99,1.14157
ENSG00000149527,PLCH2,146,2.66330,15,-1.3608,34,-0.1424,8,-2.2785,28,-0.4551,4,-3.1319,31,-0.2619
ENSG00000157870,PRXL2B,146,1.47896,19,-1.8310,94,0.81288,58,-0.1101,50,-0.3876,33,-1.0099,18,-1.9187
ENSG00000177133,PRDM16-DT,146,3.01020,38,0.28244,0,-5.9301,29,-0.1339,35,0.14223,3,-3.4390,2,-3.9158
ENSG00000158109,TPRG1L,146,-0.0371,81,-0.9707,278,1.29317,152,0.02746,143,-0.0796,59,-1.4361,67,-1.2592
ENSG00000130764,LRRC47,146,0.82178,40,-1.2433,122,0.60279,135,0.67605,71,-0.4057,40,-1.2487,58,-0.6787
ENSG00000196581,AJAP1,146,2.51969,30,-0.3984,39,0.00234,11,-1.8907,36,-0.1218,4,-3.1282,6,-2.7154
ENSG00000069424,KCNAB2,146,-0.3624,28,-2.8570,262,0.69948,211,0.22500,279,0.83555,40,-2.3060,145,-0.3792
ENSG00000116254,CHD5,146,0.32191,11,-3.5813,236,1.43497,121,0.01515,138,0.26189,36,-1.8589,19,-2.7640
ENSG00000116251,RPL22,146,-2.2244,1270,1.21856,341,-1.0530,448,-0.5329,476,-0.4879,1118,0.98631,1016,0.81551
ENSG00000116237,ICMT,146,2.07871,49,0.08080,48,0.06333,18,-1.4632,28,-0.8803,28,-0.8010,26,-0.8921
ENSG00000097021,ACOT7,146,-0.7011,88,-1.4733,435,1.36249,196,-0.2419,264,0.27594,93,-1.3926,131,-0.8717
ENSG00000171680,PLEKHG5,146,2.31674,22,-1.0266,61,0.74190,15,-1.6100,27,-0.7480,6,-2.9200,13,-1.8230
ENSG00000162408,NOL9,146,1.92086,44,-0.2282,48,-0.0824,57,0.19561,26,-1.1180,18,-1.6011,40,-0.3608
ENSG00000162413,KLHL21,146,2.28818,45,0.10290,28,-0.7348,17,-1.3689,30,-0.5883,8,-2.4689,49,0.23303
ENSG00000007923,DNAJC11,146,1.91028,23,-1.2073,58,0.26883,26,-1.0356,53,0.08260,28,-0.8956,9,-2.5999
ENSG00000171735,CAMTA1,146,-0.0022,92,-0.7316,214,0.75179,148,0.01508,127,-0.2553,76,-1.0226,173,0.26970
ENSG00000049245,VAMP3,146,1.35999,124,1.05840,14,-2.5054,40,-0.8120,20,-1.9623,104,0.74977,117,0.94679
ENSG00000049246,PER3,146,2.37561,8,-2.3656,12,-1.9461,31,-0.4160,25,-0.8827,35,-0.2373,73,0.98315
