cell_type,enrichment_top5,MeanRatio_top5,overlap_top10
Micro.1,"GPNMB, ENSG00000234428, ENSG00000266846, BRWD3, ENSG00000286153","IL6R, TALAM1, MAP4K3, NLK, PPARD",NA
Micro.2,"IL1RAPL1, PCDH9, LRRC7, FYN, PLCB1",NA,NA
Micro.3,"EIF1B-AS1, MYRIP, FBXL17, SPATS2L, ATF7IP","TM6SF1, FBXL17, CACNA1D, ENSG00000285367, GGTA1",FBXL17
Micro.4,"CDIN1, UGGT2, DCTN4, MS4A4A, COG5","CDIN1, FKBP5, SLC2A5, SNX9, IGSF21","CDIN1, UGGT2, WDFY2"
Micro.5,"EIF1B-AS1, SYT1, CDIN1, ENSG00000289474, TSPAN5","EIF1B-AS1, PCDH9, FRMD4A",EIF1B-AS1
