"","cluster","type","scores","ncells","confident"
"1","k20c01","Astrocytes",128653.229113972,19752,TRUE
"2","k20c02","GABAergic neurons",36426.129230518,8148,TRUE
"3","k20c03","Oligodendrocytes",7220.23260304806,3890,TRUE
"4","k20c04","GABAergic neurons",8111.31699345911,1747,TRUE
"5","k20c05","Microglial cells",54838.5048641598,11068,TRUE
"6","k20c06","Glutamatergic neurons",3147.39210769882,662,TRUE
"7","k20c07","Oligodendrocytes",73546.284974816,19327,TRUE
"8","k20c08","GABAergic neurons",6847.05620207764,1088,TRUE
"9","k20c09","Glutamatergic neurons",11893.4576051791,2321,TRUE
"10","k20c10","Glutamatergic neurons",13442.833608112,3570,TRUE
"11","k20c11","Microglial cells",15114.4444039068,3734,TRUE
"12","k20c12","Glutamatergic neurons",45635.999854844,8999,TRUE
"13","k20c13","Glutamatergic neurons",11885.4344554105,2185,TRUE
"14","k20c14","Oligodendrocytes",62972.1000402628,9074,TRUE
"15","k20c15","Oligodendrocyte precursor cells",102190.075800166,13154,TRUE
"16","k20c16","Glutamatergic neurons",3810.01989846743,726,TRUE
"17","k20c17","Astrocytes",1563.5482885474,650,TRUE
"18","k20c18","Oligodendrocytes",1347.14510530539,238,TRUE
"19","k20c19","Glutamatergic neurons",1147.80250386083,220,TRUE
"20","k20c20","Endothelial cells",4442.47599796604,1491,TRUE
"21","k20c21","Microglial cells",2168.77696572641,1455,TRUE
"22","k20c22","Glutamatergic neurons",157.395549067582,109,TRUE
"23","k20c23","Astrocytes",12690.8626994684,2313,TRUE
"24","k20c24","Glutamatergic neurons",562.2694183203,129,TRUE
"25","k20c25","Oligodendrocytes",144326.719174656,21993,TRUE
"26","k20c26","Glutamatergic neurons",293.491118923502,56,TRUE
"27","k20c27","Glutamatergic neurons",589.439960847411,119,TRUE
"28","k20c28","Microglial cells",1353.61678062003,356,TRUE
"29","k20c29","Astrocytes",1262.2432142837,209,TRUE
"30","k20c30","Glutamatergic neurons",1246.18573239369,256,TRUE
"31","k20c31","Glutamatergic neurons",1523.06048152798,317,TRUE
"32","k20c32","Glutamatergic neurons",499.596091698217,457,TRUE
"33","k20c33","Astrocytes",1672.34186673395,306,TRUE
