"","cluster","type","scores","ncells","confident"
"1","k10c01","Glutamatergic neurons",3623.28194548078,707,TRUE
"2","k10c02","Oligodendrocytes",11448.1825001243,5717,TRUE
"3","k10c03","GABAergic neurons",10444.7762153668,2427,TRUE
"4","k10c04","Endothelial cells",4988.32119042607,1693,TRUE
"5","k10c05","Glutamatergic neurons",774.011583733783,157,TRUE
"6","k10c06","Glutamatergic neurons",117.522051551427,89,TRUE
"7","k10c07","Mature neurons",1617.4060166178,404,TRUE
"8","k10c08","Microglial cells",9532.92092497851,2608,TRUE
"9","k10c09","GABAergic neurons",28849.5814649088,6317,TRUE
"10","k10c10","Oligodendrocytes",4194.40266033675,2395,TRUE
"11","k10c11","Astrocytes",55063.5743830307,8170,TRUE
"12","k10c12","Glutamatergic neurons",7461.69317077711,2184,TRUE
"13","k10c13","Astrocytes",769.342401410824,627,TRUE
"14","k10c14","Glutamatergic neurons",8700.83960659458,1607,TRUE
"15","k10c15","Glutamatergic neurons",42781.359764203,8250,TRUE
"16","k10c16","Oligodendrocytes",60626.0988942552,12833,TRUE
"17","k10c17","GABAergic neurons",3391.20661427408,588,TRUE
"18","k10c18","Oligodendrocyte precursor cells",103448.382885304,13345,TRUE
"19","k10c19","Oligodendrocytes",105464.544615852,15354,TRUE
"20","k10c20","Microglial cells",41980.3198194583,8555,TRUE
"21","k10c21","Astrocytes",75231.3966820925,11902,TRUE
"22","k10c22","Microglial cells",15784.9425959178,3041,TRUE
"23","k10c23","Glutamatergic neurons",3527.29783909503,740,TRUE
"24","k10c24","Glutamatergic neurons",3620.2925841991,686,TRUE
"25","k10c25","Astrocytes",12681.2196981489,2413,TRUE
"26","k10c26","Glutamatergic neurons",1258.18643057861,258,TRUE
"27","k10c27","Glutamatergic neurons",4998.85771198485,994,TRUE
"28","k10c28","Microglial cells",2853.39647647277,650,TRUE
"29","k10c29","Glutamatergic neurons",1008.38104821296,193,TRUE
"30","k10c30","Oligodendrocytes",1401.15187250844,257,TRUE
"31","k10c31","Glutamatergic neurons",1046.3396430179,218,TRUE
"32","k10c32","Astrocytes",2182.9755454403,397,TRUE
"33","k10c33","Glutamatergic neurons",598.420326148085,127,TRUE
"34","k10c34","Oligodendrocytes",4888.6366632779,707,TRUE
"35","k10c35","Glutamatergic neurons",3340.96765315354,639,TRUE
"36","k10c36","Glutamatergic neurons",3063.13616873165,639,TRUE
"37","k10c37","Glutamatergic neurons",150.952100037131,29,TRUE
"38","k10c38","Microglial cells",285.254186607933,158,TRUE
"39","k10c39","Astrocytes",360.871453951457,420,TRUE
"40","k10c40","Glutamatergic neurons",492.560111526086,115,TRUE
"41","k10c41","Astrocytes",1265.19883810708,209,TRUE
"42","k10c42","Astrocytes",280.027372274533,288,TRUE
"43","k10c43","GABAergic neurons",3991.97204969511,602,TRUE
"44","k10c44","GABAergic neurons",958.9468422159,207,TRUE
"45","k10c45","Oligodendrocyte precursor cells",12291.9231871205,1693,TRUE
"46","k10c46","Oligodendrocytes",437.309441005452,76,TRUE
"47","k10c47","GABAergic neurons",2572.38815616428,527,TRUE
"48","k10c48","Oligodendrocyte precursor cells",1331.30883257279,202,TRUE
"49","k10c49","Microglial cells",781.725323021017,211,TRUE
"50","k10c50","Oligodendrocyte precursor cells",357.176209384519,56,TRUE
"51","k10c51","Glutamatergic neurons",1046.10823400265,198,TRUE
"52","k10c52","Oligodendrocyte precursor cells",527.885783388109,77,TRUE
"53","k10c53","Astrocytes",1002.74900325198,392,TRUE
"54","k10c54","Oligodendrocytes",97808.6890411025,15150,TRUE
"55","k10c55","Astrocytes",309.746523614007,81,TRUE
"56","k10c56","Glutamatergic neurons",6642.83727879351,1390,TRUE
"57","k10c57","Glutamatergic neurons",194.675045214988,37,TRUE
"58","k10c58","Glutamatergic neurons",123.053198554842,24,TRUE
"59","k10c59","Astrocytes",60.5684005908294,14,TRUE
"60","k10c60","Glutamatergic neurons",132.220710579141,31,TRUE
"61","k10c61","Glutamatergic neurons",32.7681942141503,15,TRUE
"62","k10c62","Oligodendrocytes",149.268660039168,29,TRUE
