Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to7,Feature log2 fold change topic 3to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,4,-2.3118,12,-0.6997,25,0.85844,17,-0.2157
ENSG00000188976,NOC2L,19,-1.1951,46,0.18880,44,0.23522,41,0.00437
ENSG00000188290,HES4,35,-0.8129,24,-1.4067,65,0.26492,71,0.35786
ENSG00000187608,ISG15,74,0.68244,36,-0.4966,53,0.26133,38,-0.5167
ENSG00000188157,AGRN,26,0.48429,24,0.35409,21,0.22663,13,-0.7603
ENSG00000078808,SDF4,64,0.05024,118,1.09461,58,-0.1817,48,-0.4684
ENSG00000176022,B3GALT6,19,-0.7143,25,-0.2664,34,0.40128,28,-0.1193
ENSG00000160087,UBE2J2,22,-0.6705,34,0.03826,36,0.25367,32,-0.0799
ENSG00000131584,ACAP3,59,0.04432,44,-0.4351,63,0.26529,53,-0.1731
ENSG00000169972,PUSL1,10,-0.0846,7,-0.4883,13,0.58983,8,-0.5130
ENSG00000127054,INTS11,43,-0.0543,42,-0.0831,54,0.66271,29,-0.8180
ENSG00000224051,CPTP,15,-0.9733,11,-1.4341,35,0.66132,28,-0.0392
ENSG00000107404,DVL1,59,0.09648,57,0.05568,54,-0.0575,55,0.00179
ENSG00000175756,AURKAIP1,146,-0.1377,131,-0.3157,168,0.15139,160,0.00072
ENSG00000221978,CCNL2,58,0.42734,42,-0.1076,50,0.33331,32,-0.6118
ENSG00000224870,MRPL20-AS1,15,0.48756,17,0.69644,10,-0.2460,9,-0.3230
ENSG00000242485,MRPL20,176,-0.1638,205,0.07573,201,0.08676,189,-0.0700
ENSG00000235098,ANKRD65,32,0.61746,16,-0.4889,25,0.48642,14,-0.8002
ENSG00000179403,VWA1,217,2.95541,95,1.20966,17,-2.1127,22,-1.3389
ENSG00000197785,ATAD3A,9,-0.5922,17,0.40484,15,0.30721,11,-0.3619
ENSG00000205090,TMEM240,14,-1.5181,18,-1.0972,38,0.07191,50,0.64238
ENSG00000160075,SSU72,90,-0.6333,115,-0.2578,156,0.43706,123,-0.1909
ENSG00000228594,FNDC10,6,-2.3529,25,-0.2288,33,0.45376,30,0.09575
ENSG00000272106,AL691432.2,21,0.23940,16,-0.2053,17,-0.1541,20,0.15370
ENSG00000197530,MIB2,19,-0.7526,25,-0.3569,33,0.16485,34,0.19918
ENSG00000189339,SLC35E2B,17,0.12585,15,-0.0729,17,0.21664,14,-0.2951
ENSG00000215790,SLC35E2A,20,-0.3126,17,-0.5683,26,0.14211,26,0.15852
ENSG00000008130,NADK,12,-0.9897,28,0.39344,24,0.23259,21,-0.1442
ENSG00000078369,GNB1,226,-0.9349,432,0.07637,442,0.21086,417,0.02554
ENSG00000187730,GABRD,9,-3.9251,23,-2.6146,198,1.60009,98,-0.5788
ENSG00000067606,PRKCZ,98,-0.8486,142,-0.2862,188,0.30632,173,0.03755
ENSG00000162585,FAAP20,67,0.66998,53,0.27021,35,-0.6316,51,0.26127
ENSG00000157933,SKI,43,0.38962,40,0.26710,28,-0.5148,38,0.28643
ENSG00000157916,RER1,75,0.40717,57,-0.0430,66,0.37288,41,-0.6892
ENSG00000157911,PEX10,46,0.81561,31,0.17951,24,-0.4522,28,0.01640
ENSG00000149527,PLCH2,9,-0.9926,2,-3.0010,24,1.16921,14,-0.4309
ENSG00000157881,PANK4,9,-0.7668,13,-0.1327,18,0.81270,10,-0.6937
ENSG00000197921,HES5,5,-1.8910,2,-3.0384,17,-0.3302,33,1.30638
ENSG00000272449,AL139246.5,0,-7.4451,1,-3.2123,9,0.25060,12,0.89903
ENSG00000157873,TNFRSF14,2,-1.4841,1,-2.7665,11,1.30779,6,-0.4928
ENSG00000157870,PRXL2B,23,-1.2689,30,-0.8588,68,0.93537,42,-0.4282
ENSG00000177133,PRDM16-DT,5,-1.7879,36,1.13997,9,-1.4161,30,1.21984
ENSG00000158109,TPRG1L,42,-1.9205,150,0.02793,174,0.51587,139,-0.1310
ENSG00000116213,WRAP73,21,0.68383,30,1.30133,13,-0.1720,7,-1.1343
ENSG00000130764,LRRC47,48,-0.7741,79,0.00153,94,0.56164,64,-0.4186
ENSG00000116198,CEP104,39,1.43092,31,0.99307,14,-0.4962,10,-1.0294
ENSG00000198912,C1orf174,10,-0.2157,17,0.57270,12,-0.0127,11,-0.1901
ENSG00000196581,AJAP1,18,-1.3251,26,-0.7283,55,0.88689,34,-0.3961
ENSG00000131697,NPHP4,4,-1.1074,16,0.84280,10,0.31519,7,-0.5176
ENSG00000069424,KCNAB2,24,-2.8654,138,-0.2605,187,0.42988,177,0.17552
ENSG00000116254,CHD5,14,-3.0269,72,-0.5921,110,0.12131,140,0.61874
ENSG00000116251,RPL22,1110,1.27237,689,0.44431,393,-0.7376,493,-0.1245
ENSG00000116237,ICMT,25,-0.4616,25,-0.4086,41,0.67934,25,-0.5004
ENSG00000158292,GPR153,2,-2.3859,0,-4.9094,12,0.52044,13,0.55445
ENSG00000097021,ACOT7,70,-2.0250,215,-0.3317,353,0.99349,200,-0.5483
ENSG00000215788,TNFRSF25,1,-2.8744,11,-0.2610,17,1.13821,9,-0.6664
ENSG00000171680,PLEKHG5,1,-3.9248,4,-2.3409,30,1.08971,21,-0.0628
ENSG00000162408,NOL9,20,-0.4403,24,-0.1363,29,0.26772,25,-0.0958
ENSG00000162413,KLHL21,34,0.30440,38,0.50775,28,-0.0170,23,-0.3945
ENSG00000116273,PHF13,14,-0.2396,18,0.19734,17,0.21853,14,-0.2628
ENSG00000041988,THAP3,28,0.43808,18,-0.3016,26,0.58106,13,-0.8967
ENSG00000007923,DNAJC11,12,-1.1860,33,0.37070,28,0.19792,26,-0.0444
ENSG00000171735,CAMTA1,90,-1.0236,233,0.46996,165,-0.1637,200,0.28573
