t_stat_Sp02D01,t_stat_Sp02D02,p_value_Sp02D01,p_value_Sp02D02,fdr_Sp02D01,fdr_Sp02D02,logFC_Sp02D01,logFC_Sp02D02,ensembl,gene
8.90220320367357,-8.90220320367358,9.100435977480186e-13,9.100435977479827e-13,6.0294297472789695e-12,6.029429747278731e-12,4.518947890310937,-4.518947890310944,ENSG00000237491,LINC01409
7.923006231717255,-7.92300623171726,4.687336106707585e-11,4.687336106707484e-11,2.016478396518905e-10,2.0164783965188612e-10,5.007064065558395,-5.007064065558401,ENSG00000228794,LINC01128
3.8521871093227986,-3.8521871093227986,2.754892651473697e-4,2.754892651473697e-4,3.1894113483034155e-4,3.1894113483034155e-4,2.4912960534310553,-2.491296053431057,ENSG00000188976,NOC2L
4.654971619111421,-4.654971619111421,1.703111255178983e-5,1.703111255178983e-5,2.349343071775635e-5,2.349343071775635e-5,3.2150964918593314,-3.2150964918593337,ENSG00000188290,HES4
3.971989878466753,-3.9719898784667524,1.848267353617877e-4,1.848267353617882e-4,2.1855010473936014e-4,2.1855010473936074e-4,2.8385986315216862,-2.8385986315216876,ENSG00000187608,ISG15
7.711228526673971,-7.711228526673979,1.103031335710421e-10,1.103031335710389e-10,4.3593667548678335e-10,4.3593667548677074e-10,5.147494360920568,-5.147494360920577,ENSG00000188157,AGRN
8.467612606934432,-8.467612606934434,5.20968625529033e-12,5.209686255290312e-12,2.841379094823128e-11,2.8413790948231176e-11,4.7236474776440245,-4.723647477644029,ENSG00000131591,C1orf159
4.504031187021928,-4.504031187021928,2.92717381234503e-5,2.92717381234503e-5,3.8729894385459575e-5,3.8729894385459575e-5,3.263009457745516,-3.263009457745518,ENSG00000078808,SDF4
6.342770444986476,-6.34277044498648,2.69526250894275e-8,2.6952625089427204e-8,6.239503042515456e-8,6.239503042515387e-8,4.378885783610729,-4.378885783610735,ENSG00000176022,B3GALT6
5.865887150050165,-5.865887150050169,1.7632548597994607e-7,1.7632548597994414e-7,3.4391050780914114e-7,3.439105078091374e-7,4.213485998509561,-4.213485998509565,ENSG00000160087,UBE2J2
6.80367852922502,-6.803678529225027,4.280943400904193e-9,4.280943400904069e-9,1.1740624291526721e-8,1.174062429152638e-8,4.254833590401752,-4.254833590401759,ENSG00000162572,SCNN1D
4.011961809152549,-4.01196180915255,1.6155972135011745e-4,1.615597213501168e-4,1.924343962704035e-4,1.924343962704027e-4,2.4908055739709027,-2.490805573970905,ENSG00000131584,ACAP3
7.010305194853042,-7.010305194853045,1.8664121382515023e-9,1.8664121382514957e-9,5.507820310023821e-9,5.507820310023801e-9,4.251708351138512,-4.251708351138516,ENSG00000169972,PUSL1
5.084893706392404,-5.084893706392405,3.503724314440185e-6,3.503724314440185e-6,5.406306905354683e-6,5.406306905354683e-6,3.640341505528142,-3.640341505528145,ENSG00000127054,INTS11
6.414599853135884,-6.414599853135887,2.026056867571469e-8,2.026056867571432e-8,4.8096502860797766e-8,4.8096502860796886e-8,4.50233528850588,-4.502335288505885,ENSG00000224051,CPTP
3.7707866676672506,-3.770786667667253,3.600019444709162e-4,3.6000194447091455e-4,4.1143079368104706e-4,4.1143079368104516e-4,2.3516259330399696,-2.3516259330399727,ENSG00000107404,DVL1
8.817234871144128,-8.817234871144136,1.2789963992942094e-12,1.2789963992941773e-12,8.165248535891509e-12,8.165248535891303e-12,4.378115086247195,-4.3781150862472025,ENSG00000162576,MXRA8
3.9187677623625716,-3.9187677623625747,2.208542494435912e-4,2.208542494435878e-4,2.585087481092242e-4,2.5850874810922026e-4,2.4121686233209036,-2.4121686233209076,ENSG00000175756,AURKAIP1
5.969496970414391,-5.969496970414393,1.1756711867424454e-7,1.1756711867424393e-7,2.369048807188752e-7,2.369048807188726e-7,4.080226146028867,-4.080226146028871,ENSG00000221978,CCNL2
