top,model_type,test,gene,stat,pval,fdr,gene_index,logFC,ensembl,in_rows,in_rows_top20,results
1,enrichment,Sp09D01,FKBP1A,10.818409100094925,6.160076856832114e-23,7.672991732870081e-19,11242,1.0062468499077741,ENSG00000088832,,,
2,enrichment,Sp09D01,LAMP5,10.155401741889834,9.143830647615736e-21,3.7965184848900536e-17,11288,2.125587218507002,ENSG00000125869,,,
3,enrichment,Sp09D01,BTBD3,9.976732187569903,3.4381759714154653e-20,1.0706479974987759e-16,11294,0.9944271827308707,ENSG00000132640,,,
4,enrichment,Sp09D01,ATP6V1H,9.828105248054547,1.026419669761897e-19,2.557016681310838e-16,5208,1.122731494539134,ENSG00000047249,,,
5,enrichment,Sp09D01,GNAL,9.69728536149733,2.6711800695968146e-19,4.753174135271131e-16,10256,1.219389465476131,ENSG00000141404,,,
6,enrichment,Sp09D01,NCDN,9.520914233399527,9.60652023599885e-19,1.1922714217963164e-15,314,0.958273813337488,ENSG00000020129,,,
7,enrichment,Sp09D01,HPCAL1,9.517578896269255,9.84081459542946e-19,1.1922714217963164e-15,1271,1.1243254444774184,ENSG00000115756,,,
8,enrichment,Sp09D01,MAPK1,9.443436698420731,1.6795840255386317e-18,1.7434082185090996e-15,11746,0.9449972261854281,ENSG00000100030,,,
9,enrichment,Sp09D01,RTN4,9.087382462737983,2.126094281271127e-17,1.3241315183756577e-14,1434,0.6484816649547257,ENSG00000115310,,,
10,enrichment,Sp09D01,HOPX,9.06162917693555,2.549675071543238e-17,1.5123215567210748e-14,2943,1.5768626066344078,ENSG00000171476,,,
1,enrichment,Sp09D02,COX6A1,7.847090818357086,9.684439156411438e-14,1.2062937413226087e-9,7796,0.49112743389042546,ENSG00000111775,,,
2,enrichment,Sp09D02,TUBB2B,6.565718559616783,2.5987812682757203e-10,1.3963430064986496e-6,3821,0.617410130274986,ENSG00000137285,,,
3,enrichment,Sp09D02,ENHO,6.504931635490865,3.692273884251208e-10,1.3963430064986496e-6,5579,0.529471053911038,ENSG00000168913,,,
4,enrichment,Sp09D02,COX5B,6.471134351325669,4.484081587985387e-10,1.3963430064986496e-6,1601,0.3649126061253352,ENSG00000135940,,,
5,enrichment,Sp09D02,SFXN5,6.221716058483049,1.8402831667983654e-9,4.584513425128087e-6,1509,0.6394890785897253,ENSG00000144040,,,
6,enrichment,Sp09D02,NDUFB9,6.173726978693726,2.403933525469078e-9,4.990565998873806e-6,5405,0.3919596356311928,ENSG00000147684,,,
7,enrichment,Sp09D02,APOC1,6.137796638122446,2.9334930056022247e-9,5.219941268254472e-6,10987,0.7970025316288749,ENSG00000130208,,,
8,enrichment,Sp09D02,C1orf61,6.079704718471993,4.0403323027915e-9,6.290797395446365e-6,860,0.4868859212529185,ENSG00000125462,,,
9,enrichment,Sp09D02,MAP1A,6.00533208237512,6.067828732651996e-9,8.365483600529985e-6,8632,0.5099617049350825,ENSG00000166963,,,
10,enrichment,Sp09D02,NAA38,5.971352017419454,7.298067440205164e-9,8.365483600529985e-6,9614,0.46181902195903135,ENSG00000183011,,,
1,enrichment,Sp09D03,SYT1,8.382760185900768,2.773899631458061e-15,1.7275846904720805e-11,7625,1.0298440362009922,ENSG00000067715,,,
2,enrichment,Sp09D03,ARL6IP1,8.218471763866987,8.368624221919909e-15,3.4746527769411464e-11,9094,0.5600483313882602,ENSG00000170540,,,
3,enrichment,Sp09D03,STMN2,7.89870480234612,6.9211359660482e-14,2.1552417398274094e-10,5278,0.9923944248075749,ENSG00000104435,,,
4,enrichment,Sp09D03,TUBA1B,7.754961932889356,1.7601030792419705e-13,4.384768791007597e-10,7437,0.6767240680507345,ENSG00000123416,,,
5,enrichment,Sp09D03,ELAVL4,7.699291264802183,2.5195101780038094e-13,5.230503129535909e-10,436,1.0162392117461385,ENSG00000162374,,,
6,enrichment,Sp09D03,PFKP,7.627087398127793,4.0025007137498823e-13,7.12216412720979e-10,6024,0.8132901116059948,ENSG00000067057,,,
7,enrichment,Sp09D03,PCP4,7.525209139750524,7.6553454289443e-13,1.1919372832866274e-9,11641,1.6192710445283898,ENSG00000183036,,,
8,enrichment,Sp09D03,DCLK1,7.394979217280347,1.7398733218553934e-12,2.0942306719144814e-9,7948,0.7625654120414445,ENSG00000133083,,,
9,enrichment,Sp09D03,IPCEF1,7.382036155352705,1.886859030555845e-12,2.0942306719144814e-9,4385,1.4223069560772967,ENSG00000074706,,,
10,enrichment,Sp09D03,RAB3C,7.363107033045879,2.124127707498602e-12,2.0942306719144814e-9,3353,0.9326274768437574,ENSG00000152932,,,
1,enrichment,Sp09D04,EFHD2,11.552707711545562,2.10906641535971e-25,2.6270531269720548e-21,129,1.8145057858485765,ENSG00000142634,,,
2,enrichment,Sp09D04,NNAT,11.119502683941654,6.101839434777703e-24,3.8002255999795534e-20,11403,1.253501010781675,ENSG00000053438,,,
3,enrichment,Sp09D04,IGSF21,10.126921511285286,1.1294211943968214e-20,4.6893567991356024e-17,151,0.999101681328553,ENSG00000117154,,,
4,enrichment,Sp09D04,HS3ST4,10.056004145852745,1.911722779748933e-20,5.953104736138178e-17,9138,2.471226638467775,ENSG00000182601,,,
5,enrichment,Sp09D04,CCN2,9.79130461350844,1.3433863962077864e-19,3.203917979850602e-16,4317,2.458037149288404,ENSG00000118523,,,
6,enrichment,Sp09D04,NCALD,9.770728314778712,1.5616845814214359e-19,3.203917979850602e-16,5348,1.1818689245034681,ENSG00000104490,,,
7,enrichment,Sp09D04,KRT17,9.741884835908392,1.9281995979382973e-19,3.203917979850602e-16,9833,3.39209601590657,ENSG00000128422,,,
8,enrichment,Sp09D04,DIRAS2,9.732980221585828,2.0577507898847796e-19,3.203917979850602e-16,5691,1.772877151323244,ENSG00000165023,,,
9,enrichment,Sp09D04,SEMA3E,9.58279743603781,6.135724026895379e-19,8.491842053223205e-16,4715,3.0222275994651704,ENSG00000170381,,,
10,enrichment,Sp09D04,LMO3,9.52939786433901,9.030809939122796e-19,1.1248776860171354e-15,7335,1.1254770927670017,ENSG00000048540,,,
1,enrichment,Sp09D05,CXCL14,12.914649201635774,4.186996218336451e-30,5.215322489559883e-26,3574,1.9894676203282216,ENSG00000145824,,,
2,enrichment,Sp09D05,CST3,12.000334184837412,6.2440554765150635e-27,3.8887977507735813e-23,11327,1.0185479126418562,ENSG00000101439,,,
3,enrichment,Sp09D05,MT1F,11.702155163156853,6.546950643129782e-26,2.7182939070274856e-22,9267,1.2369451556667994,ENSG00000198417,,,
4,enrichment,Sp09D05,FBXO2,11.40962806143753,6.445572151240955e-25,2.007151167896433e-21,110,0.7897202572560204,ENSG00000116661,,,
5,enrichment,Sp09D05,MLC1,11.038163239552205,1.142858491985308e-23,2.8470890752337994e-20,11974,1.1384561972263714,ENSG00000100427,,,
6,enrichment,Sp09D05,MT1E,10.893388624550104,3.472139497447014e-23,7.2081615967e-20,9264,1.0525190634009383,ENSG00000169715,,,
7,enrichment,Sp09D05,MT1G,10.783126108338731,8.063761242624549e-23,1.4348887148304482e-19,9268,1.820354352751893,ENSG00000125144,,,
8,enrichment,Sp09D05,GLUL,10.73961795763361,1.1234096255894212e-22,1.7491487870427288e-19,982,0.9203908612987065,ENSG00000135821,,,
9,enrichment,Sp09D05,ALDOC,10.671059651082844,1.8922829783592834e-22,2.6189196420492484e-19,9713,0.6978646194375031,ENSG00000109107,,,
10,enrichment,Sp09D05,FGFR3,10.596446916061542,3.3325721812988434e-22,4.151051909025839e-19,2799,1.008684062182301,ENSG00000068078,,,
1,enrichment,Sp09D06,CNP,17.319698856888422,7.449385369818089e-46,9.278954416645411e-42,9841,2.43286264566673,ENSG00000173786,,,
2,enrichment,Sp09D06,DBNDD2,17.20711225818807,1.8924988116463815e-45,1.1786482598933665e-41,11443,2.2133611169067926,ENSG00000244274,,,
3,enrichment,Sp09D06,FEZ1,17.006974903342737,9.933967246166494e-45,4.1245832006083286e-41,7195,1.196117107367643,ENSG00000149557,,,
4,enrichment,Sp09D06,SIRT2,16.93550088717875,1.796228701290291e-44,5.593456175817967e-41,10896,1.3095627473892943,ENSG00000068903,,,
5,enrichment,Sp09D06,SLAIN1,16.551171395016844,4.345684047915981e-43,1.0825968100168291e-39,8040,1.8506125998979506,ENSG00000139737,,,
6,enrichment,Sp09D06,CLDND1,16.367870628383198,1.9867199383217257e-42,4.1244305919559025e-39,2425,2.28683291088451,ENSG00000080822,,,
7,enrichment,Sp09D06,QDPR,16.031575148216618,3.2289157762396687e-41,5.74562498697733e-38,2862,1.5852374240092786,ENSG00000151552,,,
8,enrichment,Sp09D06,SOX2-OT,15.82424312569434,1.8003488087339804e-40,2.8031430951988075e-37,2690,2.2363729583349006,ENSG00000242808,,,
9,enrichment,Sp09D06,ABCA2,15.633827177484699,8.718947445937217e-40,1.2067023265177107e-36,5985,1.339767509341103,ENSG00000107331,,,
10,enrichment,Sp09D06,CNTN2,15.522279354352543,2.195992880311825e-39,2.735328731716409e-36,1059,2.1881899531893567,ENSG00000184144,,,
1,enrichment,Sp09D07,MBP,6.40953057193779,6.375915507789071e-10,1.1476647914020329e-8,10400,1.7069687357592942,ENSG00000197971,,,
2,enrichment,Sp09D07,MOBP,6.135832503706954,2.964647223532938e-9,4.009516375279726e-8,2203,1.7365372654823255,ENSG00000168314,,,
3,enrichment,Sp09D07,BCAS1,5.86301188580652,1.3077602857201287e-8,1.3619951604456458e-7,11489,1.4236881637700638,ENSG00000064787,,,
4,enrichment,Sp09D07,PAQR6,5.679395163743935,3.454023041020771e-8,3.014948212961088e-7,856,1.0574960715185886,ENSG00000160781,,,
5,enrichment,Sp09D07,TP53INP2,5.544331828622154,6.954659311117638e-8,5.314554379097012e-7,11368,1.059439505348352,ENSG00000078804,,,
6,enrichment,Sp09D07,AQP1,5.540979377637681,7.075407178062745e-8,5.386532311314535e-7,4557,1.8649251348081872,ENSG00000240583,,,
7,enrichment,Sp09D07,KIF1C,5.539244658857476,7.138687045627428e-8,5.425227934126616e-7,9557,1.0602588256905778,ENSG00000129250,,,
8,enrichment,Sp09D07,LPAR1,5.41615886913135,1.335637711259594e-7,9.066323341389374e-7,5771,1.3109186025928647,ENSG00000198121,,,
9,enrichment,Sp09D07,ERMN,5.394277341252193,1.4913437471390364e-7,9.933784873991358e-7,1748,1.511009612911876,ENSG00000136541,,,
10,enrichment,Sp09D07,CHST6,5.350293662456257,1.8595126950815512e-7,1.1871906781104973e-6,9405,1.3573062956016193,ENSG00000183196,,,
1,enrichment,Sp09D08,HBA1,25.738186618977796,5.375307846293024e-75,6.695483453342591e-71,8920,5.80565145425313,ENSG00000206172,,,
2,enrichment,Sp09D08,HBA2,24.35699170586776,1.9720227399064354e-70,1.228175762413728e-66,8919,5.989019345841204,ENSG00000188536,,,
3,enrichment,Sp09D08,HBB,23.745685327426838,2.2208595937198617e-68,9.221009033124866e-65,6560,6.036873240223378,ENSG00000244734,,,
4,enrichment,Sp09D08,TAGLN,15.615419505233913,1.0039465635901703e-39,3.12628959901979e-36,7131,3.778508965030867,ENSG00000149591,,,
5,enrichment,Sp09D08,FLNA,15.534170236920849,1.9677883933335568e-39,4.902154445472556e-36,12404,2.511396186969624,ENSG00000196924,,,
6,enrichment,Sp09D08,COL1A2,15.014137568837604,1.4531740445718275e-37,3.016789316531114e-34,4749,3.6383227001476652,ENSG00000164692,,,
7,enrichment,Sp09D08,CALD1,14.9024407290554,3.6556009370795124e-37,6.504880753180343e-34,4939,2.123091723392444,ENSG00000122786,,,
8,enrichment,Sp09D08,ACTA2,14.687572267930522,2.1520112565171458e-36,3.350681526397196e-33,6289,4.049274120313877,ENSG00000107796,,,
9,enrichment,Sp09D08,MYL9,14.083277084749497,3.0969742296450908e-34,4.286212333828805e-31,11392,3.4328960248657543,ENSG00000101335,,,
10,enrichment,Sp09D08,CLDN5,14.005753039602302,5.846402209986602e-34,7.28227859275931e-31,11713,2.065322021328421,ENSG00000184113,,,
1,enrichment,Sp09D09,ATP1B1,8.467161367851684,1.5652329914545955e-15,1.949654214155844e-11,941,0.7102314340745864,ENSG00000143153,,,
2,enrichment,Sp09D09,GABRA1,8.277774849431623,5.6249338809435926e-15,2.7520441521496003e-11,3705,1.1307101377882598,ENSG00000022355,,,
3,enrichment,Sp09D09,TUBB3,8.219974152927948,8.284007035786683e-15,2.7520441521496003e-11,9489,0.937460686342996,ENSG00000258947,,,
4,enrichment,Sp09D09,SERPINI1,8.210291856514457,8.837649814224792e-15,2.7520441521496003e-11,2655,0.9095722650692787,ENSG00000163536,,,
5,enrichment,Sp09D09,NTNG1,7.926534729813208,5.76943117373205e-14,1.4372806940001283e-10,620,2.1483597957035605,ENSG00000162631,,,
6,enrichment,Sp09D09,GPR6,7.670013804040516,3.0403472443954285e-13,6.31176087936491e-10,4251,2.087969833477079,ENSG00000146360,,,
7,enrichment,Sp09D09,ATP1A1,7.599336305032371,4.777924214595911e-13,8.50197485957238e-10,692,0.7524882653901539,ENSG00000163399,,,
8,enrichment,Sp09D09,ANKRD34B,7.466255661099161,1.1112672516301323e-12,1.6558218858690415e-9,3433,2.0051916677774053,ENSG00000189127,,,
9,enrichment,Sp09D09,OXR1,7.454546683362696,1.1964030967261862e-12,1.6558218858690415e-9,5363,0.8708898657358093,ENSG00000164830,,,
10,enrichment,Sp09D09,COL5A2,7.194739985039273,6.039139498908984e-12,6.268626799867525e-9,1842,2.2178554644449204,ENSG00000204262,,,
1,pairwise,Sp09D01-Sp09D02,NPTN,7.9155679211440635,6.708614748030844e-14,8.356250530147219e-11,8775,0.7627811215876736,ENSG00000156642,,,
2,pairwise,Sp09D01-Sp09D02,NCDN,7.418477471167417,1.5991842609164155e-12,7.808030677775988e-10,314,0.6327292094796526,ENSG00000020129,,,
3,pairwise,Sp09D01-Sp09D02,RTN4,7.355052247028761,2.375005901012996e-12,1.095669389000662e-9,1434,0.5194409008598733,ENSG00000115310,,,
4,pairwise,Sp09D01-Sp09D02,PRNP,7.220375947566373,5.461393749887504e-12,2.3457627775378878e-9,11274,0.4317578111995921,ENSG00000171867,,,
5,pairwise,Sp09D01-Sp09D02,ATP2B4,7.123292693785131,9.893536572656702e-12,3.6245262220297612e-9,1048,0.7244930237492699,ENSG00000058668,,,
6,pairwise,Sp09D01-Sp09D02,MAPK1,7.044544754023341,1.5959186353965067e-11,5.231253295394444e-9,11746,0.6062680896987693,ENSG00000100030,,,
7,pairwise,Sp09D01-Sp09D02,FKBP1A,6.70649200186554,1.19451627873725e-10,2.6569454942769975e-8,11242,0.6165838081030977,ENSG00000088832,,,
8,pairwise,Sp09D01-Sp09D02,SEZ6L,6.63839597095738,1.7775126936913582e-10,3.5861410607125335e-8,11772,0.7524849998097727,ENSG00000100095,,,
9,pairwise,Sp09D01-Sp09D02,ATP6V1H,6.605044443029181,2.1573658666181498e-10,3.9043199746336157e-8,5208,0.6832670013248574,ENSG00000047249,,,
10,pairwise,Sp09D01-Sp09D02,TMEM130,6.552846308347075,2.9173511386460483e-10,4.5998133902500224e-8,4767,0.6234011053465673,ENSG00000166448,,,
1,pairwise,Sp09D01-Sp09D03,GNAL,12.134456802963465,2.955507370496753e-27,3.6813799806907554e-23,10256,1.6820355881059585,ENSG00000141404,,,
2,pairwise,Sp09D01-Sp09D03,HOPX,11.08557586394921,1.0073731422246339e-23,6.27391992977502e-20,2943,1.617425120877897,ENSG00000171476,,,
3,pairwise,Sp09D01-Sp09D03,BTBD3,10.002325364724653,3.3819013662259486e-20,7.020827236285069e-17,11294,1.1310480615855836,ENSG00000132640,,,
4,pairwise,Sp09D01-Sp09D03,LAMP5,9.80223683731149,1.4584089055171275e-19,2.5951344753030485e-16,11288,2.2987922783586052,ENSG00000125869,,,
5,pairwise,Sp09D01-Sp09D03,HPCAL1,8.905423002418605,8.586045356567738e-17,1.0694778096140774e-13,1271,1.2581846831096932,ENSG00000115756,,,
6,pairwise,Sp09D01-Sp09D03,CCK,8.754576914648448,2.4352996991200793e-16,2.757644822930882e-13,2212,1.386860119823087,ENSG00000187094,,,
7,pairwise,Sp09D01-Sp09D03,PPP1R1A,8.67662895887111,4.158260859935409e-16,3.984253636258112e-13,7499,1.02806316208075,ENSG00000135447,,,
8,pairwise,Sp09D01-Sp09D03,FKBP1A,8.015835417499366,3.4865012535186446e-14,2.0679933149442017e-11,11242,0.743542693475872,ENSG00000088832,,,
9,pairwise,Sp09D01-Sp09D03,MET,7.933395027517672,5.973777978841516e-14,3.235190369758693e-11,4881,2.7988037870449336,ENSG00000105976,,,
10,pairwise,Sp09D01-Sp09D03,SOWAHA,7.892585231205607,7.78913102672681e-14,3.8897018959363416e-11,3552,1.269070846662328,ENSG00000198944,,,
1,pairwise,Sp09D01-Sp09D04,HOPX,15.097085892928723,1.3191883541179346e-37,8.215905069446496e-34,2943,2.1832257126055126,ENSG00000171476,,,
2,pairwise,Sp09D01-Sp09D04,LAMP5,12.62456028402445,6.153222407660502e-29,5.4746098792728e-26,11288,2.934474801795443,ENSG00000125869,,,
3,pairwise,Sp09D01-Sp09D04,CCK,11.908987668756886,1.7305143644200133e-26,1.3472054327009805e-23,2212,1.8698722169110749,ENSG00000187094,,,
4,pairwise,Sp09D01-Sp09D04,ATP6V1H,11.480452290464662,4.84335689258302e-25,2.8728025454292426e-22,5208,1.1876096032385517,ENSG00000047249,,,
5,pairwise,Sp09D01-Sp09D04,NPTXR,11.099303180306539,9.070596264460608e-24,4.519333882804853e-21,11889,1.5163758372896652,ENSG00000221890,,,
6,pairwise,Sp09D01-Sp09D04,NECAB2,11.069846491897557,1.1359635131469826e-23,5.4421390460610835e-21,9431,2.1428765163961083,ENSG00000103154,,,
7,pairwise,Sp09D01-Sp09D04,MET,10.893984186909197,4.333994893309386e-23,1.814871481893544e-20,4881,3.8092519605815154,ENSG00000105976,,,
8,pairwise,Sp09D01-Sp09D04,PCDH8,10.797295463446144,9.018999104798222e-23,3.404262207556565e-20,8022,2.92170764791784,ENSG00000136099,,,
9,pairwise,Sp09D01-Sp09D04,CBLN4,10.280354915673621,4.3457681969621965e-21,1.28883068241336e-18,11492,3.272589288797781,ENSG00000054803,,,
10,pairwise,Sp09D01-Sp09D04,BTBD3,10.226413573740263,6.482666973477899e-21,1.8351840868554706e-18,11294,1.146154121783228,ENSG00000132640,,,
1,pairwise,Sp09D01-Sp09D05,WASF1,13.594134298220464,2.6247570722467006e-32,1.634698704595245e-29,4252,1.2969191449809907,ENSG00000112290,,,
2,pairwise,Sp09D01-Sp09D05,FKBP1A,13.070089367778515,1.765539137085917e-30,8.45829057367007e-28,11242,1.2016424491956421,ENSG00000088832,,,
3,pairwise,Sp09D01-Sp09D05,NPTN,13.024685875728169,2.5384879526442242e-30,1.1710891088198688e-27,8775,1.255119607283862,ENSG00000156642,,,
4,pairwise,Sp09D01-Sp09D05,YWHAZ,12.959355370586543,4.2784077608329716e-30,1.903280252461982e-27,5345,0.9833888246478502,ENSG00000164924,,,
5,pairwise,Sp09D01-Sp09D05,ARPP19,12.665768763004342,4.4357474823329047e-29,1.534768628887185e-26,8681,1.024608537710419,ENSG00000128989,,,
6,pairwise,Sp09D01-Sp09D05,MAPK1,12.432352981836232,2.8221312209703667e-28,8.369634878192115e-26,11746,1.0699540078092156,ENSG00000100030,,,
7,pairwise,Sp09D01-Sp09D05,ENC1,12.207093422348418,1.669223724295735e-27,4.243234838740342e-25,3402,1.4912436075958677,ENSG00000171617,,,
8,pairwise,Sp09D01-Sp09D05,PPP3CA,11.866806552166986,2.4060799745432043e-26,5.351809314805384e-24,3041,1.047472700421709,ENSG00000138814,,,
