top,model_type,test,gene,stat,pval,fdr,gene_index,logFC,ensembl,anno,SpD
1,enrichment,Sp09D01,FKBP1A,10.818409100094925,6.160076856832114e-23,7.672991732870081e-19,11242,1.0062468499077741,ENSG00000088832,L2,L2~Sp09D01
2,enrichment,Sp09D01,LAMP5,10.155401741889834,9.143830647615736e-21,3.7965184848900536e-17,11288,2.125587218507002,ENSG00000125869,L2,L2~Sp09D01
3,enrichment,Sp09D01,BTBD3,9.976732187569903,3.4381759714154653e-20,1.0706479974987759e-16,11294,0.9944271827308707,ENSG00000132640,L2,L2~Sp09D01
4,enrichment,Sp09D01,ATP6V1H,9.828105248054547,1.026419669761897e-19,2.557016681310838e-16,5208,1.122731494539134,ENSG00000047249,L2,L2~Sp09D01
5,enrichment,Sp09D01,GNAL,9.69728536149733,2.6711800695968146e-19,4.753174135271131e-16,10256,1.219389465476131,ENSG00000141404,L2,L2~Sp09D01
6,enrichment,Sp09D01,NCDN,9.520914233399527,9.60652023599885e-19,1.1922714217963164e-15,314,0.958273813337488,ENSG00000020129,L2,L2~Sp09D01
7,enrichment,Sp09D01,HPCAL1,9.517578896269255,9.84081459542946e-19,1.1922714217963164e-15,1271,1.1243254444774184,ENSG00000115756,L2,L2~Sp09D01
8,enrichment,Sp09D01,MAPK1,9.443436698420731,1.6795840255386317e-18,1.7434082185090996e-15,11746,0.9449972261854281,ENSG00000100030,L2,L2~Sp09D01
9,enrichment,Sp09D01,RTN4,9.087382462737983,2.126094281271127e-17,1.3241315183756577e-14,1434,0.6484816649547257,ENSG00000115310,L2,L2~Sp09D01
10,enrichment,Sp09D01,HOPX,9.06162917693555,2.549675071543238e-17,1.5123215567210748e-14,2943,1.5768626066344078,ENSG00000171476,L2,L2~Sp09D01
1,enrichment,Sp09D02,COX6A1,7.847090818357086,9.684439156411438e-14,1.2062937413226087e-9,7796,0.49112743389042546,ENSG00000111775,L3_Inhib,L3_Inhib~Sp09D02
2,enrichment,Sp09D02,TUBB2B,6.565718559616783,2.5987812682757203e-10,1.3963430064986496e-6,3821,0.617410130274986,ENSG00000137285,L3_Inhib,L3_Inhib~Sp09D02
3,enrichment,Sp09D02,ENHO,6.504931635490865,3.692273884251208e-10,1.3963430064986496e-6,5579,0.529471053911038,ENSG00000168913,L3_Inhib,L3_Inhib~Sp09D02
4,enrichment,Sp09D02,COX5B,6.471134351325669,4.484081587985387e-10,1.3963430064986496e-6,1601,0.3649126061253352,ENSG00000135940,L3_Inhib,L3_Inhib~Sp09D02
5,enrichment,Sp09D02,SFXN5,6.221716058483049,1.8402831667983654e-9,4.584513425128087e-6,1509,0.6394890785897253,ENSG00000144040,L3_Inhib,L3_Inhib~Sp09D02
6,enrichment,Sp09D02,NDUFB9,6.173726978693726,2.403933525469078e-9,4.990565998873806e-6,5405,0.3919596356311928,ENSG00000147684,L3_Inhib,L3_Inhib~Sp09D02
7,enrichment,Sp09D02,APOC1,6.137796638122446,2.9334930056022247e-9,5.219941268254472e-6,10987,0.7970025316288749,ENSG00000130208,L3_Inhib,L3_Inhib~Sp09D02
8,enrichment,Sp09D02,C1orf61,6.079704718471993,4.0403323027915e-9,6.290797395446365e-6,860,0.4868859212529185,ENSG00000125462,L3_Inhib,L3_Inhib~Sp09D02
9,enrichment,Sp09D02,MAP1A,6.00533208237512,6.067828732651996e-9,8.365483600529985e-6,8632,0.5099617049350825,ENSG00000166963,L3_Inhib,L3_Inhib~Sp09D02
10,enrichment,Sp09D02,NAA38,5.971352017419454,7.298067440205164e-9,8.365483600529985e-6,9614,0.46181902195903135,ENSG00000183011,L3_Inhib,L3_Inhib~Sp09D02
1,enrichment,Sp09D03,SYT1,8.382760185900768,2.773899631458061e-15,1.7275846904720805e-11,7625,1.0298440362009922,ENSG00000067715,L5,L5~Sp09D03
2,enrichment,Sp09D03,ARL6IP1,8.218471763866987,8.368624221919909e-15,3.4746527769411464e-11,9094,0.5600483313882602,ENSG00000170540,L5,L5~Sp09D03
3,enrichment,Sp09D03,STMN2,7.89870480234612,6.9211359660482e-14,2.1552417398274094e-10,5278,0.9923944248075749,ENSG00000104435,L5,L5~Sp09D03
4,enrichment,Sp09D03,TUBA1B,7.754961932889356,1.7601030792419705e-13,4.384768791007597e-10,7437,0.6767240680507345,ENSG00000123416,L5,L5~Sp09D03
5,enrichment,Sp09D03,ELAVL4,7.699291264802183,2.5195101780038094e-13,5.230503129535909e-10,436,1.0162392117461385,ENSG00000162374,L5,L5~Sp09D03
6,enrichment,Sp09D03,PFKP,7.627087398127793,4.0025007137498823e-13,7.12216412720979e-10,6024,0.8132901116059948,ENSG00000067057,L5,L5~Sp09D03
7,enrichment,Sp09D03,PCP4,7.525209139750524,7.6553454289443e-13,1.1919372832866274e-9,11641,1.6192710445283898,ENSG00000183036,L5,L5~Sp09D03
8,enrichment,Sp09D03,DCLK1,7.394979217280347,1.7398733218553934e-12,2.0942306719144814e-9,7948,0.7625654120414445,ENSG00000133083,L5,L5~Sp09D03
9,enrichment,Sp09D03,IPCEF1,7.382036155352705,1.886859030555845e-12,2.0942306719144814e-9,4385,1.4223069560772967,ENSG00000074706,L5,L5~Sp09D03
10,enrichment,Sp09D03,RAB3C,7.363107033045879,2.124127707498602e-12,2.0942306719144814e-9,3353,0.9326274768437574,ENSG00000152932,L5,L5~Sp09D03
