top,model_type,test,gene,stat,pval,fdr,gene_index,logFC,ensembl
1,enrichment,Sp02D01,SV2A,15.587016813813108,3.304657389919611e-22,2.8820065530700105e-19,799,0.9163622857477262,ENSG00000159164
2,enrichment,Sp02D01,CDH8,15.53179943366575,3.8947560285535786e-22,3.036536890386631e-19,10143,1.5160546959047305,ENSG00000150394
3,enrichment,Sp02D01,HMGCR,14.96236613155675,2.1659986010223264e-21,1.0223886846253975e-18,3710,0.9777117495388512,ENSG00000113161
4,enrichment,Sp02D01,ZBTB18,14.15654295490878,2.629095548459904e-20,7.108423777906682e-18,1324,1.1173079434863806,ENSG00000179456
5,enrichment,Sp02D01,PTPN5,14.153019194572968,2.6584264330368908e-20,7.108423777906682e-18,7235,1.1336479278187719,ENSG00000110786
6,enrichment,Sp02D01,C2CD2L,14.128110028323338,2.875438148179004e-20,7.459593208154965e-18,7797,0.8456077239933575,ENSG00000172375
7,enrichment,Sp02D01,AACS,13.827431032229107,7.460443267645252e-20,1.397709794767186e-17,8561,1.0061303070572676,ENSG00000081760
8,enrichment,Sp02D01,WASF1,13.74844282420629,9.602054036057979e-20,1.6881780206822082e-17,4630,1.0566698528796026,ENSG00000112290
9,enrichment,Sp02D01,KLHDC3,13.682218546097975,1.1871863930372615e-19,1.9273405764106114e-17,4444,0.6487067397017618,ENSG00000124702
10,enrichment,Sp02D01,HSP90AB1,13.648795587361882,1.3216636997100757e-19,2.0991717628515788e-17,4472,0.6039751007224184,ENSG00000096384
1,enrichment,Sp02D02,TXNIP,18.843991215365776,3.7750487050392713e-26,5.148033919062054e-22,779,2.345510239048866,ENSG00000265972
2,enrichment,Sp02D02,CHST6,17.09750261775927,4.24003467018216e-24,2.891067639863706e-20,10256,2.0302385089163653,ENSG00000183196
3,enrichment,Sp02D02,VCAN,16.931906070410445,6.74880618151711e-24,3.067782329911628e-20,3753,1.8862274954197988,ENSG00000038427
4,enrichment,Sp02D02,USH1C,16.71470114514403,1.2474487423678141e-23,4.25286462491747e-20,7223,3.818720815698144,ENSG00000006611
5,enrichment,Sp02D02,GFAP,16.571840712408125,1.8739875482595774e-23,5.111113639123172e-20,10794,2.62179431480822,ENSG00000131095
6,enrichment,Sp02D02,MSN,16.316549795078803,3.900641687654682e-23,8.105501180394409e-20,13327,1.4989086663257625,ENSG00000147065
7,enrichment,Sp02D02,NEAT1,16.294203594743315,4.1606297765462246e-23,8.105501180394409e-20,7488,2.086192969880225,ENSG00000245532
8,enrichment,Sp02D02,LINC01411,16.02065216954549,9.209774873889168e-23,1.5699212494403323e-19,4073,2.964772845026905,ENSG00000249306
9,enrichment,Sp02D02,RPL27A,15.958333809848316,1.1050875966649385e-22,1.674453283968863e-19,7176,0.8903803962074833,ENSG00000166441
10,enrichment,Sp02D02,MVP,15.88147354808323,1.3844810845370655e-22,1.8880168549831962e-19,10003,1.6013598946068424,ENSG00000013364
