top,model_type,test,gene,stat,pval,fdr,gene_index,logFC,ensembl,in_rows,in_rows_top20,results,anno,SpD
1,enrichment,Sp10D01,ATP6V1H,11.4497085075539,1.7748919861105253e-25,2.1229483045867994e-21,5006,1.1407111009922628,ENSG00000047249,,,,L2,L2~Sp10D01
2,enrichment,Sp10D01,FKBP1A,10.899334790850826,1.4358907405391835e-23,8.587344573794587e-20,10798,0.9636165126854024,ENSG00000088832,,,,L2,L2~Sp10D01
3,enrichment,Sp10D01,BTBD3,10.754433923156132,4.497246451833926e-23,1.7930521603461862e-19,10848,0.9817959024683147,ENSG00000132640,,,,L2,L2~Sp10D01
4,enrichment,Sp10D01,MAPK1,10.539155413776879,2.4224054081886315e-22,5.794878217468844e-19,11279,0.9299773770844806,ENSG00000100030,,,,L2,L2~Sp10D01
5,enrichment,Sp10D01,HOPX,10.115446670575203,6.365730915879444e-21,9.517563435604253e-18,2836,1.5961789517955451,ENSG00000171476,,,,L2,L2~Sp10D01
6,enrichment,Sp10D01,RTN4,10.0998174215709,7.172808221342418e-21,9.532662126164075e-18,1383,0.641870985135577,ENSG00000115310,,,,L2,L2~Sp10D01
7,enrichment,Sp10D01,NCDN,9.697454907703152,1.5022018207136804e-19,1.497319664796361e-16,301,0.9102130936298177,ENSG00000020129,,,,L2,L2~Sp10D01
8,enrichment,Sp10D01,NCAM2,9.617864266975536,2.7217334679844877e-19,2.5042041546586507e-16,11126,0.8496441220430083,ENSG00000154654,,,,L2,L2~Sp10D01
9,enrichment,Sp10D01,KCNK1,9.56299686897859,4.0940032238741436e-19,3.497740897197045e-16,1144,1.0409729540504742,ENSG00000135750,,,,L2,L2~Sp10D01
10,enrichment,Sp10D01,ENC1,9.5517852475637,4.449526741844399e-19,3.548052623946724e-16,3267,1.3923463665061369,ENSG00000171617,,,,L2,L2~Sp10D01
1,enrichment,Sp10D02,HOPX,6.978958510046668,1.8688909785659974e-11,1.7578188564204379e-7,2836,1.1820672252929114,ENSG00000171476,,,,L3,L3~Sp10D02
2,enrichment,Sp10D02,COX6A1,6.90486184918157,2.939250658674756e-11,1.7578188564204379e-7,7499,0.4326499619692756,ENSG00000111775,,,,L3,L3~Sp10D02
3,enrichment,Sp10D02,CAMK2N1,6.378202734290964,6.657692506418807e-10,2.6544220023091784e-6,157,0.5471904489760863,ENSG00000162545,,,,L3,L3~Sp10D02
4,enrichment,Sp10D02,DDN,6.186229905627476,1.986330726181391e-9,5.939625453963904e-6,7144,0.7363385403803969,ENSG00000181418,,,,L3,L3~Sp10D02
5,enrichment,Sp10D02,CNGB1,6.130930920884679,2.7091735981385107e-9,6.480885081466944e-6,8932,1.755551742485023,ENSG00000070729,,,,L3,L3~Sp10D02
