Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to11,Feature log2 fold change topic 3to11
ENSG00000188976,NOC2L,3,-3.4214,142,2.42588,29,-1.3322
ENSG00000188290,HES4,3,-4.4404,80,0.11729,82,0.96130
ENSG00000187608,ISG15,3,-5.3346,59,-1.2957,162,2.35570
ENSG00000078808,SDF4,209,0.72437,123,-0.1290,126,-0.3904
ENSG00000160087,UBE2J2,3,-3.5173,136,2.17918,32,-1.0849
ENSG00000131584,ACAP3,3,-4.7926,283,1.88158,84,-0.7558
ENSG00000127054,INTS11,536,3.52998,79,-0.2080,42,-2.8496
ENSG00000107404,DVL1,3,-4.1050,107,0.97775,60,0.11444
ENSG00000175756,AURKAIP1,255,1.47922,127,0.28893,87,-1.1278
ENSG00000221978,CCNL2,120,1.31487,130,1.46160,39,-1.6755
ENSG00000242485,MRPL20,267,1.42469,179,0.72631,90,-1.2995
ENSG00000179403,VWA1,4,-6.0140,24,-3.5410,316,4.45030
ENSG00000205090,TMEM240,3,-3.6053,213,3.09782,27,-1.9930
ENSG00000160075,SSU72,3,-4.8645,232,1.41199,96,-0.2895
ENSG00000078369,GNB1,238,0.09044,377,0.84675,206,-0.5746
ENSG00000067606,PRKCZ,3,-4.3837,239,2.11043,61,-0.9909
ENSG00000162585,FAAP20,285,1.96237,49,-0.9533,75,-1.1451
ENSG00000157933,SKI,220,2.34114,100,0.84948,37,-2.1062
ENSG00000157916,RER1,3,-4.4179,95,0.40692,79,0.68117
ENSG00000157870,PRXL2B,3,-3.7542,239,3.12379,30,-2.0144
ENSG00000158109,TPRG1L,244,2.06694,228,1.92470,39,-2.5792
ENSG00000069424,KCNAB2,3,-4.4233,389,3.19632,46,-2.0711
ENSG00000116254,CHD5,3,-4.8524,601,3.60239,54,-2.4704
ENSG00000116251,RPL22,1837,0.90587,276,-2.0403,1059,0.00274
ENSG00000097021,ACOT7,3,-4.2643,407,3.66112,35,-2.5394
ENSG00000171735,CAMTA1,320,1.33849,259,0.96431,112,-1.3717
ENSG00000049245,VAMP3,262,1.17251,0,-9.7540,129,-0.0216
ENSG00000116288,PARK7,777,1.93702,173,-0.5990,206,-1.2054
ENSG00000142599,RERE,165,1.19219,207,1.60754,57,-1.7016
ENSG00000074800,ENO1,2575,2.89496,711,0.41866,305,-2.4271
ENSG00000171603,CLSTN1,830,1.75292,1087,2.30120,152,-2.6487
ENSG00000054523,KIF1B,866,1.82838,328,0.14293,234,-1.3492
ENSG00000120948,TARDBP,283,2.35222,59,-0.3914,55,-1.6380
ENSG00000116649,SRM,211,1.58506,226,1.72079,52,-2.0468
ENSG00000116661,FBXO2,725,2.09326,340,0.70913,150,-1.8196
ENSG00000132879,FBXO44,3,-4.4263,318,2.67578,54,-1.5518
ENSG00000011021,CLCN6,3,-3.4602,196,3.14376,24,-2.0438
ENSG00000116688,MFN2,3,-3.9970,96,0.91459,56,0.17116
ENSG00000116731,PRDM2,3,-3.6363,119,1.75307,38,-0.6614
ENSG00000116786,PLEKHM2,3,-3.9901,119,1.30412,53,-0.2082
ENSG00000065526,SPEN,3,-3.4907,63,0.79929,40,0.25433
ENSG00000055070,SZRD1,318,2.39314,27,-1.7292,64,-1.4247
ENSG00000159363,ATP13A2,3,-4.0399,183,2.05072,48,-0.9405
ENSG00000117118,SDHB,159,1.62871,97,0.75016,46,-1.4647
ENSG00000117115,PADI2,3,-5.1693,14,-3.1986,149,4.01639
ENSG00000077549,CAPZB,459,1.63438,397,1.36700,120,-1.8334
ENSG00000173436,MICOS10,476,0.85228,243,-0.2364,265,-0.4361
ENSG00000158747,NBL1,3,-5.5790,394,1.47837,156,-0.3439
ENSG00000162545,CAMK2N1,3,-7.0950,776,0.82086,487,0.32289
ENSG00000158828,PINK1,305,0.76825,255,0.47130,170,-0.7150
ENSG00000127483,HP1BP3,380,1.81874,161,0.31206,101,-1.4096
ENSG00000075151,EIF4G3,265,1.91974,167,1.06048,59,-1.8633
ENSG00000076864,RAP1GAP,3,-4.0708,349,3.59139,31,-2.4738
ENSG00000070831,CDC42,359,0.77181,332,0.63909,197,-0.8115
ENSG00000125944,HNRNPR,164,1.00903,68,-0.4079,83,-0.4881
ENSG00000117318,ID3,274,2.05232,4,-4.4370,73,-0.9321
ENSG00000142676,RPL11,1052,-0.1116,226,-2.4260,1238,0.95287
ENSG00000057757,PITHD1,321,1.84347,151,0.50991,82,-1.5169
ENSG00000189266,PNRC2,259,1.90970,44,-1.0401,71,-1.0790
ENSG00000001461,NIPAL3,3,-4.6030,27,-1.7132,99,2.67207
ENSG00000133226,SRRM1,3,-4.3663,85,0.28436,77,0.79707
ENSG00000169504,CLIC4,3,-5.2439,1,-7.0143,159,6.02338
ENSG00000117614,SYF2,254,1.43267,44,-1.3607,99,-0.5852
ENSG00000117616,RSRP1,277,1.92875,132,0.59800,66,-1.6281
ENSG00000183726,TMEM50A,3,-4.7930,125,0.43643,102,0.66681
ENSG00000162430,SELENON,521,3.28280,94,-0.0300,49,-2.6499
ENSG00000117640,MTFR1L,3,-3.4623,107,1.77189,34,-0.6874
ENSG00000117632,STMN1,6,-6.2459,890,1.03510,481,0.10348
ENSG00000142669,SH3BGRL3,586,1.29288,172,-0.6992,246,-0.6217
ENSG00000198830,HMGN2,259,0.77923,62,-1.4432,161,-0.0012
ENSG00000117713,ARID1A,3,-3.9281,97,1.01104,53,0.07453
ENSG00000090273,NUDC,1049,3.29941,216,0.19094,94,-2.7462
ENSG00000186501,TMEM222,3,-4.4901,200,1.62320,72,-0.5064
ENSG00000158195,WASF2,3,-4.5330,5,-3.9961,96,4.38434
ENSG00000126709,IFI6,1406,2.25618,178,-1.2257,307,-1.3666
ENSG00000117758,STX12,238,1.79779,94,0.19005,65,-1.3422
ENSG00000126698,DNAJC8,388,2.03083,191,0.73581,84,-1.7800
ENSG00000130770,ATP5IF1,718,2.13593,278,0.42753,150,-1.7271
ENSG00000116350,SRSF4,3,-3.5219,61,0.70424,41,0.34697
ENSG00000162512,SDC3,3,-4.4176,191,1.62703,68,-0.5120
ENSG00000134644,PUM1,271,1.86907,237,1.61354,56,-2.1806
ENSG00000121766,ZCCHC17,3,-4.4991,257,2.10195,66,-0.9800
ENSG00000121769,FABP3,3,-3.7957,376,4.63102,16,-3.5297
ENSG00000162517,PEF1,3,-3.8719,154,1.94307,44,-0.8394
ENSG00000084636,COL16A1,316,2.65849,77,0.06454,47,-2.0642
ENSG00000121753,ADGRB2,3,-4.5420,411,3.12249,52,-1.9952
ENSG00000184007,PTP4A2,3,-6.7596,80,-2.3279,446,3.41199
ENSG00000121774,KHDRBS1,479,2.36320,219,0.88275,79,-2.1434
ENSG00000084623,EIF3I,3,-4.0445,135,1.45862,54,-0.3574
ENSG00000175130,MARCKSL1,3,-7.2369,161,-1.7757,615,2.89349
ENSG00000160058,BSDC1,3,-3.6551,130,1.90034,38,-0.8052
ENSG00000162521,RBBP4,315,2.23326,87,-0.0298,64,-1.6390
ENSG00000134684,YARS,3,-3.7824,145,1.93857,41,-0.8381
ENSG00000121905,HPCA,3,-4.7646,681,4.28404,38,-3.1556
ENSG00000121900,TMEM54,3,-3.4725,28,-0.4811,43,1.43839
ENSG00000134686,PHC2,3,-4.5107,78,-0.0070,87,1.08410
ENSG00000116544,DLGAP3,3,-2.9270,152,3.44878,15,-2.3719
ENSG00000116560,SFPQ,3,-5.5187,105,-0.6315,180,1.72937
ENSG00000020129,NCDN,3,-5.3042,835,3.65760,73,-2.5203
ENSG00000126067,PSMB2,3,-4.3608,123,0.90617,72,0.19389
ENSG00000116871,MAP7D1,3,-5.5803,273,0.83183,170,0.29684
ENSG00000054118,THRAP3,431,3.16725,110,0.46282,41,-2.7210
ENSG00000163875,MEAF6,3,-4.0107,185,2.11442,47,-1.0043
ENSG00000197982,C1orf122,3,-6.3191,179,-0.6644,315,1.78440
ENSG00000174574,AKIRIN1,49,-0.2258,67,0.27654,56,-0.0479
ENSG00000168653,NDUFS5,449,0.45333,385,0.20439,322,-0.3752
ENSG00000127603,MACF1,245,0.80030,146,-0.0413,140,-0.4822
ENSG00000090621,PABPC4,3,-4.0952,79,0.47010,63,0.60493
ENSG00000116983,HPCAL4,3,-4.9205,568,3.29338,64,-2.1603
ENSG00000131236,CAP1,3,-4.7212,80,-0.1950,101,1.27482
ENSG00000131238,PPT1,464,2.58304,161,0.58511,68,-2.1995
ENSG00000049089,COL9A2,13,-2.3901,0,-8.7617,78,3.52414
ENSG00000065978,YBX1,478,1.02178,58,-2.2503,255,-0.0719
ENSG00000117394,SLC2A1,33,-2.8220,20,-3.5841,263,3.29011
