"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"1",1,0.0638775715695927,20.2071695521902,0.970593334834598,6989.08795674274,6985.31229289198,7226.30672209894
"2",2,0.0487458091389464,-6.8304210703922,0.834808497040794,3535.59048973167,3522.39428780915,3887.06659615819
"3",3,0.407585913957131,-10.9762806293902,0.713586885043156,1797.92633295321,1779.75243009093,2178.83077615387
"4",4,0.742232969338988,-9.67060413299285,0.771428473303397,919.816279916297,900.90961512686,1277.15298980322
"5",5,0.902649680797006,-7.9183295594519,0.892896486931648,473.933728581053,456.802318696615,796.581926111026
"6",6,0.967934992317391,-6.45246059028421,0.959224938034248,246.283878731108,232.100213322305,524.49497863788
"7",7,0.969615261536113,-5.1359880359528,0.961255495098637,129.314884419964,118.171578365514,362.231371003468
"8",8,0.952609345638563,-4.26711747916872,0.943841361997622,68.7627815567354,60.2703781672171,260.534590924207
"9",9,0.949489779970275,-3.61548088729254,0.943829426553273,37.1338252864772,30.7960925867291,193.680470205391
"10",10,0.95880048459434,-3.1280849403078,0.95909913171556,20.4325793957361,15.7782005045468,147.795012642406
"11",12,0.95797883444489,-2.5154572857216,0.975923448243761,6.63977982258405,4.17334526574364,91.1196846891003
"12",14,0.93080021853692,-2.16760498953198,0.978691995816158,2.42424958719828,1.11308120062848,59.1990452283667
"13",16,0.929138780148536,-1.88989662122224,0.991037910217373,1.00837400854181,0.299616076774375,39.8483734674802
"14",18,0.927563039818333,-1.72051066415652,0.994919091228314,0.474245659619438,0.0814546618716632,27.5332761707591
"15",20,0.916065910180626,-1.64260170429686,0.986516296840717,0.246412378784245,0.022463365702684,19.4207040692714
"16",22,0.909607718584777,-1.59241563055913,0.974763894686039,0.137841211131719,0.00624980937071662,13.9337336178765
"17",24,0.91652759605508,-1.56598621982307,0.993990578515196,0.0813427492373699,0.00175616651224808,10.1424898382102
"18",26,0.92390950741787,-1.52488286785024,0.995531067060738,0.049961484450514,0.000499865151219581,7.47545570155665
"19",28,0.924679892579118,-1.50755987864659,0.988736432119901,0.0316774681795657,0.000143893785453653,5.57006465538811
"20",30,0.92111282011888,-1.48243076582805,0.980812533195333,0.0206308209243623,4.19359523329277e-05,4.19033213465153
