Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,2,-2.9340,13,-0.5124,30,1.60445,16,-0.2177,6,-1.8040
ENSG00000188976,NOC2L,39,-0.4719,41,-0.3923,70,0.77838,37,-0.5884,45,-0.2697
ENSG00000188290,HES4,138,0.33964,261,1.44255,90,-0.4908,112,0.00281,69,-0.8378
ENSG00000187608,ISG15,59,-0.3375,129,0.92976,75,0.04605,43,-0.8906,80,0.15700
ENSG00000188157,AGRN,45,-0.1586,110,1.31936,54,0.17692,37,-0.5409,29,-0.9300
ENSG00000078808,SDF4,52,-0.5916,123,0.78555,86,0.28138,55,-0.5597,68,-0.2073
ENSG00000176022,B3GALT6,21,-0.7707,19,-0.9455,47,0.83313,32,-0.1301,27,-0.4416
ENSG00000160087,UBE2J2,70,0.54567,32,-0.6823,57,0.36379,46,-0.1448,37,-0.5078
ENSG00000162572,SCNN1D,0,-4.6895,18,0.13834,19,0.37084,18,0.15611,17,0.05266
ENSG00000131584,ACAP3,33,-1.6003,67,-0.5502,120,0.61471,93,-0.0414,92,-0.0591
ENSG00000127054,INTS11,31,-0.7841,59,0.23501,56,0.21812,51,-0.0130,48,-0.1068
ENSG00000224051,CPTP,67,1.06106,24,-0.6128,35,-0.0410,37,0.06581,25,-0.5776
ENSG00000107404,DVL1,24,-1.5101,95,0.65170,55,-0.3371,84,0.51556,66,0.04566
ENSG00000175756,AURKAIP1,137,-0.0606,116,-0.3292,155,0.21654,165,0.27014,110,-0.4541
ENSG00000221978,CCNL2,51,-0.0187,70,0.50118,63,0.51735,40,-0.4205,31,-0.8799
ENSG00000242485,MRPL20,81,-0.9123,146,0.00660,151,0.08488,207,0.66767,106,-0.5552
ENSG00000179403,VWA1,49,0.45282,79,1.25820,11,-2.2337,39,0.08776,61,0.93878
ENSG00000197785,ATAD3A,37,0.90299,18,-0.2658,23,0.24929,13,-0.7958,18,-0.2329
ENSG00000205090,TMEM240,68,0.92428,7,-2.4315,48,0.56116,38,-0.0537,22,-0.9342
ENSG00000160075,SSU72,118,-0.4227,147,-0.0749,174,0.30604,179,0.27164,111,-0.5669
ENSG00000228594,FNDC10,0,-5.4524,14,-1.5067,48,0.71492,57,0.82564,24,-0.7387
ENSG00000272106,AL691432.2,7,-1.5550,22,0.17221,25,0.66165,22,0.18256,11,-0.9020
ENSG00000197530,MIB2,41,-0.0967,81,1.04738,44,0.03663,38,-0.2331,30,-0.6475
ENSG00000215790,SLC35E2A,26,-0.1677,20,-0.5527,35,0.54620,31,0.17208,18,-0.7874
ENSG00000008130,NADK,35,0.03200,40,0.24702,35,0.06210,43,0.40716,21,-0.8455
ENSG00000078369,GNB1,301,-0.4896,256,-0.7392,504,0.53844,393,-0.0772,370,-0.1803
ENSG00000187730,GABRD,5,-4.1911,18,-2.4804,155,1.58980,107,0.27035,35,-1.6172
ENSG00000067606,PRKCZ,66,-1.5415,95,-1.0044,241,0.77354,210,0.26961,132,-0.5420
ENSG00000162585,FAAP20,2,-4.5835,89,0.84485,47,-0.2864,62,0.29115,64,0.34772
ENSG00000157933,SKI,32,-0.0528,40,0.30814,27,-0.3906,45,0.62332,27,-0.3165
ENSG00000157916,RER1,22,-1.4909,65,0.16829,66,0.27319,63,0.13493,56,-0.0975
ENSG00000157911,PEX10,31,-0.0881,43,0.42145,32,-0.0502,34,0.06667,29,-0.2204
ENSG00000149527,PLCH2,0,-5.3222,19,-0.3851,32,0.74089,35,0.67896,13,-1.0764
ENSG00000197921,HES5,2,-3.6055,7,-1.9630,21,-0.3987,57,1.67196,23,-0.1489
ENSG00000157870,PRXL2B,34,-0.8438,28,-1.1661,76,0.68287,59,-0.0031,52,-0.2080
ENSG00000177133,PRDM16-DT,9,-1.4819,18,-0.4207,10,-1.7437,65,2.25949,21,-0.2446
ENSG00000158109,TPRG1L,93,-0.5958,90,-0.6452,182,0.78880,133,-0.0285,90,-0.7037
ENSG00000130764,LRRC47,57,-0.3431,40,-0.8673,102,1.03402,49,-0.6411,52,-0.5400
ENSG00000196581,AJAP1,24,-0.3182,3,-3.2954,39,0.74677,36,0.37929,20,-0.6972
ENSG00000069424,KCNAB2,48,-2.1518,95,-1.1488,224,0.28723,306,0.81922,173,-0.2550
ENSG00000116254,CHD5,49,-1.2784,9,-3.7376,150,0.77781,133,0.30533,100,-0.2017
ENSG00000116251,RPL22,798,0.46561,1297,1.31121,337,-1.2016,461,-0.4587,816,0.58132
ENSG00000116237,ICMT,31,-0.2287,38,0.08252,46,0.63139,33,-0.1427,20,-0.9377
ENSG00000158292,GPR153,4,-2.1402,12,-0.4925,22,0.72316,20,0.27711,12,-0.5507
ENSG00000097021,ACOT7,38,-2.3782,74,-1.4041,315,1.66074,141,-0.4763,100,-1.0426
ENSG00000215788,TNFRSF25,10,-0.8461,5,-1.7438,22,0.67342,21,0.40178,12,-0.5474
ENSG00000171680,PLEKHG5,0,-5.5590,14,-1.1140,35,0.50711,42,0.69257,25,-0.2416
ENSG00000162408,NOL9,67,1.19491,15,-1.2246,31,-0.1135,40,0.36297,21,-0.7777
ENSG00000162413,KLHL21,7,-2.2358,30,-0.2265,39,0.34789,49,0.68109,25,-0.5590
ENSG00000116273,PHF13,28,0.67126,20,0.11123,18,-0.1364,21,0.23967,13,-0.6542
ENSG00000041988,THAP3,8,-1.0800,5,-1.7484,27,1.25870,18,0.06727,8,-1.2382
