Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to11,Feature log2 fold change topic 6to11
ENSG00000228794,LINC01128,20,-0.2332,18,-0.4092,14,-0.7779,28,0.26533,25,0.23629
ENSG00000188976,NOC2L,15,-1.7574,70,0.53832,22,-1.2567,51,0.03833,57,0.43398
ENSG00000188290,HES4,177,1.27437,63,-0.4261,63,-0.4305,72,-0.2256,77,-0.2215
ENSG00000187608,ISG15,153,0.96537,73,-0.2416,67,-0.3634,86,0.03210,78,-0.2550
ENSG00000188157,AGRN,37,-0.1570,18,-1.2745,25,-0.7845,41,-0.0089,49,0.58104
ENSG00000131591,C1orf159,6,-1.3084,18,0.29304,24,0.81587,15,-0.0045,14,-0.1417
ENSG00000078808,SDF4,108,0.50875,22,-1.9177,60,-0.4304,98,0.39082,80,0.05536
ENSG00000176022,B3GALT6,15,-1.2781,1,-4.7263,38,0.14841,48,0.60227,38,0.34965
ENSG00000160087,UBE2J2,28,-0.7379,30,-0.6546,38,-0.2709,67,0.71727,45,-0.0341
ENSG00000162572,SCNN1D,22,0.65228,14,-0.0571,6,-1.2453,9,-0.7596,17,0.44320
ENSG00000131584,ACAP3,62,-0.8990,168,0.65875,91,-0.3283,149,0.51953,102,-0.2780
ENSG00000169972,PUSL1,16,0.22536,1,-3.2508,10,-0.4643,17,0.37386,15,0.28458
ENSG00000127054,INTS11,67,0.13376,61,-0.0080,57,-0.1141,58,-0.1032,62,0.05383
ENSG00000224051,CPTP,28,-0.4573,31,-0.2786,27,-0.4919,40,0.13018,40,0.28557
ENSG00000107404,DVL1,73,0.01256,26,-1.5421,119,0.81476,65,-0.1851,75,0.09707
ENSG00000175756,AURKAIP1,236,0.41349,133,-0.4922,225,0.33894,158,-0.2490,183,0.00477
ENSG00000221978,CCNL2,69,0.32265,59,0.07425,28,-1.0803,55,-0.0483,59,0.15268
ENSG00000242485,MRPL20,196,0.01519,230,0.27105,174,-0.1778,172,-0.2111,199,0.07478
ENSG00000235098,ANKRD65,29,0.45290,11,-1.0046,26,0.30116,21,-0.0857,22,0.02229
ENSG00000179403,VWA1,101,1.87360,5,-2.7218,29,-0.2242,11,-1.8223,36,0.19622
ENSG00000160072,ATAD3B,9,-0.7890,19,0.41311,14,-0.1146,19,0.38510,14,-0.1573
ENSG00000197785,ATAD3A,20,0.08027,13,-0.5657,12,-0.7367,21,0.14073,21,0.24840
ENSG00000205090,TMEM240,16,-1.7157,92,1.04007,32,-0.6729,48,-0.0277,50,0.09598
ENSG00000160075,SSU72,121,-0.3267,62,-1.3515,155,0.05464,175,0.28825,159,0.20802
ENSG00000228594,FNDC10,23,-1.1697,116,1.45391,30,-0.7201,33,-0.6544,50,0.09342
ENSG00000272106,AL691432.2,15,-0.5481,4,-2.5489,18,-0.2156,26,0.34944,24,0.43861
ENSG00000197530,MIB2,72,0.48129,139,1.62972,45,-0.2778,35,-0.7163,43,-0.5767
ENSG00000215790,SLC35E2A,32,-0.6155,34,-0.5671,48,-0.0306,61,0.40188,50,0.08118
ENSG00000008130,NADK,26,-0.3339,6,-2.4467,43,0.45644,31,-0.0720,36,0.40244
ENSG00000078369,GNB1,250,-0.9858,507,0.10600,421,-0.1848,461,-0.0495,519,0.30473
ENSG00000187730,GABRD,23,-2.7478,61,-1.3244,107,-0.4828,281,1.27327,142,-0.0855
ENSG00000067606,PRKCZ,55,-2.1435,185,-0.3385,160,-0.5618,265,0.25897,266,0.51148
ENSG00000162585,FAAP20,111,1.01025,41,-0.5826,72,0.28085,31,-1.1068,63,0.13118
ENSG00000157933,SKI,41,0.10081,30,-0.3968,32,-0.2651,33,-0.2290,42,0.30009
ENSG00000157916,RER1,68,-0.1927,104,0.47410,69,-0.1844,90,0.27797,71,-0.2373
ENSG00000157911,PEX10,43,0.04827,61,0.62089,54,0.41652,28,-0.6734,40,-0.0725
ENSG00000149527,PLCH2,8,-2.0342,9,-1.8632,24,-0.3937,38,0.34223,38,0.68676
ENSG00000157881,PANK4,9,-1.0872,8,-1.3302,12,-0.7215,24,0.39469,22,0.52669
ENSG00000197921,HES5,33,0.16225,30,0.04708,57,1.07870,10,-1.6791,31,0.12267
ENSG00000157873,TNFRSF14,22,0.80134,0,-3.9888,15,0.18537,25,1.18266,10,-0.8004
ENSG00000157870,PRXL2B,31,-1.5309,100,0.27327,87,0.04996,88,0.08901,88,0.16562
ENSG00000177133,PRDM16-DT,11,-1.6332,66,1.14015,63,1.04673,14,-1.4037,33,-0.0347
ENSG00000158109,TPRG1L,47,-2.1345,118,-0.7701,158,-0.3199,229,0.30748,224,0.52017
ENSG00000116213,WRAP73,20,0.60762,11,-0.3143,12,-0.1681,15,0.07779,13,-0.1380
ENSG00000130764,LRRC47,39,-1.1323,23,-1.9250,80,-0.0164,92,0.22737,94,0.53146
ENSG00000116198,CEP104,23,0.74283,11,-0.4594,10,-0.5960,13,-0.2034,15,0.11436
ENSG00000196581,AJAP1,6,-2.9416,45,0.04118,33,-0.4257,67,0.79897,44,0.00164
ENSG00000069424,KCNAB2,102,-1.3419,116,-1.1576,320,0.42726,274,0.19324,269,0.31002
ENSG00000116254,CHD5,32,-2.2522,90,-0.7166,122,-0.2506,131,-0.1492,178,0.80863
ENSG00000116251,RPL22,1291,1.18221,736,0.23700,780,0.33180,431,-0.6556,551,-0.4120
ENSG00000116237,ICMT,22,-1.0438,37,-0.2333,39,-0.1607,66,0.77664,41,-0.1619
ENSG00000158292,GPR153,10,-0.8442,0,-4.5177,26,0.56453,23,0.45848,19,0.20340
ENSG00000097021,ACOT7,65,-2.1582,160,-0.8143,164,-0.7783,396,0.70394,300,0.34246
ENSG00000215788,TNFRSF25,21,-0.1365,16,-0.5852,23,-0.0023,33,0.66832,21,-0.2494
ENSG00000171680,PLEKHG5,7,-2.2956,19,-0.7931,23,-0.4545,43,0.57855,35,0.37199
ENSG00000162408,NOL9,16,-1.1624,2,-3.7845,28,-0.3038,27,-0.3597,45,1.15353
ENSG00000162413,KLHL21,46,0.55503,5,-2.6012,29,-0.1635,32,-0.0272,35,0.29009
ENSG00000116273,PHF13,14,-0.4963,30,0.68074,10,-0.9720,21,0.13788,20,0.03041
ENSG00000041988,THAP3,28,0.37353,0,-4.7273,22,0.00741,27,0.31956,23,0.16184
ENSG00000007923,DNAJC11,18,-0.8603,33,0.05093,36,0.22803,39,0.36988,30,-0.1129
ENSG00000171735,CAMTA1,214,0.25444,116,-0.7036,173,-0.0901,150,-0.3386,201,0.32338
ENSG00000049245,VAMP3,111,2.11342,3,-3.5762,37,0.19515,14,-1.4310,31,-0.2007
ENSG00000049246,PER3,56,0.69584,49,0.46803,34,-0.1197,24,-0.6974,36,-0.0648
ENSG00000116288,PARK7,383,-0.0833,399,-0.0193,448,0.16660,428,0.10269,392,-0.0874
ENSG00000116285,ERRFI1,18,-0.2035,2,-3.1434,12,-0.8065,30,0.68779,22,0.26935
ENSG00000162426,SLC45A1,8,-2.1022,14,-1.3541,35,0.02099,53,0.74814,37,0.17705
ENSG00000142599,RERE,104,-0.0421,44,-1.3558,107,0.00198,132,0.38389,109,0.07355
ENSG00000074800,ENO1,732,0.13325,623,-0.1246,747,0.16507,839,0.39822,605,-0.3218
ENSG00000171612,SLC25A33,68,1.00121,6,-2.6238,78,1.23497,25,-0.6763,34,-0.2362
ENSG00000188807,TMEM201,11,-0.5401,10,-0.5654,13,-0.1882,9,-0.9084,19,0.86315
ENSG00000171603,CLSTN1,304,-1.2161,729,0.13212,414,-0.7521,903,0.54283,688,0.08112
ENSG00000178585,CTNNBIP1,30,-0.4721,50,0.29781,52,0.35925,27,-0.7313,45,0.27127
ENSG00000162441,LZIC,65,0.97425,21,-0.7843,36,-0.0007,30,-0.3035,35,-0.0463
ENSG00000130939,UBE4B,24,-0.6131,28,-0.4089,20,-0.8566,36,0.00112,42,0.53162
ENSG00000054523,KIF1B,142,-0.9900,205,-0.4270,276,0.03708,243,-0.1846,310,0.48155
ENSG00000142657,PGD,39,-0.3759,57,0.21588,33,-0.6248,47,-0.1197,54,0.28416
ENSG00000241563,CORT,31,-2.0836,14,-3.1961,33,-2.0061,17,-3.0631,211,3.18330
ENSG00000160049,DFFA,40,0.60017,34,0.31416,33,0.26046,21,-0.4727,26,-0.1892
ENSG00000142655,PEX14,16,-0.3623,0,-4.7035,21,0.06970,26,0.40261,23,0.33372
ENSG00000120948,TARDBP,65,-0.1295,57,-0.3341,62,-0.2047,94,0.51217,68,-0.1345
ENSG00000116649,SRM,81,-0.5870,99,-0.2861,131,0.16021,116,-0.0343,126,0.22025
ENSG00000171824,EXOSC10,29,0.06954,44,0.73402,21,-0.4141,34,0.33277,24,-0.4135
ENSG00000198793,MTOR,24,-0.7572,11,-1.8675,31,-0.3911,53,0.50358,44,0.36441
ENSG00000204624,DISP3,25,0.64240,38,1.32981,19,0.14910,22,0.47036,10,-1.2920
ENSG00000116661,FBXO2,1253,2.17963,175,-1.1289,520,0.57228,229,-0.7836,268,-0.8437
ENSG00000132879,FBXO44,58,-1.5176,132,-0.2806,109,-0.5829,195,0.38086,175,0.34113
ENSG00000116670,MAD2L2,47,0.57193,1,-4.7535,30,-0.1190,38,0.28743,34,0.13902
ENSG00000177674,AGTRAP,72,2.51133,23,0.39345,10,-0.9082,5,-1.9350,13,-0.7567
