Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,6,-1.2382,6,-1.1497,28,1.31911,7,-0.8717,12,-0.0948,13,-0.0031,19,0.66406
ENSG00000188976,NOC2L,43,-0.1619,49,0.04969,57,0.28979,104,1.36230,36,-0.5153,30,-0.7420,28,-0.8623
ENSG00000188290,HES4,44,-0.2232,63,0.38028,28,-0.9236,65,0.43679,59,0.31098,38,-0.4245,45,-0.1600
ENSG00000187608,ISG15,67,1.24293,29,-0.2049,18,-0.9299,18,-0.9042,32,-0.0362,43,0.46053,23,-0.5882
ENSG00000188157,AGRN,20,0.26713,8,-1.0878,18,0.15235,15,-0.1837,14,-0.3570,30,0.98879,15,-0.1481
ENSG00000078808,SDF4,182,1.33416,97,0.21149,76,-0.1909,58,-0.6265,66,-0.4844,71,-0.2933,69,-0.3542
ENSG00000176022,B3GALT6,47,0.38156,55,0.64909,36,-0.0773,35,-0.1373,30,-0.4387,42,0.17910,27,-0.5435
ENSG00000160087,UBE2J2,47,0.18969,29,-0.5841,57,0.51765,53,0.39256,43,0.04595,28,-0.6504,36,-0.2727
ENSG00000131584,ACAP3,47,-0.4207,39,-0.6926,62,0.04007,87,0.59871,65,0.12938,72,0.28923,49,-0.3527
ENSG00000127054,INTS11,55,0.35294,23,-1.0198,55,0.33303,79,0.97857,36,-0.3792,28,-0.7204,44,-0.0141
ENSG00000224051,CPTP,45,0.65179,17,-0.9349,38,0.35944,44,0.59937,21,-0.6479,22,-0.5213,36,0.28689
ENSG00000107404,DVL1,45,-0.3504,45,-0.3581,56,-0.0113,49,-0.2231,65,0.29121,46,-0.3182,78,0.55286
ENSG00000175756,AURKAIP1,160,-0.1548,216,0.34259,134,-0.4431,159,-0.1676,191,0.16290,187,0.09668,170,-0.0573
ENSG00000221978,CCNL2,65,0.68543,49,0.18989,50,0.21666,37,-0.2730,37,-0.2922,28,-0.7048,45,0.07005
ENSG00000242485,MRPL20,178,-0.1257,183,-0.0783,166,-0.2304,220,0.23171,208,0.15464,169,-0.2054,202,0.08982
ENSG00000179403,VWA1,41,-0.7229,42,-0.6837,23,-1.5868,35,-0.9617,46,-0.6306,158,1.61118,127,1.17549
ENSG00000197785,ATAD3A,2,-2.7090,28,1.07391,18,0.35707,20,0.50559,12,-0.3973,8,-0.8562,18,0.29366
ENSG00000205090,TMEM240,26,-0.5313,36,-0.0443,50,0.53162,73,1.19893,36,-0.0490,14,-1.4337,22,-0.7894
ENSG00000160075,SSU72,154,0.16283,120,-0.2460,165,0.27261,157,0.19368,148,0.10696,115,-0.3151,111,-0.3649
ENSG00000228594,FNDC10,6,-2.4884,56,0.96537,31,-0.0261,61,1.11138,31,-0.0813,20,-0.7012,20,-0.7591
ENSG00000272106,AL691432.2,45,0.77771,20,-0.5280,35,0.35480,36,0.40626,21,-0.5375,38,0.47092,10,-1.5201
ENSG00000197530,MIB2,28,-0.0684,32,0.15953,43,0.65126,29,-0.0335,30,0.02172,29,-0.0157,14,-1.1593
ENSG00000189339,SLC35E2B,41,0.04444,53,0.46000,44,0.14544,42,0.07175,38,-0.1131,47,0.26617,18,-1.2096
ENSG00000008130,NADK,27,0.33126,24,0.19200,21,-0.0370,25,0.20584,19,-0.2385,29,0.50764,9,-1.3077
ENSG00000078369,GNB1,372,0.00543,496,0.49171,449,0.32217,318,-0.2483,330,-0.2190,409,0.16143,261,-0.5654
ENSG00000187730,GABRD,38,-0.3422,84,0.97274,79,0.86492,54,0.20019,47,-0.0323,19,-1.3814,13,-1.9993
ENSG00000067606,PRKCZ,109,-0.5965,155,-0.0348,216,0.53206,271,0.93015,156,-0.0283,100,-0.7244,101,-0.7119
ENSG00000162585,FAAP20,76,0.19727,102,0.71091,42,-0.7308,68,0.02727,66,-0.0344,59,-0.2195,58,-0.2301
ENSG00000157933,SKI,37,0.01651,53,0.61159,29,-0.3818,52,0.58710,27,-0.5723,18,-1.1554,52,0.57726
ENSG00000157916,RER1,60,0.08984,35,-0.7745,69,0.31599,70,0.33946,35,-0.8979,89,0.75933,64,0.19343
ENSG00000157911,PEX10,22,-0.5976,28,-0.2144,32,0.03244,35,0.15764,29,-0.1835,36,0.22027,43,0.51563
ENSG00000197921,HES5,16,-0.5074,20,-0.1205,9,-1.2491,20,-0.1451,26,0.37486,32,0.67002,23,0.12076
ENSG00000157870,PRXL2B,35,-0.9137,51,-0.3130,68,0.17400,81,0.45370,54,-0.2436,75,0.32644,75,0.33123
ENSG00000177133,PRDM16-DT,0,-5.8993,20,0.00140,8,-1.4187,12,-0.8582,33,1.00267,40,1.18427,17,-0.3118
ENSG00000158109,TPRG1L,133,-0.2983,151,-0.0889,237,0.67112,231,0.62245,150,-0.1205,140,-0.2152,86,-0.9766
ENSG00000130764,LRRC47,74,0.10152,74,0.10903,105,0.70157,73,0.09552,49,-0.6444,60,-0.2256,71,0.03923
ENSG00000116198,CEP104,1,-3.6945,7,-1.3591,21,0.22812,21,0.27397,15,-0.3913,31,0.91622,34,1.06995
ENSG00000196581,AJAP1,22,-0.5899,25,-0.4176,61,1.09805,59,1.04841,26,-0.3931,16,-1.0698,23,-0.5610
ENSG00000069424,KCNAB2,139,0.02071,118,-0.2448,196,0.59808,132,-0.0631,146,0.12514,131,-0.0735,89,-0.6850
ENSG00000116254,CHD5,102,-0.3941,117,-0.1780,139,0.10845,256,1.17979,116,-0.2177,79,-0.7925,118,-0.1665
ENSG00000116251,RPL22,1378,1.12155,520,-0.5380,375,-1.0472,521,-0.5364,765,0.10073,690,-0.0845,796,0.15136
ENSG00000116237,ICMT,22,-0.5581,63,1.23809,43,0.53033,28,-0.1880,25,-0.4167,16,-1.0248,28,-0.1849
ENSG00000097021,ACOT7,239,0.18915,240,0.19308,397,1.08239,205,-0.0698,186,-0.2636,159,-0.4727,97,-1.2448
ENSG00000171680,PLEKHG5,32,0.82089,27,0.52954,26,0.45889,14,-0.5237,11,-1.0068,26,0.44219,11,-0.9647
ENSG00000162408,NOL9,5,-2.8358,42,0.40348,35,0.07933,59,0.98388,28,-0.2849,44,0.48279,23,-0.5519
ENSG00000162413,KLHL21,46,0.76385,26,-0.1626,40,0.54787,17,-0.8405,24,-0.3737,31,0.12324,24,-0.2736
ENSG00000116273,PHF13,11,-0.5938,28,0.96892,29,1.02790,9,-0.9568,12,-0.5439,19,0.24388,9,-0.9221
ENSG00000041988,THAP3,34,0.51668,15,-0.7662,33,0.47696,31,0.40385,20,-0.4131,23,-0.1302,22,-0.1748
ENSG00000007923,DNAJC11,0,-5.4334,52,0.91372,34,0.17024,48,0.79073,22,-0.5884,30,-0.0310,35,0.23422
ENSG00000171735,CAMTA1,79,-0.9159,168,0.29797,152,0.12819,152,0.12506,139,-0.0228,104,-0.4904,193,0.53039
ENSG00000049245,VAMP3,27,-0.9108,45,-0.1220,18,-1.5041,27,-0.8888,41,-0.2984,83,0.92932,104,1.34788
ENSG00000049246,PER3,17,-0.7435,40,0.60831,32,0.23270,19,-0.5936,14,-1.2025,37,0.46236,50,0.99283
ENSG00000116288,PARK7,323,-0.1665,361,0.01330,386,0.12394,284,-0.3730,419,0.31007,450,0.38312,222,-0.7647
ENSG00000116285,ERRFI1,4,-2.1430,20,0.30537,32,1.14257,19,0.26845,10,-0.8228,22,0.49042,14,-0.2637
ENSG00000162426,SLC45A1,13,-0.7448,17,-0.3765,37,0.91557,22,0.02166,15,-0.5828,34,0.78398,18,-0.3006
ENSG00000142599,RERE,161,0.75564,88,-0.2628,114,0.15986,77,-0.4768,85,-0.3630,91,-0.2034,126,0.33120
ENSG00000074800,ENO1,888,0.27396,690,-0.1428,943,0.37659,716,-0.0822,643,-0.2976,873,0.24518,631,-0.2893
ENSG00000171612,SLC25A33,27,-0.0953,18,-0.7085,15,-0.9888,21,-0.4682,27,-0.0490,45,0.77677,46,0.81277
ENSG00000188807,TMEM201,11,-0.2768,13,-0.0070,24,1.10057,12,-0.0600,14,0.11117,5,-1.4293,10,-0.3636
ENSG00000171603,CLSTN1,497,0.06964,565,0.28587,748,0.77225,578,0.32463,319,-0.7268,429,-0.1704,355,-0.4764
ENSG00000178585,CTNNBIP1,18,-1.1501,67,0.94733,45,0.24788,48,0.38556,38,-0.0062,25,-0.6830,28,-0.5245
ENSG00000162441,LZIC,58,0.54145,49,0.25008,18,-1.3172,18,-1.2988,33,-0.4151,37,-0.1888,89,1.31471
ENSG00000130939,UBE4B,56,0.43513,79,1.03758,53,0.35388,44,0.05169,21,-1.2154,34,-0.3664,35,-0.3195
ENSG00000054523,KIF1B,260,-0.3990,350,0.08550,353,0.09987,406,0.33413,315,-0.1022,327,-0.0257,333,0.00319
ENSG00000142657,PGD,91,0.68136,89,0.64282,63,0.05912,50,-0.3104,34,-1.0195,53,-0.2066,72,0.27092
ENSG00000241563,CORT,18,-3.6580,1537,6.18907,12,-4.2594,7,-5.0376,29,-3.2059,13,-4.1512,36,-2.6819
ENSG00000160049,DFFA,42,0.08795,73,1.07649,29,-0.4928,19,-1.0994,30,-0.5111,39,-0.0012,53,0.49443
ENSG00000142655,PEX14,5,-2.2438,63,1.75616,37,0.73255,14,-0.8036,11,-1.3203,28,0.25075,22,-0.1409
ENSG00000120948,TARDBP,71,0.33666,83,0.59143,73,0.36617,34,-0.8714,37,-0.7954,60,0.04196,71,0.33607
ENSG00000116649,SRM,163,0.61193,114,0.01229,145,0.40684,89,-0.3888,99,-0.2572,92,-0.3479,107,-0.0910
ENSG00000171824,EXOSC10,28,0.47077,5,-2.0567,33,0.75874,12,-0.8291,14,-0.7847,17,-0.3873,47,1.38609
ENSG00000198793,MTOR,54,0.47014,23,-0.8645,63,0.74664,30,-0.4523,29,-0.5840,53,0.45016,42,0.05138
ENSG00000116661,FBXO2,302,-0.0538,262,-0.2819,187,-0.8164,285,-0.1498,378,0.38380,307,-0.0261,396,0.40041
ENSG00000132879,FBXO44,57,-0.8283,75,-0.4002,172,0.99597,144,0.67368,90,-0.1285,86,-0.1842,58,-0.8133
ENSG00000116670,MAD2L2,12,-0.9875,14,-0.7457,21,-0.0885,22,-0.0644,19,-0.3539,31,0.54314,43,1.11654
ENSG00000177674,AGTRAP,20,0.15403,8,-1.2679,6,-1.6517,10,-0.8809,16,-0.2261,37,1.23120,32,0.96830
ENSG00000177000,MTHFR,12,-0.4212,17,0.20618,14,-0.1799,29,1.09910,10,-0.6958,23,0.64772,7,-1.1053
ENSG00000011021,CLCN6,70,0.30843,81,0.56263,86,0.67857,88,0.70686,36,-0.8555,26,-1.2387,40,-0.5729
ENSG00000116685,KIAA2013,29,-0.2236,37,0.18396,35,0.11504,41,0.37101,22,-0.7053,25,-0.4506,52,0.78085
ENSG00000083444,PLOD1,14,-0.3522,8,-1.2325,14,-0.2774,24,0.58393,12,-0.6490,24,0.55420,29,0.90926
ENSG00000116688,MFN2,92,0.09707,90,0.05365,110,0.38692,90,0.06355,67,-0.4754,114,0.45186,65,-0.4583
