Feature ID,Feature Name,Feature count topic 1to6,Feature log2 fold change topic 1to6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000237491,LINC01409,15,-0.2131,18,0.21312
ENSG00000228794,LINC01128,41,1.00440,20,-1.0044
ENSG00000188976,NOC2L,62,0.73591,37,-0.7359
ENSG00000188290,HES4,101,-0.4633,140,0.46335
ENSG00000187608,ISG15,63,0.23179,54,-0.2317
ENSG00000188157,AGRN,47,-0.4614,65,0.46149
ENSG00000131591,C1orf159,15,0.08982,14,-0.0898
ENSG00000078808,SDF4,88,-0.1278,97,0.12782
ENSG00000176022,B3GALT6,48,0.44447,35,-0.4444
ENSG00000160087,UBE2J2,58,0.33686,46,-0.3368
ENSG00000162572,SCNN1D,22,0.18352,19,-0.1835
ENSG00000131584,ACAP3,142,-0.1603,159,0.16035
ENSG00000169972,PUSL1,14,0.37570,11,-0.3757
ENSG00000127054,INTS11,64,-0.3226,80,0.32263
ENSG00000224051,CPTP,32,-0.3879,42,0.38798
ENSG00000107404,DVL1,75,-0.3473,96,0.34730
ENSG00000175756,AURKAIP1,207,0.07568,196,-0.0756
ENSG00000221978,CCNL2,70,-0.0232,72,0.02322
ENSG00000242485,MRPL20,203,0.39856,154,-0.3985
ENSG00000179403,VWA1,16,-1.7362,54,1.73624
ENSG00000160072,ATAD3B,18,0.12742,17,-0.1274
ENSG00000197785,ATAD3A,20,-0.0045,20,0.00456
ENSG00000205090,TMEM240,51,0.32704,41,-0.3270
ENSG00000160075,SSU72,212,0.35994,165,-0.3599
ENSG00000228594,FNDC10,42,0.25739,35,-0.2573
ENSG00000272106,AL691432.2,32,-0.0193,33,0.01933
ENSG00000197530,MIB2,63,0.17568,56,-0.1756
ENSG00000189339,SLC35E2B,39,0.44191,29,-0.4419
ENSG00000215790,SLC35E2A,34,0.54336,24,-0.5433
ENSG00000008130,NADK,41,-0.0654,43,0.06543
ENSG00000078369,GNB1,519,0.36173,404,-0.3617
ENSG00000187730,GABRD,172,0.57026,115,-0.5702
ENSG00000067606,PRKCZ,248,0.47891,178,-0.4789
ENSG00000162585,FAAP20,53,-0.1719,59,0.17193
ENSG00000157933,SKI,28,0.12773,26,-0.1277
ENSG00000157916,RER1,82,-0.6411,128,0.64112
ENSG00000157911,PEX10,34,-0.7852,59,0.78525
ENSG00000149527,PLCH2,45,0.54564,31,-0.5456
ENSG00000157881,PANK4,22,-0.2126,25,0.21261
ENSG00000197921,HES5,65,-1.5559,192,1.55596
ENSG00000272449,AL139246.5,22,-1.0770,47,1.07709
ENSG00000157873,TNFRSF14,13,-1.0160,28,1.01606
ENSG00000157870,PRXL2B,77,0.48951,55,-0.4895
ENSG00000177133,PRDM16-DT,25,-1.8937,95,1.89373
ENSG00000158109,TPRG1L,236,0.47400,170,-0.4740
ENSG00000116213,WRAP73,16,-0.2261,19,0.22619
ENSG00000130764,LRRC47,99,0.81018,57,-0.8101
ENSG00000116198,CEP104,15,0.83901,8,-0.8390
ENSG00000198912,C1orf174,16,0.61829,10,-0.6182
ENSG00000196581,AJAP1,62,0.88664,33,-0.8866
ENSG00000069424,KCNAB2,327,0.11209,302,-0.1120
ENSG00000116254,CHD5,198,0.35206,155,-0.3520
ENSG00000116251,RPL22,499,-0.4811,697,0.48111
