cell_type_class,cell_type_broad,cell_type_anno,n,prop,median_sum,median_detected,median_Mito_percent,median_scDblFinder.score,passALL_metricQC,snn_kOpt,spatialERC,snDLPFC_PEC,sestan_EC,spatialHPC,xSpD,enrichment_genes,MeanRatio_genes
neuron,Excit,Excit.L2,2209,0.0175759649276354,72874,9498,0.100393766662577,0.00159267953131348,TRUE,k13c13,vL2/vL5a,L2.3.IT,EC.L2.CUX2.CALB1,L2.3.3,"xL2 (60%), xL5 (20%)","MOB1B, PUM3, RPS6KA6, TENT2, TTLL5, RFX3, DTNBP1, EPB41L4B, CDH9","LINC01090, CALB1, LINC02073, LINC02669, NRAD1, MET"
neuron,Excit,Excit.L2_5.1,8671,0.0689910329957114,27638,6506,0.120288692862871,0.0015696962364018,TRUE,k13c15,vL2/vL5a/vL5b,L2.3.IT,EC.L2.CUX2.CALB1,L2.3.3,"xL2 (22%), xLD_glia (20%), xL5 (25%)","PABPN1, PLP1, CD9, BCAS1, TXNIP, APCDD1, ADAM33, OPALIN, SRRM2, EBF1","MT-ND1, MT-CYB, MT-ND5, MT-ND2, PABPN1, CFLAR, GRIN1, ACAP3"
neuron,Excit,Excit.L2_5.2,609,0.00484552405655498,61717,9080,0.0327139492279508,0.00129733025096357,TRUE,k13c19,vL5a,L2.3.IT,EC.L3.PCP4.ADARB2/EC.L2.RELN.BMPR1B,L2.3.2,xL5 (72%),"AGPAT5, CDK5RAP2, MCOLN2, TGFBI, DGKE, CDCA7, INMT, UBL3","TGFBI, MCOLN2, DNAI3, PAWR, ADGRG2, NPNT, MCOLN3, CRHR2, LINC01886"
neuron,Excit,Excit.L5.1,2235,0.0177828345917905,57008,8821,0.111635459481403,0.00236709206365049,TRUE,k13c02,vL5b/vL5a/vL2,L5.IT,EC.L5.RORB.TLL1,L5.1,xL5 (69%),"GCNT1, PIK3R1, CASC15, PRUNE2, LINC02196","RORB, PTGFRN, TEX41, TDO2, ID2, MARCHF3, EPHB6, CEMIP"
neuron,Excit,Excit.L5.2,241,0.00191752265620649,63691,9154,0.0369902018976834,0.00510669872164726,TRUE,k13c22,vL5a,L5.IT/L2.3.IT*,EC.L2.RELN.BCL11B,L2.3.4,"xL2 (30%), xL5 (38%)","HOTAIRM1, TANK, ARID1B, LINC02752, HMCN2, DSC3, GALNT5, LINC02384, SETD3, CHRNA1","HMCN2, GPC5-AS1, ZNF536, GPC5-AS2, LINC02752, TMEM45B, GPR156, DSC3, PARD3B"
neuron,Excit,Excit.L5_6_NP,152,0.00120939188275264,49046.5,8421.5,0.104109969518625,0.047508716583252,TRUE,k13c14,vL5b,L5.6.NP,EC.L56.TLE4.NXPH2,Sub.2,"xL5 (57%), xL6 (23%)","CD200R1L, LINC02042, CCDC80, HMGA2, GNAT3, FAM89A, GPRIN2, NGLY1, CRYM, LPIN3","CCDC80, FAM89A, GPRIN2, NXPH2, MYOCD, ERG, LHFPL3, EPS8L2, PLPP3"
neuron,Excit,Excit.L6_CT,625,0.00497282846526579,70322,9087,0.0909077249027062,0.00204705214127898,TRUE,k13c21,vL5b/vL6,L6.CT,EC.L6.TLE4.SULF1,L6.2,xL6 (78%),"MAP2K1, CDON, CEP70, JAM3, CPE, KSR2, RAPGEF4, CCDC171, TNFRSF21","CAV1, TSPAN18, KIT, SULF1, P2RY6, GPR26, LINC02263, SULF2, NPFFR2"
neuron,Excit,Excit.L6b,897,0.00713700341334946,68541,9095,0.133516591399961,0.00208178465254605,TRUE,k13c11,vL6/vL5b,L6b,EC.L6b.TLE4.CCN2,L6b,xL6 (78%),"XKR4, NXPH4, FGF11, CPLX3, RNF220, CDH24, F2R, LINC01735, HSF2BP, SLC1A2","CDH24, CPLX3, OLFML2B, GRAMD2B, EPHA8, MCTP2, ROS1, DPP4, EPB41L4A"
neuron,Inhib,Inhib.Chandelier,303,0.00241082723996085,34203,7041,0.17790987295142,0.0146487327292562,TRUE,k13c20,vInhib,Chandelier,InN.PVALB.PLEKHH2,C1QL1,"xL2 (20%), xL5 (33%)","PLEKHA1, TPD52, NACC2, FRMPD4, MDGA2, SORL1, PLEKHD1, IBSP, B3GALT1, PLEKHH2","PLEKHH2, GRIN2C, PLEKHD1, SCUBE3, LINC02720, NOG, COL15A1, MME, LINC01837"
neuron,Inhib,Inhib.Lamp5_Lhx6,1234,0.00981835252182077,34249.5,7298.5,0.0947018847016545,0.00451101106591523,TRUE,k13c08,vInhib,Lamp5.Lhx6,InN.LAMP5.CHST9/InN.LAMP5.KIT,LAMP5.MGE/LAMP5.CGE,xL5 (19%),"CASP4LP, IL12A, ADAM22, ZNF648, PLEKHO1, ATP8A2, ABI1, CTD-2350J17.1, FGF13","CHST9, LINC01344, LAMP5, ARHGAP31, EYA4, PDGFD, SV2C, CA2, PDGFRA"
neuron,Inhib,Inhib.Pax6,125,9.9456569305315e-4,65886,9176,0.119176828619464,0.0360816270112991,TRUE,k13c17,vInhib,Pax6,InN.NR2F2.SLC17A8,HTR3A,xL1_inhib (39%),"CILP2, ARL5A, PKN2, LINC01162, CD99P1, GLUL, YJEFN3, TBL1XR1, TSPAN5, NTF3","DOCK8, LINC01162, HTR3A, CD99, SLCO1C1, FKBP5, SYT6, LINC01416"
neuron,Inhib,Inhib.Pvalb,1363,0.0108447443170516,41165,7923,0.116135221793027,0.00378827983513474,TRUE,k13c04,vInhib,Pvalb,InN.PVALB.PLCL1/InN.PVALB.MEPE,PV.FS,xL5 (48%),"MEPE, FGF12, MYBPC1, SLC26A4, AUH, SRRM4, ETV6","HHATL, KCNK13, RNF144B, FILIP1, MIR34AHG, HGF, STRIP2, DYNLT5, SLC26A4, PRKG1-AS1"
neuron,Inhib,Inhib.Sst,815,0.00648456831870659,33886,7145,0.0947811148628636,0.00371794821694493,TRUE,k13c16,vInhib,Sst,InN.SST.OTOF/InN.SST.EPB41L4A,SST,xL5 (36%),"KCNJ5, IQSEC1, ITFG1, BCL11A, FAM89A, PALM2AKAP2, EPB41L2, PAN3, SDR16C5, LINC02133","SST, TMCC3, FAM89A, KLF5, COL19A1, ITGA1, RNF152, IPCEF1, RSPO3, TRHDE-AS1"
neuron,Inhib,Inhib.Vip,7535,0.0599524199772443,19072,5608,0.101365452268797,0.00274951988831162,TRUE,k13c07,vInhib,Vip,InN.VIP.ABI3BP/InN.VIP.NOX4/InN.VIP.SCTR/InN.VIP.CHRNA2,VIP,"xL2 (25%), xL1_inhib (35%)","CHRNA2, SLC6A2, VIP, TDO2, NPR3, CBLN1","CALB2, ADRA1B, LAMA3, FAT4, FIGN, ARPP21, CCNG2, PROX1-AS1, LRFN2"
