"BayesSpace_SVGm_k11","vSpD","vSpD_k11","n","prop","median_sum_umi","median_sum_gene","median_chrM_ratio","median_Nmask"
"Sp11D01","vL2","vL2~Sp11D01",14069,0.115129048624409,5609,2483,0.186625815905155,5
"Sp11D02","vLD","vLD~Sp11D02",17773,0.145439518174825,3920,1754,0.259390712806862,4
"Sp11D03","vL5a","vL5a~Sp11D03",11577,0.0947365836893013,5851,2585,0.198908071418032,7
"Sp11D04","vL5b","vL5b~Sp11D04",14608,0.119539778399699,5373.5,2420.5,0.188484246929311,6
"Sp11D05","vL6","vL6~Sp11D05",14548,0.119048788072208,3430,1643.5,0.229469398854657,6
"Sp11D06","vL1","vL1~Sp11D06",16895,0.138254693049214,2408,1019,0.343547224224946,4
"Sp11D07","vWMd","vWMd~Sp11D07",5041,0.0412513706813309,1949,1012,0.184534270650264,11
"Sp11D08","vWMuf","vWMuf~Sp11D08",12025,0.0984026448012307,478,285,0.267441860465116,7
"Sp11D09","vVasc","vVasc~Sp11D09",5055,0.0413659350910787,1716,898,0.200680272108844,4
"Sp11D10","vInhib","vInhib~Sp11D10",2419,0.0197950933699939,5240,2370,0.203790238836968,6
"Sp11D11","vWMpv","vWMpv~Sp11D11",8192,0.0670365460467095,1442.5,745,0.233182160976279,9
