Feature ID,Feature Name,Feature count topic 1to6,Feature log2 fold change topic 1to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000237491,LINC01409,15,-0.2131,27,0.87004,9,-0.8879
ENSG00000228794,LINC01128,41,1.00440,26,-0.5127,14,-1.3965
ENSG00000188976,NOC2L,62,0.73591,29,-1.0133,45,-0.3517
ENSG00000188290,HES4,101,-0.4633,168,0.70604,112,0.01147
ENSG00000187608,ISG15,63,0.23179,50,-0.3013,57,-0.1055
ENSG00000188157,AGRN,47,-0.4614,89,0.93964,41,-0.3703
ENSG00000131591,C1orf159,15,0.08982,15,-0.0308,14,-0.1250
ENSG00000078808,SDF4,88,-0.1278,123,0.51590,70,-0.4054
ENSG00000176022,B3GALT6,48,0.44447,37,-0.2984,33,-0.4838
ENSG00000160087,UBE2J2,58,0.33686,38,-0.5928,54,-0.0360
ENSG00000162572,SCNN1D,22,0.18352,22,0.04038,17,-0.3816
ENSG00000131584,ACAP3,142,-0.1603,187,0.41011,131,-0.1815
ENSG00000169972,PUSL1,14,0.37570,8,-0.8568,14,0.08119
ENSG00000127054,INTS11,64,-0.3226,90,0.46550,71,0.05797
ENSG00000224051,CPTP,32,-0.3879,47,0.52603,37,0.10399
ENSG00000107404,DVL1,75,-0.3473,107,0.48298,84,0.08200
ENSG00000175756,AURKAIP1,207,0.07568,216,0.09263,176,-0.2371
ENSG00000221978,CCNL2,70,-0.0232,95,0.48694,49,-0.5984
ENSG00000242485,MRPL20,203,0.39856,133,-0.5759,174,-0.1454
ENSG00000179403,VWA1,16,-1.7362,41,0.82488,67,1.74790
ENSG00000160072,ATAD3B,18,0.12742,20,0.14859,14,-0.4096
ENSG00000197785,ATAD3A,20,-0.0045,23,0.21803,18,-0.2370
ENSG00000205090,TMEM240,51,0.32704,42,-0.2426,40,-0.3276
ENSG00000160075,SSU72,212,0.35994,172,-0.2422,157,-0.3880
ENSG00000228594,FNDC10,42,0.25739,41,0.00726,30,-0.4869
ENSG00000272106,AL691432.2,32,-0.0193,36,0.17889,29,-0.1607
