Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,13,-0.3505,6,-1.5824,33,1.12973,24,0.68691,18,0.20814,9,-0.8380,2,-3.2106
ENSG00000188976,NOC2L,25,-1.0670,37,-0.4414,85,0.89615,72,0.72458,38,-0.5111,48,-0.0449,40,-0.3169
ENSG00000188290,HES4,138,0.15680,74,-0.8140,84,-0.6295,80,-0.7663,94,-0.5540,343,1.76322,169,0.49483
ENSG00000187608,ISG15,68,-0.1467,85,0.20940,64,-0.2441,74,-0.0319,55,-0.5897,145,1.10011,74,-0.0213
ENSG00000188157,AGRN,45,-0.2196,30,-0.8630,70,0.47662,46,-0.2111,29,-1.0874,146,1.79355,51,-0.0339
ENSG00000078808,SDF4,60,-0.4093,70,-0.1656,92,0.27195,73,-0.1172,65,-0.3672,145,1.03771,72,-0.1343
ENSG00000176022,B3GALT6,28,-0.2854,20,-0.7776,38,0.16094,45,0.53553,43,0.49644,16,-1.1821,19,-0.9155
ENSG00000160087,UBE2J2,36,-0.4154,28,-0.7861,63,0.48483,61,0.48304,42,-0.2290,39,-0.2843,55,0.26362
ENSG00000162572,SCNN1D,12,-0.4765,16,-0.0040,9,-0.9192,30,1.25582,13,-0.3398,23,0.56038,0,-5.0992
ENSG00000131584,ACAP3,103,0.20357,78,-0.2402,115,0.37005,130,0.66614,90,-0.0186,53,-0.8361,32,-1.6106
ENSG00000127054,INTS11,46,-0.1736,46,-0.1677,64,0.36108,44,-0.2730,52,0.04445,66,0.42218,45,-0.2054
ENSG00000224051,CPTP,29,-0.2492,25,-0.4998,39,0.17870,30,-0.2431,36,0.08214,24,-0.5492,60,0.91177
ENSG00000107404,DVL1,85,0.31720,78,0.18380,54,-0.4053,69,-0.0188,71,0.03580,90,0.41122,40,-0.8771
ENSG00000175756,AURKAIP1,148,0.03923,105,-0.5087,135,-0.1080,136,-0.1166,175,0.40857,103,-0.5297,160,0.15645
ENSG00000221978,CCNL2,51,-0.0122,24,-1.1341,80,0.74699,39,-0.4757,46,-0.1885,85,0.84846,53,0.04774
ENSG00000242485,MRPL20,155,0.01402,101,-0.6578,139,-0.1589,139,-0.1706,213,0.73973,145,-0.0852,75,-1.1047
ENSG00000179403,VWA1,71,1.24881,55,0.79601,10,-1.8230,12,-1.6871,22,-0.8316,45,0.46962,68,1.16518
ENSG00000197785,ATAD3A,15,-0.2134,13,-0.5183,29,0.81499,16,-0.1387,16,-0.2165,11,-0.7556,29,0.78603
ENSG00000205090,TMEM240,22,-0.8147,19,-0.9952,38,0.04369,60,0.91502,40,0.16804,11,-1.8709,41,0.15594
ENSG00000160075,SSU72,154,-0.0480,107,-0.6224,183,0.22669,190,0.33459,166,0.09374,152,-0.0691,113,-0.5331
ENSG00000228594,FNDC10,15,-1.5037,24,-0.7669,23,-0.8770,84,1.50082,48,0.37974,28,-0.5569,0,-6.3264
ENSG00000272106,AL691432.2,18,-0.2496,12,-0.8239,24,0.19261,23,0.11701,25,0.36407,25,0.24805,12,-0.8667
ENSG00000197530,MIB2,46,0.05857,28,-0.7092,44,-0.0126,33,-0.5032,44,-0.0384,72,0.77315,58,0.42089
ENSG00000189339,SLC35E2B,16,0.15971,11,-0.4099,18,0.35964,18,0.44379,16,0.27890,6,-1.2590,6,-1.1584
ENSG00000215790,SLC35E2A,28,-0.1498,20,-0.6348,36,0.26123,18,-0.8473,48,1.04432,16,-0.9795,24,-0.3507
ENSG00000008130,NADK,30,-0.2664,21,-0.7810,45,0.37063,33,-0.1491,36,0.00150,46,0.42479,41,0.22741
ENSG00000078369,GNB1,412,-0.0024,357,-0.2302,534,0.41642,390,-0.1006,508,0.44930,239,-0.8519,282,-0.6004
ENSG00000187730,GABRD,45,-1.1268,29,-1.7718,178,1.08454,101,0.15795,146,1.04690,23,-2.1018,15,-2.7344
ENSG00000067606,PRKCZ,153,-0.2602,127,-0.5552,243,0.48645,285,0.88136,191,0.12161,78,-1.2922,60,-1.6853
ENSG00000162585,FAAP20,84,0.61545,71,0.32563,36,-0.7313,45,-0.4246,66,0.28326,82,0.56301,16,-1.9061
ENSG00000157933,SKI,36,0.04428,28,-0.3753,18,-1.0035,51,0.68874,30,-0.3238,36,0.03379,43,0.31422
ENSG00000157916,RER1,66,0.19735,57,-0.0442,96,0.82072,43,-0.5388,54,-0.1517,76,0.41929,41,-0.5376
ENSG00000157911,PEX10,53,0.72043,29,-0.2644,32,-0.0717,31,-0.1670,31,-0.2027,18,-0.9768,54,0.75692
ENSG00000149527,PLCH2,36,0.53835,13,-1.0910,42,0.79989,31,0.32794,30,0.31325,16,-0.7730,0,-5.7798
ENSG00000197921,HES5,83,1.72830,28,-0.1518,7,-2.0804,31,0.02113,39,0.49465,6,-2.3175,4,-2.9958
ENSG00000157870,PRXL2B,40,-0.5755,49,-0.2617,79,0.49373,75,0.47125,68,0.33137,28,-1.1045,31,-0.9700
ENSG00000177133,PRDM16-DT,52,0.96910,27,-0.0963,5,-2.5489,27,-0.0994,36,0.50630,23,-0.3676,17,-0.7571
ENSG00000158109,TPRG1L,123,-0.1381,67,-1.0692,220,0.81517,142,0.09976,156,0.31912,89,-0.6521,92,-0.5898
ENSG00000130764,LRRC47,48,-0.5487,41,-0.7701,113,0.83430,83,0.35802,74,0.16755,49,-0.5041,42,-0.7337
ENSG00000196581,AJAP1,16,-0.9555,16,-0.9737,42,0.56625,38,0.47931,39,0.62999,6,-2.4195,22,-0.4874
ENSG00000069424,KCNAB2,226,0.18708,173,-0.2416,246,0.32314,236,0.29661,252,0.49093,92,-1.2069,46,-2.2372
ENSG00000116254,CHD5,60,-0.9057,84,-0.3797,123,0.21718,220,1.46838,103,-0.0857,22,-2.3552,35,-1.6975
ENSG00000116251,RPL22,624,0.01506,854,0.52852,330,-0.9773,297,-1.2340,462,-0.5682,1429,1.43619,965,0.73454
ENSG00000116237,ICMT,34,-0.0695,14,-1.4507,58,0.78910,35,-0.0511,38,0.10814,26,-0.5010,44,0.30855
ENSG00000158292,GPR153,14,-0.4490,12,-0.6456,18,-0.0565,22,0.24042,25,0.59406,11,-0.7811,15,-0.3466
ENSG00000097021,ACOT7,101,-0.9002,84,-1.1770,423,1.46707,180,0.00381,236,0.59548,100,-0.9059,22,-3.1299
ENSG00000215788,TNFRSF25,19,0.17361,11,-0.6235,23,0.55488,22,0.53480,19,0.23858,4,-2.1391,9,-0.9406
ENSG00000171680,PLEKHG5,23,-0.3732,24,-0.3167,39,0.42860,38,0.43976,37,0.46607,24,-0.3120,0,-5.9753
ENSG00000162408,NOL9,12,-1.4682,23,-0.4878,32,0.06224,41,0.51302,35,0.24668,18,-0.8023,39,0.35059
ENSG00000162413,KLHL21,41,0.22171,25,-0.5410,48,0.48959,29,-0.3257,45,0.51495,39,0.16996,7,-2.2927
ENSG00000116273,PHF13,14,-0.4091,11,-0.8323,25,0.52353,20,0.14104,13,-0.6021,19,0.05630,35,1.04484
ENSG00000041988,THAP3,11,-0.8147,6,-1.6955,21,0.17153,20,0.08974,31,1.21023,5,-2.0044,11,-0.7687
ENSG00000007923,DNAJC11,16,-1.3240,27,-0.5194,42,0.19200,44,0.28853,43,0.31262,18,-1.1265,54,0.58919
ENSG00000171735,CAMTA1,180,-0.1974,148,-0.5031,159,-0.3984,294,0.69207,210,0.05627,181,-0.1945,157,-0.4182
ENSG00000049245,VAMP3,56,0.83998,59,0.90742,10,-1.7909,12,-1.6856,15,-1.4898,86,1.61186,59,0.90784
ENSG00000049246,PER3,42,0.23599,30,-0.3049,28,-0.3983,33,-0.1660,33,-0.1924,52,0.61108,45,0.34864
ENSG00000116288,PARK7,329,0.06018,266,-0.2746,294,-0.1199,209,-0.7189,412,0.58124,372,0.26096,251,-0.3683
ENSG00000116285,ERRFI1,22,0.06679,13,-0.6951,26,0.32067,25,0.26546,16,-0.5966,40,1.02035,16,-0.4783
ENSG00000162426,SLC45A1,25,-0.2724,21,-0.5507,82,1.73120,33,0.17839,35,0.30122,2,-3.7980,0,-5.9938
ENSG00000142599,RERE,159,0.58169,90,-0.3364,121,0.14176,136,0.37731,104,-0.1320,54,-1.1021,102,-0.1354
ENSG00000074800,ENO1,878,0.58126,356,-0.8553,865,0.55596,536,-0.2456,693,0.25228,460,-0.4599,445,-0.5107
ENSG00000171612,SLC25A33,138,1.85737,26,-0.9607,35,-0.5099,44,-0.1520,47,-0.0432,24,-1.0393,28,-0.8548
ENSG00000171603,CLSTN1,351,-0.5721,250,-1.0893,994,1.14029,650,0.46997,530,0.10076,364,-0.5164,201,-1.4170
ENSG00000178585,CTNNBIP1,77,1.40903,46,0.51582,23,-0.5688,32,-0.0891,31,-0.1580,28,-0.2670,4,-3.0710
ENSG00000162441,LZIC,59,0.90767,29,-0.2741,22,-0.7031,27,-0.3866,26,-0.5500,77,1.37647,23,-0.5928
ENSG00000130939,UBE4B,24,-0.5312,26,-0.3933,44,0.44580,50,0.76181,29,-0.3150,35,0.06685,20,-0.7747
ENSG00000054523,KIF1B,165,-0.5811,213,-0.1823,301,0.37124,354,0.74779,233,-0.0575,137,-0.8712,171,-0.5314
ENSG00000142657,PGD,52,0.05471,30,-0.8015,70,0.53751,68,0.57766,47,-0.1199,50,-0.0154,22,-1.2672
ENSG00000241563,CORT,22,-1.6446,53,-0.3011,61,-0.0906,42,-0.7151,132,1.87123,17,-2.0136,12,-2.5231
ENSG00000160049,DFFA,40,0.03597,30,-0.4265,29,-0.4640,32,-0.3624,35,-0.2170,68,0.90753,56,0.57677
ENSG00000142655,PEX14,28,0.27564,15,-0.6425,41,0.91604,19,-0.3554,27,0.32101,13,-0.8481,17,-0.5314
ENSG00000120948,TARDBP,58,0.05067,55,-0.0454,74,0.44381,52,-0.1536,57,0.00714,69,0.32165,35,-0.7535
ENSG00000116649,SRM,132,0.38751,73,-0.5533,125,0.29866,83,-0.3841,117,0.25247,108,0.07239,82,-0.3709
ENSG00000171824,EXOSC10,22,0.21755,20,0.04887,27,0.55532,18,-0.0963,21,0.22843,13,-0.5891,9,-1.0912
ENSG00000198793,MTOR,39,-0.0899,21,-0.9914,59,0.59481,44,0.13523,41,0.01572,31,-0.4193,47,0.21772
ENSG00000116661,FBXO2,765,1.56586,307,-0.0075,239,-0.4016,234,-0.4806,253,-0.3923,303,-0.0282,244,-0.3730
ENSG00000132879,FBXO44,92,-0.5524,77,-0.8206,254,1.11621,194,0.75377,138,0.11026,49,-1.4943,33,-2.0861
ENSG00000116670,MAD2L2,39,0.99734,17,-0.3564,23,0.10224,13,-0.7850,24,0.25899,27,0.35502,9,-1.3449
ENSG00000011021,CLCN6,39,-0.3938,41,-0.3262,95,1.04701,87,1.05884,46,-0.1872,12,-2.1075,6,-3.0940
ENSG00000116685,KIAA2013,40,0.29454,26,-0.3726,45,0.50457,36,0.15440,30,-0.2271,47,0.58349,12,-1.5547
ENSG00000083444,PLOD1,36,0.34192,21,-0.5277,19,-0.6408,17,-0.9229,19,-0.7943,71,1.49065,55,1.03919
ENSG00000116688,MFN2,43,-0.7332,62,-0.1577,109,0.75940,79,0.24849,77,0.23529,43,-0.7320,42,-0.7629
ENSG00000116691,MIIP,15,-0.0291,14,-0.2172,18,0.24337,26,0.96239,17,0.14428,4,-1.8363,3,-2.5071
ENSG00000048707,VPS13D,31,-0.3130,33,-0.2236,40,0.06935,56,0.70967,41,0.17362,42,0.13741,0,-6.0886
ENSG00000162496,DHRS3,84,1.32095,23,-0.7933,19,-1.0392,31,-0.3648,16,-1.5377,111,1.85460,36,-0.1102
ENSG00000116731,PRDM2,37,-0.6852,44,-0.4456,68,0.26179,88,0.78925,52,-0.2222,50,-0.2458,50,-0.2339
ENSG00000189337,KAZN,52,0.22079,32,-0.5139,46,0.04047,45,0.00353,52,0.29161,27,-0.7642,47,0.07438
ENSG00000142634,EFHD2,14,-1.9279,136,1.66657,75,0.60638,77,0.75875,17,-1.9243,30,-0.8251,56,0.13073
ENSG00000116138,DNAJC16,23,0.01594,9,-1.4361,42,0.99009,36,0.86576,18,-0.5135,15,-0.6535,16,-0.5863
ENSG00000197312,DDI2,14,-0.5317,12,-0.7037,20,0.05390,45,1.70297,16,-0.3571,11,-0.8560,0,-4.7521
ENSG00000116786,PLEKHM2,68,-0.1955,88,0.20623,71,-0.1381,95,0.38269,92,0.36850,46,-0.8175,35,-1.2411
ENSG00000065526,SPEN,38,0.03665,44,0.26705,43,0.21291,46,0.37970,25,-0.7910,47,0.36196,36,-0.0526
ENSG00000185519,FAM131C,8,-0.9950,10,-0.6729,10,-0.7082,20,0.35862,31,1.57232,2,-3.1789,0,-5.1289
ENSG00000037637,FBXO42,23,0.19495,10,-1.0150,24,0.29216,25,0.37017,14,-0.7032,11,-0.8675,42,1.21725
ENSG00000055070,SZRD1,37,0.32356,31,0.05156,17,-0.8845,31,0.05532,16,-1.1759,76,1.57057,32,0.06475
ENSG00000159363,ATP13A2,136,-0.1180,84,-0.8683,231,0.74622,173,0.30142,169,0.30363,69,-1.1673,94,-0.6997
ENSG00000117118,SDHB,81,0.13520,46,-0.7293,109,0.63597,62,-0.3157,85,0.29219,75,0.01363,51,-0.5863
ENSG00000117115,PADI2,85,0.78250,77,0.62298,9,-2.5877,16,-1.8890,20,-1.6914,92,0.92766,170,2.08528
ENSG00000179051,RCC2,15,-0.5151,14,-0.6364,21,-0.0716,24,0.22818,26,0.37158,20,-0.1096,19,-0.1861
ENSG00000074964,ARHGEF10L,35,0.56089,13,-0.9324,21,-0.2078,24,-0.0597,22,-0.2490,14,-0.8617,50,1.17249
ENSG00000117154,IGSF21,30,-0.6447,82,0.95188,61,0.45910,75,0.95050,25,-1.1405,9,-2.3919,53,0.22575
ENSG00000159423,ALDH4A1,59,1.21579,33,0.23825,14,-1.0364,36,0.41820,30,0.10833,17,-0.8164,0,-5.9141
ENSG00000127463,EMC1,21,-0.3454,15,-0.8979,44,0.82700,32,0.34363,33,0.44457,19,-0.5513,5,-2.5238
ENSG00000053372,MRTO4,28,-0.3075,20,-0.7764,35,0.06682,31,-0.1304,48,0.77934,26,-0.3897,21,-0.6877
ENSG00000053371,AKR7A2,74,0.83973,38,-0.2471,30,-0.6000,30,-0.6824,44,-0.0494,97,1.30050,17,-1.5030
ENSG00000077549,CAPZB,157,-0.4506,128,-0.7648,254,0.31109,227,0.14394,168,-0.4387,311,0.64921,288,0.51736
ENSG00000173436,MICOS10,283,0.00577,339,0.29563,238,-0.2740,257,-0.1708,349,0.46113,250,-0.1967,153,-0.9522
ENSG00000158747,NBL1,175,-0.3220,183,-0.2507,253,0.26186,242,0.21556,149,-0.7055,452,1.26084,155,-0.5173
ENSG00000162545,CAMK2N1,977,0.01710,725,-0.4539,988,0.03535,965,-0.0033,1347,0.74453,490,-1.0581,516,-0.9769
ENSG00000090432,MUL1,34,0.71060,20,-0.1373,43,1.12634,18,-0.3432,19,-0.2218,27,0.34162,0,-5.5301
ENSG00000158828,PINK1,269,-0.3417,312,-0.1092,497,0.65132,306,-0.1595,399,0.37957,179,-0.9722,277,-0.2965
ENSG00000244038,DDOST,19,-0.7034,11,-1.5219,42,0.51711,24,-0.3819,24,-0.4321,87,1.82361,23,-0.4059
ENSG00000117245,KIF17,4,-1.8684,13,-0.1968,20,0.48754,26,1.12897,15,0.06936,10,-0.5838,2,-2.9052
ENSG00000189410,SH2D5,12,-1.0515,11,-1.1786,41,0.90567,31,0.49915,34,0.82642,0,-4.8688,8,-1.6873
ENSG00000127483,HP1BP3,183,0.34488,111,-0.4480,147,-0.0100,187,0.43432,127,-0.3081,170,0.21939,115,-0.4046
ENSG00000075151,EIF4G3,82,-0.5916,91,-0.4380,190,0.76397,132,0.17905,122,0.03642,100,-0.2795,104,-0.2214
