Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188290,HES4,16,-4.1158,407,0.76302,1,-7.8688,127,-1.1053,135,-1.0144,16,-4.1524,1608,4.16472,6,-5.6643
ENSG00000131584,ACAP3,16,-3.6884,407,1.29710,608,2.11524,304,0.77161,144,-0.4611,16,-3.7239,1,-6.8475,116,-0.8782
ENSG00000175756,AURKAIP1,760,1.50705,407,0.38496,315,-0.0349,288,-0.1781,69,-2.3462,534,0.85400,272,-0.2700,126,-1.5826
ENSG00000179403,VWA1,16,-3.9725,407,0.93886,1,-7.7251,223,-0.0714,69,-1.8696,215,-0.1307,291,0.36409,439,1.32841
ENSG00000160075,SSU72,16,-3.7080,407,1.26987,337,0.92741,183,-0.1002,105,-0.9656,16,-3.7450,489,1.62786,100,-1.1459
ENSG00000078369,GNB1,16,-4.4425,407,0.37889,141,-1.2906,597,1.04657,288,-0.1829,525,0.81684,538,0.85892,198,-0.8578
ENSG00000067606,PRKCZ,16,-5.2825,3973,4.70064,589,0.03346,43,-3.8961,110,-2.5178,16,-5.3171,157,-2.0026,144,-2.2792
ENSG00000069424,KCNAB2,16,-3.6247,407,1.37979,755,2.74328,213,0.23749,185,0.00654,16,-3.6606,63,-1.6443,0,-8.7693
ENSG00000116254,CHD5,16,-4.2821,407,0.56594,1641,3.76442,207,-0.5314,315,0.13986,16,-4.3183,1,-7.4318,0,-9.4224
ENSG00000116251,RPL22,16,-5.8938,407,-1.2083,217,-2.1505,648,-0.4892,462,-1.0151,906,0.04642,1144,0.43106,2064,1.92648
ENSG00000171735,CAMTA1,24,-4.8305,3937,4.24255,856,0.52971,165,-2.0357,233,-1.5213,16,-5.4264,190,-1.8308,88,-3.1266
ENSG00000116288,PARK7,637,1.32923,407,0.52584,48,-2.7536,419,0.57668,183,-0.7616,16,-4.3521,581,1.15707,187,-0.8068
ENSG00000074800,ENO1,16,-5.0829,407,-0.3395,908,1.00565,1849,2.46578,472,-0.1028,16,-5.1184,397,-0.3793,230,-1.3339
ENSG00000171603,CLSTN1,16,-5.1854,407,-0.4525,1964,2.43788,787,0.62726,314,-0.8559,702,0.43327,380,-0.5575,145,-2.1638
ENSG00000054523,KIF1B,16,-4.3167,407,0.52562,611,1.24865,447,0.68775,199,-0.6267,16,-4.3527,154,-1.0229,408,0.62417
