"","APOE_carrier","registration_variable","n","enough_samples"
"1","E2+","Astro.01",14,TRUE
"2","E2+","Astro.02",14,TRUE
"3","E2+","Astro.03",14,TRUE
"4","E2+","Astro.04",14,TRUE
"5","E2+","Astro.05",13,TRUE
"6","E2+","Macro",10,TRUE
"7","E2+","Micro.1",13,TRUE
"8","E2+","Micro.2",14,TRUE
"9","E2+","Micro.3",12,TRUE
"10","E2+","Micro.4",12,TRUE
"11","E2+","Micro.5",13,TRUE
"12","E2+","OPC.1",14,TRUE
"13","E2+","OPC.2",14,TRUE
"14","E2+","OPC.3",14,TRUE
"15","E2+","OPC.4",14,TRUE
"16","E2+","OPC.5",4,TRUE
"17","E2+","Oligo.01",14,TRUE
"18","E2+","Oligo.02",14,TRUE
"19","E2+","Oligo.03",14,TRUE
"20","E2+","Oligo.04",14,TRUE
"21","E2+","Oligo.05",14,TRUE
"22","E2+","Vasc.Endo",14,TRUE
"23","E2+","Vasc.VLMC",12,TRUE
"24","E2+","Excit.L2",10,TRUE
"25","E2+","Excit.L2_5.1",14,TRUE
"26","E2+","Excit.L2_5.2",6,TRUE
"27","E2+","Excit.L5.1",11,TRUE
"28","E2+","Excit.L5.2",4,TRUE
"29","E2+","Excit.L5_6_NP",1,FALSE
"30","E2+","Excit.L6_CT",7,TRUE
"31","E2+","Excit.L6b",10,TRUE
"32","E2+","Inhib.Chandelier",4,TRUE
"33","E2+","Inhib.Lamp5_Lhx6",12,TRUE
"34","E2+","Inhib.Pvalb",11,TRUE
"35","E2+","Inhib.Sst",12,TRUE
"36","E2+","Inhib.Vip",14,TRUE
"37","E4+","Astro.01",16,TRUE
"38","E4+","Astro.02",17,TRUE
"39","E4+","Astro.03",17,TRUE
"40","E4+","Astro.04",12,TRUE
"41","E4+","Astro.05",15,TRUE
"42","E4+","Macro",9,TRUE
"43","E4+","Micro.1",16,TRUE
"44","E4+","Micro.2",17,TRUE
"45","E4+","Micro.3",15,TRUE
"46","E4+","Micro.4",16,TRUE
"47","E4+","Micro.5",13,TRUE
"48","E4+","OPC.1",17,TRUE
"49","E4+","OPC.2",17,TRUE
"50","E4+","OPC.3",17,TRUE
"51","E4+","OPC.4",17,TRUE
"52","E4+","OPC.5",10,TRUE
"53","E4+","Oligo.01",17,TRUE
"54","E4+","Oligo.02",16,TRUE
"55","E4+","Oligo.03",17,TRUE
"56","E4+","Oligo.04",17,TRUE
"57","E4+","Oligo.05",17,TRUE
"58","E4+","Vasc.Endo",14,TRUE
"59","E4+","Vasc.PC",2,FALSE
"60","E4+","Vasc.VLMC",11,TRUE
"61","E4+","Excit.L2",15,TRUE
"62","E4+","Excit.L2_5.1",17,TRUE
"63","E4+","Excit.L2_5.2",9,TRUE
"64","E4+","Excit.L5.1",14,TRUE
"65","E4+","Excit.L5.2",6,TRUE
"66","E4+","Excit.L5_6_NP",5,FALSE
"67","E4+","Excit.L6_CT",10,TRUE
"68","E4+","Excit.L6b",9,TRUE
"69","E4+","Inhib.Pax6",2,FALSE
"70","E4+","Inhib.Chandelier",11,TRUE
"71","E4+","Inhib.Lamp5_Lhx6",15,TRUE
"72","E4+","Inhib.Pvalb",16,TRUE
"73","E4+","Inhib.Sst",15,TRUE
"74","E4+","Inhib.Vip",17,TRUE
