"","cluster","contrast","n_genes","n_FDR05","nUP","nDown"
"1","Astro.1","carrier_AA",16867,19,16,3
"2","Astro.1","carrier_EA",16867,2,0,2
"3","Astro.2","carrier_AA",9994,2,0,2
"4","Astro.2","carrier_EA",9994,0,0,0
"5","Astro.3","carrier_AA",10634,2,1,1
"6","Astro.3","carrier_EA",10634,0,0,0
"7","Astro.4","carrier_AA",8135,0,0,0
"8","Astro.4","carrier_EA",8135,0,0,0
"9","Astro.5","carrier_AA",1793,0,0,0
"10","Astro.5","carrier_EA",1793,0,0,0
"11","Macro","carrier_AA",2931,2,2,0
"12","Macro","carrier_EA",2931,0,0,0
"13","Micro.1","carrier_AA",10158,18,14,4
"14","Micro.1","carrier_EA",10158,1,1,0
"15","Micro.2","carrier_AA",8763,0,0,0
"16","Micro.2","carrier_EA",8763,0,0,0
"17","Micro.3","carrier_AA",7923,0,0,0
"18","Micro.3","carrier_EA",7923,4,4,0
"19","Micro.4","carrier_AA",6620,4,2,2
"20","Micro.4","carrier_EA",6620,3,2,1
"21","Micro.5","carrier_AA",2327,0,0,0
"22","Micro.5","carrier_EA",2327,0,0,0
"23","OPC.1","carrier_AA",13131,1,1,0
"24","OPC.1","carrier_EA",13131,0,0,0
"25","OPC.2","carrier_AA",10614,0,0,0
"26","OPC.2","carrier_EA",10614,0,0,0
"27","OPC.3","carrier_AA",14268,1,1,0
"28","OPC.3","carrier_EA",14268,1,1,0
"29","OPC.4","carrier_AA",11598,3,1,2
"30","OPC.4","carrier_EA",11598,0,0,0
"31","OPC.5","carrier_AA",1841,0,0,0
"32","OPC.5","carrier_EA",1841,0,0,0
"33","Oligo.1","carrier_AA",13280,7,6,1
"34","Oligo.1","carrier_EA",13280,0,0,0
"35","Oligo.2","carrier_AA",13983,0,0,0
"36","Oligo.2","carrier_EA",13983,2,2,0
"37","Oligo.3","carrier_AA",11496,533,376,157
"38","Oligo.3","carrier_EA",11496,233,175,58
"39","Oligo.4","carrier_AA",12055,0,0,0
"40","Oligo.4","carrier_EA",12055,0,0,0
"41","Oligo.5","carrier_AA",9670,0,0,0
"42","Oligo.5","carrier_EA",9670,1,1,0
"43","Vasc.Endo","carrier_AA",5058,1,0,1
"44","Vasc.Endo","carrier_EA",5058,37,14,23
"45","Vasc.VLMC","carrier_AA",6644,3,0,3
"46","Vasc.VLMC","carrier_EA",6644,1,1,0
"47","Excit.L2","carrier_AA",20080,0,0,0
"48","Excit.L2","carrier_EA",20080,0,0,0
"49","Excit.L2_5.1","carrier_AA",22201,0,0,0
"50","Excit.L2_5.1","carrier_EA",22201,0,0,0
"51","Excit.L2_5.2","carrier_AA",13455,0,0,0
"52","Excit.L2_5.2","carrier_EA",13455,0,0,0
"53","Excit.L5.1","carrier_AA",17720,0,0,0
"54","Excit.L5.1","carrier_EA",17720,1,1,0
"55","Excit.L5.2","carrier_AA",11952,0,0,0
"56","Excit.L5.2","carrier_EA",11952,0,0,0
"57","Excit.L6_CT","carrier_AA",14031,3,2,1
"58","Excit.L6_CT","carrier_EA",14031,0,0,0
"59","Excit.L6b","carrier_AA",15739,0,0,0
"60","Excit.L6b","carrier_EA",15739,0,0,0
"61","Inhib.Lamp5_Lhx6","carrier_AA",13528,0,0,0
"62","Inhib.Lamp5_Lhx6","carrier_EA",13528,0,0,0
"63","Inhib.Pvalb","carrier_AA",15219,0,0,0
"64","Inhib.Pvalb","carrier_EA",15219,0,0,0
"65","Inhib.Vip","carrier_AA",19549,0,0,0
"66","Inhib.Vip","carrier_EA",19549,0,0,0
"67","Inhib.Chandelier","carrier_AA",10214,0,0,0
"68","Inhib.Chandelier","carrier_EA",10214,0,0,0
"69","Inhib.Sst","carrier_AA",12194,0,0,0
"70","Inhib.Sst","carrier_EA",12194,0,0,0
