Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,10,-1.1444,20,-0.0982,35,0.75666,36,0.81620,35,0.77017,18,-0.2652,37,0.83738,19,-0.1679,13,-0.7834,8,-1.3851,17,-0.3733,11,-1.0319
ENSG00000188976,NOC2L,39,-0.5865,52,-0.1539,96,0.81905,91,0.72326,92,0.74305,55,-0.0790,71,0.32763,41,-0.5450,40,-0.5829,22,-1.4679,28,-1.1133,67,0.23985
ENSG00000188290,HES4,57,-0.8221,83,-0.2471,50,-1.0126,43,-1.2399,32,-1.6598,70,-0.5167,109,0.18548,69,-0.5286,418,2.60901,69,-0.5291,73,-0.4405,94,-0.0586
ENSG00000187608,ISG15,42,-0.3899,32,-0.7960,36,-0.6222,26,-1.1088,5,-3.3867,21,-1.4362,82,0.65254,68,0.34213,209,2.34989,69,0.38074,32,-0.8284,31,-0.8360
ENSG00000188157,AGRN,45,0.38695,35,-0.0171,41,0.25440,32,-0.1678,33,-0.1038,16,-1.2178,60,0.85714,46,0.43088,50,0.55580,28,-0.3452,14,-1.4254,23,-0.6419
ENSG00000078808,SDF4,109,0.30176,61,-0.5869,92,0.04085,80,-0.1887,73,-0.3250,121,0.47217,101,0.18359,91,0.01702,116,0.39741,85,-0.0954,54,-0.7774,97,0.11425
ENSG00000176022,B3GALT6,32,-0.2312,57,0.65841,36,-0.0886,69,0.98281,30,-0.3564,40,0.07678,54,0.58838,53,0.53975,4,-3.2260,13,-1.5905,24,-0.6709,40,0.08371
ENSG00000160087,UBE2J2,46,-0.4708,49,-0.3545,98,0.73464,73,0.25542,87,0.53346,55,-0.1903,85,0.50774,44,-0.5091,24,-1.4448,99,0.74578,34,-0.9018,50,-0.3355
ENSG00000162572,SCNN1D,15,0.29033,4,-1.5080,10,-0.2532,19,0.72878,17,0.51448,28,1.35704,11,-0.1052,14,0.23383,2,-2.1821,1,-2.9240,9,-0.5124,14,0.24826
ENSG00000131584,ACAP3,110,-0.0499,151,0.45228,184,0.77627,120,0.08136,127,0.17326,82,-0.5131,83,-0.4842,127,0.16879,70,-0.7437,68,-0.7816,98,-0.2336,145,0.38461
