"","SpX","mod","n_genes","n_FDR05","n_pval05","nUP","nDown"
"1","Vasc~SpX3","carrier",199,0,8,6,2
"2","L1~SpX6","carrier",252,0,6,3,3
"3","L1~SpX7","carrier",261,0,21,12,9
"4","L2.3~SpX4","carrier",165,0,6,3,3
"5","Inhib~SpX5","carrier",218,0,9,4,5
"6","L5~SpX1","carrier",334,0,21,11,10
"7","L6~SpX9","carrier",320,0,28,18,10
"8","WMtz~SpX8","carrier",352,0,29,15,14
"9","WM~SpX2","carrier",357,0,63,32,31
