Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,146,3.04474,2,-4.0170,56,0.95008,24,-0.4314,10,-1.7290,17,-0.9842,24,-0.4154,6,-2.5238,0,-5.6382
ENSG00000188976,NOC2L,146,1.81698,47,-0.1850,67,0.38383,61,0.23637,40,-0.4497,28,-0.9729,18,-1.6142,17,-1.6947,51,-0.0690
ENSG00000188290,HES4,146,-0.1117,776,3.27861,94,-0.8040,34,-2.3301,40,-2.0884,63,-1.4109,149,-0.0877,13,-3.7129,97,-0.7545
ENSG00000187608,ISG15,146,0.40484,144,0.38194,129,0.20039,129,0.19914,21,-2.5498,87,-0.4365,218,1.09936,60,-1.0167,95,-0.3035
ENSG00000188157,AGRN,146,1.84759,80,0.71614,79,0.70192,27,-1.0377,29,-0.9020,15,-1.8790,43,-0.2887,19,-1.5259,29,-0.8947
ENSG00000078808,SDF4,146,0.76776,182,1.15949,105,0.20384,43,-1.1960,76,-0.3137,37,-1.4112,68,-0.4924,41,-1.2490,134,0.61648
ENSG00000176022,B3GALT6,146,1.81613,46,-0.2331,69,0.44047,35,-0.6326,29,-0.9156,28,-0.9800,67,0.37658,16,-1.8153,39,-0.4669
ENSG00000160087,UBE2J2,146,1.61008,55,-0.1027,93,0.77145,50,-0.2532,36,-0.7703,46,-0.3950,26,-1.2770,24,-1.3420,51,-0.2080
ENSG00000131584,ACAP3,146,0.52959,93,-0.2193,131,0.33899,195,1.02819,56,-1.0101,122,0.22069,75,-0.5613,67,-0.7230,73,-0.5947
ENSG00000127054,INTS11,146,1.38196,117,0.96458,72,0.15366,36,-0.9471,21,-1.7173,49,-0.4662,60,-0.1406,57,-0.2307,34,-1.0346
ENSG00000224051,CPTP,146,2.10425,36,-0.4084,21,-1.1781,76,0.82725,15,-1.7286,27,-0.8438,67,0.62655,22,-1.1101,5,-3.3023
ENSG00000107404,DVL1,146,0.79751,147,0.80451,51,-0.9160,106,0.25417,57,-0.7222,74,-0.3302,55,-0.7984,67,-0.4863,115,0.38836
ENSG00000175756,AURKAIP1,146,-0.3400,211,0.25115,156,-0.2351,185,0.03355,214,0.27427,176,-0.0440,239,0.45946,141,-0.4033,161,-0.1906
ENSG00000221978,CCNL2,146,1.15917,108,0.62308,54,-0.4928,70,-0.0917,33,-1.2436,30,-1.4160,77,0.05769,60,-0.3284,89,0.29803
ENSG00000242485,MRPL20,146,-0.3297,152,-0.2680,237,0.45378,181,0.00973,163,-0.1568,192,0.10451,113,-0.7293,182,0.02287,252,0.55825
ENSG00000179403,VWA1,146,1.00662,160,1.17245,17,-2.3456,25,-1.8186,31,-1.4695,12,-2.8362,34,-1.3444,90,0.17597,212,1.70946
ENSG00000205090,TMEM240,146,1.39951,8,-3.1067,82,0.37351,143,1.35197,56,-0.2417,83,0.40151,38,-0.8485,12,-2.5295,19,-1.8719
ENSG00000160075,SSU72,146,-0.0750,111,-0.5070,228,0.66124,105,-0.5971,166,0.13250,153,-0.0057,171,0.18084,123,-0.3476,175,0.21773
ENSG00000228594,FNDC10,146,1.79858,33,-0.7701,38,-0.5342,84,0.75275,35,-0.6507,52,-0.0355,73,0.51368,14,-2.0547,5,-3.3492
ENSG00000197530,MIB2,146,1.67750,50,-0.1938,40,-0.5453,79,0.54094,53,-0.1167,28,-1.1049,43,-0.4177,25,-1.2359,45,-0.3587
ENSG00000008130,NADK,146,2.55642,36,-0.0934,9,-2.1057,16,-1.2795,23,-0.7516,21,-0.9275,41,0.13544,8,-2.3040,40,0.09815
ENSG00000078369,GNB1,146,-1.4712,339,-0.1722,439,0.24677,410,0.13484,514,0.51111,417,0.16319,467,0.34719,223,-0.8306,443,0.26140
ENSG00000187730,GABRD,146,0.66833,20,-2.3839,204,1.26787,180,1.03593,47,-1.1474,109,0.17454,153,0.74253,6,-4.0562,15,-2.7674
ENSG00000067606,PRKCZ,146,-0.5171,85,-1.3563,270,0.47142,393,1.13441,237,0.25346,270,0.47746,230,0.20409,134,-0.6560,59,-1.8821
ENSG00000162585,FAAP20,146,0.63057,135,0.49562,60,-0.8025,37,-1.5281,94,-0.0968,96,-0.0597,132,0.45040,99,-0.0125,101,0.00898
ENSG00000157933,SKI,146,1.41710,86,0.47135,39,-0.7776,48,-0.4644,32,-1.0914,49,-0.4441,39,-0.7765,68,0.08104,74,0.21430
ENSG00000157916,RER1,146,0.98637,147,0.99153,63,-0.4172,47,-0.8638,38,-1.2052,39,-1.1634,90,0.14914,79,-0.0619,88,0.12029
ENSG00000157911,PEX10,146,1.90649,8,-2.7986,24,-1.1547,48,-0.0956,27,-1.0026,31,-0.7873,45,-0.1885,29,-0.8677,99,1.14157
ENSG00000149527,PLCH2,146,2.66330,15,-1.3608,50,0.52615,17,-1.1570,8,-2.2785,16,-1.2896,41,0.17702,4,-3.1319,31,-0.2619
ENSG00000157870,PRXL2B,146,1.47896,19,-1.8310,112,0.97739,77,0.34091,58,-0.1101,57,-0.1383,43,-0.5782,33,-1.0099,18,-1.9187
ENSG00000177133,PRDM16-DT,146,3.01020,38,0.28244,0,-7.9639,1,-4.9019,29,-0.1339,39,0.32530,30,-0.1019,3,-3.4390,2,-3.9158
ENSG00000158109,TPRG1L,146,-0.0371,81,-0.9707,267,0.98105,289,1.12243,152,0.02746,168,0.18336,119,-0.3639,59,-1.4361,67,-1.2592
ENSG00000130764,LRRC47,146,0.82178,40,-1.2433,131,0.62844,114,0.38897,135,0.67605,52,-0.8548,91,0.02391,40,-1.2487,58,-0.6787
ENSG00000196581,AJAP1,146,2.51969,30,-0.3984,37,-0.0610,40,0.06311,11,-1.8907,32,-0.2750,40,0.04656,4,-3.1282,6,-2.7154
ENSG00000069424,KCNAB2,146,-0.3624,28,-2.8570,248,0.49671,276,0.68152,211,0.22500,294,0.78862,265,0.60884,40,-2.3060,145,-0.3792
ENSG00000116254,CHD5,146,0.32191,11,-3.5813,184,0.70652,289,1.53862,121,0.01515,164,0.51411,112,-0.1116,36,-1.8589,19,-2.7640
ENSG00000116251,RPL22,146,-2.2244,1270,1.21856,334,-0.9851,347,-0.9282,448,-0.5329,525,-0.2826,428,-0.6026,1118,0.98631,1016,0.81551
ENSG00000116237,ICMT,146,2.07871,49,0.08080,64,0.52445,32,-0.5731,18,-1.4632,25,-0.9614,31,-0.6446,28,-0.8010,26,-0.8921
ENSG00000097021,ACOT7,146,-0.7011,88,-1.4733,603,1.73349,267,0.25620,196,-0.2419,188,-0.3113,340,0.66597,93,-1.3926,131,-0.8717
ENSG00000171680,PLEKHG5,146,2.31674,22,-1.0266,80,1.08545,43,0.03718,15,-1.6100,26,-0.7517,29,-0.5980,6,-2.9200,13,-1.8230
ENSG00000162408,NOL9,146,1.92086,44,-0.2282,59,0.25564,37,-0.4724,57,0.19561,38,-0.4228,14,-1.9647,18,-1.6011,40,-0.3608
ENSG00000162413,KLHL21,146,2.28818,45,0.10290,28,-0.6426,28,-0.6795,17,-1.3689,30,-0.5526,31,-0.5009,8,-2.4689,49,0.23303
ENSG00000007923,DNAJC11,146,1.91028,23,-1.2073,62,0.34486,54,0.11292,26,-1.0356,46,-0.1644,60,0.28200,28,-0.8956,9,-2.5999
ENSG00000171735,CAMTA1,146,-0.0022,92,-0.7316,178,0.31700,251,0.90896,148,0.01508,152,0.05451,103,-0.5584,76,-1.0226,173,0.26970
ENSG00000049245,VAMP3,146,1.35999,124,1.05840,3,-4.4088,25,-1.5095,40,-0.8120,18,-2.0146,23,-1.6499,104,0.74977,117,0.94679
ENSG00000049246,PER3,146,2.37561,8,-2.3656,10,-2.0691,14,-1.5811,31,-0.4160,23,-0.8895,26,-0.7107,35,-0.2373,73,0.98315
ENSG00000116288,PARK7,146,-1.1816,233,-0.4624,313,0.00808,233,-0.4654,558,0.98832,316,0.02091,365,0.25580,241,-0.4091,401,0.41387
ENSG00000162426,SLC45A1,146,2.41794,32,-0.3504,33,-0.3241,53,0.46242,9,-2.2821,13,-1.6720,57,0.55917,3,-3.5835,16,-1.4459
ENSG00000142599,RERE,146,1.02186,44,-0.9493,98,0.32770,122,0.69643,61,-0.4429,66,-0.3075,46,-0.8830,37,-1.1797,102,0.39307
ENSG00000074800,ENO1,146,-2.2647,628,-0.0389,792,0.34184,645,0.00565,776,0.30940,536,-0.2912,799,0.35785,428,-0.6446,1036,0.80261
ENSG00000142583,SLC2A5,146,1.91494,32,-0.7156,14,-1.9392,33,-0.6845,32,-0.7094,30,-0.8142,15,-1.8377,61,0.30505,91,1.00205
ENSG00000171612,SLC25A33,146,1.91376,14,-1.9323,28,-0.9208,11,-2.2793,52,0.03706,38,-0.4569,28,-0.9392,13,-2.0591,125,1.59135
ENSG00000171603,CLSTN1,146,-1.6676,117,-1.9990,1235,1.90322,594,0.53278,263,-0.7758,368,-0.2508,483,0.18880,132,-1.8269,536,0.35983
ENSG00000178585,CTNNBIP1,146,1.69998,48,-0.2483,51,-0.1544,53,-0.0823,52,-0.1327,53,-0.0799,53,-0.0954,25,-1.2490,23,-1.3548
ENSG00000162441,LZIC,146,2.01394,48,0.00806,16,-1.7142,30,-0.7155,50,0.04553,35,-0.5052,30,-0.7588,56,0.26000,22,-1.2110
ENSG00000130939,UBE4B,146,2.06762,32,-0.6214,55,0.26559,41,-0.2263,29,-0.7482,11,-2.1581,41,-0.2160,31,-0.6277,36,-0.4217
ENSG00000054523,KIF1B,146,-0.5592,41,-2.4768,223,0.11404,391,1.07538,272,0.44285,162,-0.4010,213,0.03720,183,-0.2064,242,0.24533
