"cluster","contrast","pval10","FDR05"
"Astro.1","carrier_AA",60,0
"Astro.1","carrier_EA",76,3
"Astro.2","carrier_AA",47,0
"Astro.2","carrier_EA",84,3
"Astro.3","carrier_AA",17,0
"Astro.3","carrier_EA",53,1
"Astro.4","carrier_AA",14,0
"Astro.4","carrier_EA",125,6
"Astro.5","carrier_AA",44,0
"Astro.5","carrier_EA",62,0
"Macro","carrier_AA",22,0
"Macro","carrier_EA",38,0
"Micro.2","carrier_AA",28,0
"Micro.2","carrier_EA",91,4
"Micro.3","carrier_AA",33,0
"Micro.3","carrier_EA",84,0
"Micro.4","carrier_AA",9,0
"Micro.4","carrier_EA",39,0
"Micro.5","carrier_AA",54,0
"Micro.5","carrier_EA",100,2
"OPC.2","carrier_AA",29,0
"OPC.2","carrier_EA",97,6
"OPC.4","carrier_AA",22,0
"OPC.4","carrier_EA",89,1
"OPC.5","carrier_AA",30,0
"OPC.5","carrier_EA",76,0
"Oligo.1","carrier_AA",6,0
"Oligo.1","carrier_EA",94,0
"Oligo.2","carrier_AA",32,0
"Oligo.2","carrier_EA",56,0
"Oligo.3","carrier_AA",32,0
"Oligo.3","carrier_EA",94,1
"Oligo.4","carrier_AA",14,0
"Oligo.4","carrier_EA",107,0
"Oligo.5","carrier_AA",15,0
"Oligo.5","carrier_EA",72,5
"Vasc.Endo","carrier_AA",52,0
"Vasc.Endo","carrier_EA",80,7
"Vasc.PC","carrier_AA",38,0
"Vasc.PC","carrier_EA",73,0
"Vasc.VLMC","carrier_AA",16,0
"Vasc.VLMC","carrier_EA",58,0
"Excit.L2","carrier_AA",16,0
"Excit.L2","carrier_EA",63,0
"Excit.L2_5.1","carrier_AA",14,0
"Excit.L2_5.1","carrier_EA",81,0
"Excit.L2_5.2","carrier_AA",36,0
"Excit.L2_5.2","carrier_EA",84,1
"Excit.L5.1","carrier_AA",26,0
"Excit.L5.1","carrier_EA",79,1
"Excit.L5.2","carrier_AA",60,0
"Excit.L5.2","carrier_EA",75,0
"Excit.L5_6_NP","carrier_AA",90,46
"Excit.L5_6_NP","carrier_EA",117,44
"Excit.L6_CT","carrier_AA",16,0
"Excit.L6_CT","carrier_EA",111,19
"Excit.L6b","carrier_AA",22,0
"Excit.L6b","carrier_EA",76,3
"Inhib.Chandelier","carrier_AA",23,0
"Inhib.Chandelier","carrier_EA",65,1
"Inhib.Lamp5_Lhx6","carrier_AA",33,0
"Inhib.Lamp5_Lhx6","carrier_EA",72,2
"Inhib.Pax6","carrier_AA",46,0
"Inhib.Pax6","carrier_EA",61,0
"Inhib.Pvalb","carrier_AA",56,0
"Inhib.Pvalb","carrier_EA",59,0
"Inhib.Sst","carrier_AA",36,0
"Inhib.Sst","carrier_EA",90,0
"Inhib.Vip","carrier_AA",31,0
"Inhib.Vip","carrier_EA",56,0
