Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000139793,MBNL2,30,-2.5967,150,-0.1594,109,-0.6722,249,0.99173,173,0.06205,144,-0.2624
ENSG00000125249,RAP2A,30,-2.1451,44,-1.5690,192,0.75253,155,0.55411,154,0.38337,107,-0.2418
ENSG00000065150,IPO5,30,-2.2558,136,0.05344,49,-1.5380,213,1.22456,112,-0.2630,110,-0.3296
ENSG00000152767,FARP1,30,-1.9261,84,-0.3644,106,0.00999,132,0.52368,137,0.43036,98,-0.1436
ENSG00000102572,STK24,30,-1.4580,59,-0.4367,102,0.46979,95,0.47158,101,0.45291,58,-0.4922
ENSG00000088387,DOCK9,30,-1.8742,165,0.78988,122,0.27445,121,0.35533,84,-0.3229,82,-0.4095
ENSG00000125304,TM9SF2,30,-1.7728,153,0.79972,78,-0.3100,141,0.96479,37,-1.4467,67,-0.6211
ENSG00000102452,NALCN,30,-1.0264,21,-1.5489,85,0.63363,84,0.90794,40,-0.5688,46,-0.4097
ENSG00000102466,FGF14,30,-1.1701,20,-1.7559,99,0.74502,81,0.55723,57,-0.1817,62,-0.0580
ENSG00000125266,EFNB2,30,-0.7958,74,0.64771,33,-0.6445,73,0.91015,40,-0.3619,27,-1.0406
ENSG00000134884,ARGLU1,30,-2.3067,148,0.13588,95,-0.5661,165,0.43274,203,0.66057,128,-0.1145
ENSG00000204442,FAM155A,30,-1.4169,38,-1.0396,104,0.54907,117,1.10304,33,-1.2849,59,-0.4127
ENSG00000174405,LIG4,30,-0.3546,16,-1.2756,92,1.57258,48,0.58474,16,-1.2914,19,-1.1551
ENSG00000185950,IRS2,30,-2.4643,87,-0.8730,131,-0.2335,230,1.02155,171,0.19204,129,-0.2923
ENSG00000213995,NAXD,30,-0.7353,68,0.58934,37,-0.4058,58,0.45097,60,0.35754,30,-0.7924
ENSG00000088448,ANKRD10,30,-0.6228,109,1.56742,29,-0.6895,52,0.33828,27,-0.8021,25,-0.9547
ENSG00000102606,ARHGEF7,103,-0.7253,86,-1.0099,257,0.75241,217,0.65784,157,-0.0680,110,-0.6974
