Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,15,-0.9776,15,-1.0197,21,-0.4974,30,0.07386,8,-1.8138,35,0.30205,15,-1.0063,61,1.42034
ENSG00000188976,NOC2L,6,-3.1759,32,-0.7617,39,-0.5459,94,1.04066,31,-0.8407,57,0.12112,58,0.13094,67,0.40761
ENSG00000188290,HES4,677,3.51560,3,-5.0680,67,-0.8250,65,-0.8634,78,-0.5301,88,-0.3876,21,-2.4897,52,-1.2147
ENSG00000187608,ISG15,438,3.14552,33,-1.3572,53,-0.7001,39,-1.2136,24,-1.8016,61,-0.4811,16,-2.3725,80,-0.0391
ENSG00000188157,AGRN,194,2.67454,28,-0.6813,19,-1.3318,35,-0.3634,29,-0.6058,39,-0.1971,13,-1.8024,37,-0.2891
ENSG00000078808,SDF4,43,-0.9482,82,0.05499,64,-0.3665,62,-0.4079,135,0.86322,83,0.08118,57,-0.5176,108,0.55566
ENSG00000176022,B3GALT6,0,-6.7466,14,-1.4579,28,-0.5164,50,0.46669,66,0.87918,47,0.34783,29,-0.4408,50,0.48754
ENSG00000160087,UBE2J2,18,-1.5954,52,-0.0092,44,-0.2809,75,0.65898,46,-0.1816,38,-0.5295,36,-0.5479,79,0.75356
ENSG00000162572,SCNN1D,37,1.35097,16,-0.0288,12,-0.4730,24,0.73366,6,-1.5007,5,-1.7203,17,0.12743,17,0.09233
ENSG00000131584,ACAP3,54,-1.1341,102,-0.1720,81,-0.5695,149,0.48700,49,-1.2847,124,0.15261,163,0.58273,143,0.41199
ENSG00000127054,INTS11,45,-0.4728,61,0.00162,42,-0.6016,51,-0.2945,51,-0.2702,79,0.46575,36,-0.7988,96,0.82988
ENSG00000224051,CPTP,45,0.23379,16,-1.3550,34,-0.2465,47,0.33569,26,-0.6134,41,0.09909,26,-0.6020,55,0.61342
ENSG00000107404,DVL1,1,-5.7014,71,0.13908,84,0.45209,72,0.18453,53,-0.3207,68,0.06885,79,0.29791,65,-0.0125
ENSG00000175756,AURKAIP1,61,-0.8650,90,-0.2873,95,-0.2133,85,-0.3931,142,0.44264,124,0.24107,178,0.81168,107,-0.0164
ENSG00000221978,CCNL2,98,0.93820,75,0.48778,40,-0.5482,55,-0.0117,55,0.01231,49,-0.1822,23,-1.3045,61,0.16716
ENSG00000242485,MRPL20,134,0.02483,142,0.12017,110,-0.2964,115,-0.2287,147,0.17899,131,-0.0084,187,0.56485,128,-0.0502
ENSG00000235098,ANKRD65,0,-5.8360,60,1.82403,22,0.15944,10,-1.0457,31,0.68832,10,-1.0523,14,-0.4971,25,0.39089
ENSG00000179403,VWA1,139,1.48559,306,3.15592,22,-1.4984,34,-0.8528,74,0.43401,14,-2.1617,0,-9.1539,10,-2.6274
ENSG00000160072,ATAD3B,0,-5.3254,15,0.11006,17,0.31751,18,0.38513,8,-0.8210,9,-0.7320,5,-1.4545,27,1.18954
ENSG00000197785,ATAD3A,11,-0.6330,7,-1.1681,10,-0.7929,24,0.65496,16,0.00656,23,0.57041,6,-1.4984,22,0.48696
ENSG00000205090,TMEM240,3,-4.4729,17,-1.9421,62,-0.0364,82,0.45176,53,-0.2884,83,0.46381,42,-0.6279,97,0.76602
