"","cluster","layer_confidence","layer_label"
"1","PSEN1","good","Oligo"
"2","APP","good","Oligo"
"3","PSEN2","good","Inhib"
"4","APOE","good","Astro"
"5","ABCA7","good","Excit"
"6","SORL1","good","Micro"
"7","ADAM10","good","Micro"
"8","HFE","good","Macro"
"9","GRN","good","Macro"
"10","MPO","poor","OPC*"
"11","MT-ND1","good","Excit"
"12","CSF1R","good","Micro"
"13","MAPT","poor","Oligo/Excit*"
"14","VCP","good","Vasc"
"15","SORCS1","good","OPC/Excit"
"16","TM2D3","good","Inhib"
"17","NOS3","good","Vasc"
"18","VPS13C","good","Macro"
"19","PLD3","good","Excit/Inhib"
"20","PLCD1","good","Astro"
"21","TNK1","poor","Inhib*"
"22","GRID2IP","good","OPC"
"23","UNC13C","good","Inhib"
