"ensembl","fdr","top","logFC","cell_type_anno"
"DEPDC1B",1.30587385392292e-80,1,3.2256785506401,"Astro.01"
"ENSG00000225195",1.28108285813384e-72,2,3.39677338426393,"Astro.01"
"PNLDC1",2.47355108629836e-68,3,3.03675666959446,"Astro.01"
"ENSG00000272076",3.74124602218418e-65,4,3.43882737535528,"Astro.01"
"ENSG00000287623",1.78977827096954e-61,5,3.94034212791197,"Astro.01"
"BATF2",1.3808819163788e-41,1,3.7448890337765,"Astro.02"
"ENSG00000272076",2.61960199596814e-41,2,2.80387455500325,"Astro.02"
"USP42",6.15214853853464e-40,3,4.65058519179354,"Astro.02"
"ANKRD34A",1.24669203049209e-39,4,4.52044950434141,"Astro.02"
"BRDT",6.64619346967105e-37,5,2.94669478379996,"Astro.02"
"ENSG00000272076",1.30258517285707e-39,1,2.76330059516772,"Astro.03"
"GADL1",2.26210149889004e-39,2,6.65443430003244,"Astro.03"
"ENSG00000227186",2.29789992566273e-38,3,4.72479612245219,"Astro.03"
"ENSG00000204990",3.37596015226942e-38,4,2.60172157210547,"Astro.03"
"IGFBP7-AS1",8.21732859763036e-38,5,3.91267733497362,"Astro.03"
"LINC01410",6.0759401211876e-166,1,3.49353946563111,"Astro.04"
"ENSG00000288838",2.47004208395118e-122,2,4.64975360934168,"Astro.04"
"ENSG00000286318",1.92556496080264e-85,3,3.53262818420267,"Astro.04"
"ENSG00000237987",5.70455084744639e-83,4,5.8559112043318,"Astro.04"
"EIF2B3",2.00824765344293e-82,5,7.24648788429118,"Astro.04"
"H2AC1",2.23906158346995e-25,1,4.70655283162033,"Astro.05"
"ENSG00000271730",5.15985505373909e-25,2,5.06622447696384,"Astro.05"
"ENSG00000286989",2.55816549615444e-24,3,5.48523422176898,"Astro.05"
"ENSG00000232259",4.25232626523487e-24,4,5.76211184917739,"Astro.05"
"PXDNL",8.49531261806096e-24,5,6.56949686159256,"Astro.05"
"PRKG1",4.26342586079343e-107,1,4.43595032399346,"Excit.L2"
"ENSG00000288829",5.1807858881249e-79,2,3.54334215789802,"Excit.L2"
"ENSG00000260484",7.78162580350277e-79,3,5.81814777887938,"Excit.L2"
