"cluster","carrier_F","carrier_M","Sex_E2","Sex_E4"
"Vasc_Sp09D08",0,0,0,1
"L1_Sp09D05",0,0,0,0
"L2.3_Sp09D01",0,0,0,0
"LD_Sp09D02",0,0,0,0
"Inhib_Sp09D09",0,0,0,0
"L5_Sp09D03",0,0,0,0
"L6_Sp09D04",0,0,0,0
"WM.uf_Sp09D07",0,91,0,0
"WM_Sp09D06",1,0,2,3
