Feature ID,Feature Name,Feature count topic 1to5,Feature log2 fold change topic 1to5,Feature count topic 6to10,Feature log2 fold change topic 6to10
ENSG00000228794,LINC01128,17,-0.4119,23,0.41198
ENSG00000188976,NOC2L,47,-0.4397,63,0.43974
ENSG00000188290,HES4,65,0.13684,59,-0.1368
ENSG00000187608,ISG15,63,0.09015,59,-0.0901
ENSG00000188157,AGRN,38,0.14651,34,-0.1465
ENSG00000078808,SDF4,70,-0.4345,94,0.43456
ENSG00000176022,B3GALT6,25,-0.3381,32,0.33819
ENSG00000160087,UBE2J2,41,-0.0833,43,0.08336
ENSG00000131584,ACAP3,124,-0.1440,137,0.14400
ENSG00000127054,INTS11,46,-0.9215,87,0.92157
ENSG00000224051,CPTP,18,-0.9319,35,0.93191
ENSG00000107404,DVL1,69,-0.2171,80,0.21711
ENSG00000175756,AURKAIP1,126,0.19640,110,-0.1964
ENSG00000221978,CCNL2,42,-0.6051,64,0.60513
ENSG00000242485,MRPL20,160,-0.1424,176,0.14242
ENSG00000179403,VWA1,27,0.30139,21,-0.3013
ENSG00000197785,ATAD3A,17,-0.0378,17,0.03782
ENSG00000205090,TMEM240,38,-0.0711,40,0.07115
ENSG00000160075,SSU72,167,-0.3368,211,0.33685
ENSG00000228594,FNDC10,45,-0.0165,46,0.01653
ENSG00000272106,AL691432.2,22,-0.4778,31,0.47788
ENSG00000197530,MIB2,51,0.20521,44,-0.2052
ENSG00000189339,SLC35E2B,24,0.18686,21,-0.1868
ENSG00000215790,SLC35E2A,26,-0.3338,33,0.33383
ENSG00000008130,NADK,20,-0.5319,30,0.53193
ENSG00000078369,GNB1,478,-0.1268,522,0.12684
ENSG00000187730,GABRD,136,-0.6257,210,0.62576
ENSG00000067606,PRKCZ,224,0.09058,210,-0.0905
ENSG00000162585,FAAP20,48,0.36970,37,-0.3697
ENSG00000157933,SKI,27,-0.4514,37,0.45143
ENSG00000157916,RER1,50,-0.3968,66,0.39689
ENSG00000157911,PEX10,28,-0.0701,29,0.07012
ENSG00000149527,PLCH2,32,0.09753,30,-0.0975
ENSG00000157881,PANK4,17,-0.3529,21,0.35294
ENSG00000157870,PRXL2B,52,-0.3968,68,0.39684
ENSG00000177133,PRDM16-DT,25,-0.1090,27,0.10904
ENSG00000158109,TPRG1L,181,-0.3736,234,0.37366
ENSG00000116213,WRAP73,10,-0.7361,17,0.73612
ENSG00000130764,LRRC47,49,-0.8296,88,0.82966
ENSG00000196581,AJAP1,35,-0.3916,46,0.39165
ENSG00000069424,KCNAB2,293,0.15183,264,-0.1518
ENSG00000116254,CHD5,137,-0.1895,157,0.18956
ENSG00000116251,RPL22,610,0.70008,375,-0.7000
ENSG00000116237,ICMT,25,-0.6158,38,0.61585
ENSG00000158292,GPR153,15,-0.1581,17,0.15818
ENSG00000097021,ACOT7,232,-0.6236,358,0.62367
ENSG00000215788,TNFRSF25,14,-1.3130,35,1.31307
ENSG00000171680,PLEKHG5,32,-0.4601,44,0.46015
ENSG00000162408,NOL9,28,-0.1734,32,0.17349
ENSG00000162413,KLHL21,26,-0.5330,38,0.53301
ENSG00000116273,PHF13,10,-0.9441,21,0.94414
ENSG00000041988,THAP3,20,0.10215,19,-0.1021
ENSG00000007923,DNAJC11,35,-0.0171,36,0.01718
ENSG00000171735,CAMTA1,174,-0.2827,212,0.28275
ENSG00000049245,VAMP3,22,0.21382,19,-0.2138
ENSG00000049246,PER3,19,-1.1449,43,1.14499
ENSG00000116288,PARK7,373,-0.2628,447,0.26282
ENSG00000116285,ERRFI1,15,-0.2239,18,0.22393
ENSG00000162426,SLC45A1,33,-0.3318,41,0.33180
ENSG00000142599,RERE,75,-0.8103,132,0.81031
ENSG00000074800,ENO1,295,-0.3928,387,0.39286
ENSG00000171612,SLC25A33,28,-0.2143,32,0.21430
ENSG00000171603,CLSTN1,584,-0.6916,944,0.69162
ENSG00000178585,CTNNBIP1,27,0.06942,25,-0.0694
ENSG00000162441,LZIC,26,-0.4036,35,0.40362
ENSG00000130939,UBE4B,30,-0.2484,36,0.24844
ENSG00000054523,KIF1B,223,-0.2093,258,0.20932
ENSG00000142657,PGD,41,-0.4380,56,0.43807
ENSG00000241563,CORT,45,0.09101,42,-0.0910
ENSG00000160049,DFFA,33,0.16842,29,-0.1684
ENSG00000142655,PEX14,18,-0.8245,33,0.82452
ENSG00000120948,TARDBP,45,-1.0204,91,1.02040
ENSG00000116649,SRM,97,-0.2062,112,0.20629
ENSG00000171824,EXOSC10,23,0.05079,22,-0.0507
ENSG00000198793,MTOR,38,-0.1749,43,0.17492
ENSG00000116661,FBXO2,280,0.33532,222,-0.3353
ENSG00000132879,FBXO44,146,-0.5566,215,0.55668
ENSG00000116670,MAD2L2,25,-0.1567,28,0.15677
ENSG00000177000,MTHFR,17,-0.3866,22,0.38662
ENSG00000011021,CLCN6,38,-0.6312,59,0.63126
ENSG00000116685,KIAA2013,21,-1.0572,43,1.05721
ENSG00000083444,PLOD1,20,-0.8615,37,0.86154
