Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,13,-0.6942,19,-0.1542,22,0.05762,9,-1.2288,15,-0.5219,35,0.81809,17,-0.2696,26,0.45165
ENSG00000188976,NOC2L,81,0.96877,49,0.14762,50,0.20427,34,-0.4479,58,0.41480,57,0.39565,25,-0.8746,29,-0.7839
ENSG00000188290,HES4,58,-0.6130,73,-0.2625,118,0.57360,79,-0.1307,95,0.15442,29,-1.6297,101,0.26046,92,0.13053
ENSG00000187608,ISG15,12,-2.9674,85,-0.1499,180,1.27786,76,-0.3246,84,-0.1687,43,-1.1863,89,-0.0652,92,-0.0230
ENSG00000188157,AGRN,57,0.41486,15,-1.6122,62,0.62965,31,-0.5459,31,-0.5060,55,0.38040,36,-0.3141,44,0.01886
ENSG00000078808,SDF4,83,0.39385,54,-0.2805,80,0.37476,57,-0.1898,52,-0.3320,64,-0.0215,48,-0.4745,65,0.00271
ENSG00000176022,B3GALT6,44,0.45614,29,-0.1933,39,0.32294,18,-0.9503,36,0.14514,48,0.59339,29,-0.1844,26,-0.4053
ENSG00000160087,UBE2J2,87,1.38773,35,-0.1390,51,0.53182,27,-0.5289,35,-0.1015,23,-0.7753,22,-0.8072,29,-0.5238
ENSG00000131584,ACAP3,99,0.26400,76,-0.1573,87,0.05985,53,-0.7099,86,0.04689,119,0.56156,50,-0.7966,89,0.11026
ENSG00000169972,PUSL1,7,-0.8421,11,-0.3109,24,1.11622,8,-0.6460,18,0.50220,6,-1.2455,9,-0.4837,12,-0.1232
ENSG00000127054,INTS11,46,-0.0173,68,0.60691,71,0.77197,42,-0.1510,51,0.14826,48,0.04761,41,-0.2026,25,-1.1238
ENSG00000224051,CPTP,38,0.28323,49,0.66862,38,0.28246,15,-1.1654,45,0.54475,39,0.31483,18,-0.9000,25,-0.4954
ENSG00000107404,DVL1,59,-0.1862,100,0.65657,41,-0.8050,68,0.02694,52,-0.3994,89,0.46328,63,-0.0958,74,0.19637
ENSG00000175756,AURKAIP1,183,-0.0530,156,-0.3097,260,0.57811,211,0.17281,128,-0.6044,137,-0.5019,209,0.15423,180,-0.0999
ENSG00000221978,CCNL2,47,0.41158,20,-0.8861,52,0.66808,37,0.03850,23,-0.6885,29,-0.3254,38,0.07004,33,-0.1711
ENSG00000242485,MRPL20,181,-0.0429,171,-0.1312,199,0.12179,201,0.12058,209,0.18822,178,-0.0649,145,-0.3853,187,0.01237
