Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000188976,NOC2L,1,-6.0249,204,1.80840,23,-2.1613,96,-0.0266,41,-1.3052,54,-0.9859
ENSG00000188290,HES4,238,0.33710,204,0.10932,920,2.93223,51,-2.2626,92,-1.1333,54,-2.0517
ENSG00000187608,ISG15,1,-6.0360,204,1.81094,194,1.13468,36,-1.7452,48,-1.0810,56,-0.9288
ENSG00000078808,SDF4,51,-1.3461,204,1.13370,228,1.01983,70,-1.0112,119,-0.0477,65,-1.0470
ENSG00000160087,UBE2J2,1,-6.0102,204,1.84110,21,-2.2798,95,-0.0407,56,-0.8451,45,-1.2566
ENSG00000131584,ACAP3,13,-3.6698,204,0.49226,88,-0.9244,226,0.72487,117,-0.4964,131,-0.3554
ENSG00000127054,INTS11,75,-0.4854,204,1.63080,119,0.22196,73,-0.6507,68,-0.6422,21,-2.4707
ENSG00000107404,DVL1,1,-6.3329,204,1.19907,20,-2.6499,124,0.07051,111,-0.1261,101,-0.2882
ENSG00000175756,AURKAIP1,148,0.09822,204,0.81511,36,-2.0257,129,-0.1464,158,0.19978,96,-0.6276
ENSG00000221978,CCNL2,1,-6.0099,204,1.87194,123,0.39697,58,-0.9198,51,-0.9703,47,-1.1750
ENSG00000242485,MRPL20,64,-1.2274,204,0.77857,179,0.36967,125,-0.2371,104,-0.4822,113,-0.3901
ENSG00000179403,VWA1,1,-5.9617,204,1.98908,151,0.79885,17,-2.7657,96,0.05312,54,-0.9098
ENSG00000205090,TMEM240,1,-6.2171,204,1.42211,31,-1.9393,142,0.51758,58,-0.9969,45,-1.4546
ENSG00000160075,SSU72,84,-1.2114,204,0.19540,102,-0.9134,251,0.65136,176,-0.0770,153,-0.3266
ENSG00000228594,FNDC10,2,-5.3222,204,2.04027,0,-7.0361,91,0.00257,17,-2.4695,50,-1.0120
ENSG00000197530,MIB2,1,-5.9635,204,1.98443,91,-0.0325,64,-0.6953,35,-1.4994,45,-1.1726
ENSG00000078369,GNB1,187,-0.8521,204,-0.8593,386,0.27715,419,0.53451,423,0.42691,353,0.14864
ENSG00000187730,GABRD,1,-6.7487,204,0.50237,51,-1.7428,248,0.96740,106,-0.6385,123,-0.4521
ENSG00000067606,PRKCZ,432,1.18789,204,-0.0729,64,-1.8132,256,0.39356,157,-0.4633,147,-0.6202
ENSG00000162585,FAAP20,1,-6.0515,204,1.77520,131,0.45252,41,-1.5402,70,-0.5332,74,-0.4829
ENSG00000157933,SKI,170,0.59389,204,1.24352,1,-6.2167,106,-0.2144,56,-1.1436,71,-0.8516
ENSG00000157916,RER1,40,-1.4287,204,1.62456,143,0.51767,58,-1.0508,39,-1.4709,65,-0.7795
ENSG00000197921,HES5,8,-4.0182,204,1.09930,33,-1.9869,62,-1.2461,359,1.82254,86,-0.6248
ENSG00000157870,PRXL2B,1,-6.3611,204,1.14697,53,-1.2700,122,-0.0109,81,-0.6459,117,-0.0771
ENSG00000177133,PRDM16-DT,1,-5.6970,204,2.76585,0,-6.7921,17,-2.5335,107,0.52192,39,-1.1256
ENSG00000158109,TPRG1L,189,0.27887,204,0.51524,103,-0.6790,157,-0.0310,140,-0.2014,118,-0.5026
ENSG00000130764,LRRC47,1,-6.0313,204,1.82197,81,-0.2804,78,-0.4084,71,-0.4776,34,-1.6751
ENSG00000196581,AJAP1,1,-5.9111,204,2.11807,32,-1.5456,86,-0.0664,36,-1.3714,22,-2.2426
ENSG00000069424,KCNAB2,196,-0.5182,204,-0.5517,157,-0.8570,437,1.04709,284,0.06203,221,-0.3598
ENSG00000116254,CHD5,10,-4.6714,204,-0.4269,58,-2.2364,439,1.23867,157,-0.7541,325,0.44101
ENSG00000116251,RPL22,587,0.80231,204,-1.0340,451,0.36608,336,-0.1298,312,-0.2217,491,0.57211
ENSG00000097021,ACOT7,1,-6.6556,204,0.64722,82,-0.9374,216,0.78163,68,-1.2051,120,-0.3801
ENSG00000171680,PLEKHG5,1,-5.8794,204,2.20298,21,-2.1167,66,-0.5391,43,-1.0921,44,-1.1228
