"","cell_type_broad","cluster","mod","n_genes","n_FDR05","n_pval10","nUP","nDown"
"1","Astro","Astro.1","carrier",348,0,57,15,18
"2","Astro","Astro.2","carrier",356,0,59,15,19
"3","Astro","Astro.3","carrier",193,0,35,12,11
"4","Astro","Astro.4","carrier",312,0,47,9,13
"5","Astro","Astro.5","carrier",364,0,54,9,17
"6","Macro","Macro","carrier",200,0,21,5,7
"7","Micro","Micro.2","carrier",343,0,44,10,8
"8","Micro","Micro.3","carrier",174,0,11,1,2
"9","Micro","Micro.5","carrier",350,0,45,13,14
"10","Oligo","Oligo.1","carrier",322,0,72,21,17
"11","Oligo","Oligo.2","carrier",309,0,85,35,18
"12","Oligo","Oligo.3","carrier",366,0,51,15,6
"13","Oligo","Oligo.4","carrier",365,0,74,16,22
"14","Oligo","Oligo.5","carrier",251,0,32,12,5
"15","OPC","OPC.2","carrier",345,0,46,9,18
"16","OPC","OPC.4","carrier",232,0,31,5,11
"17","OPC","OPC.5","carrier",341,0,44,8,12
"18","Vasc","Vasc.Endo","carrier",365,0,35,4,8
"19","Vasc","Vasc.PC","carrier",355,0,31,6,5
"20","Vasc","Vasc.VLMC","carrier",290,0,23,5,7
"21","Excit","Excit.L2","carrier",361,0,38,12,9
"22","Excit","Excit.L2_5.mix","carrier",329,0,57,10,10
"23","Excit","Excit.L2_5.RELN","carrier",277,0,69,15,18
"24","Excit","Excit.L5.RELN","carrier",331,1,65,21,22
"25","Excit","Excit.L5.RORB","carrier",311,0,36,12,7
"26","Excit","Excit.L6.CT","carrier",253,0,29,7,6
"27","Excit","Excit.L6b","carrier",271,0,15,5,5
"28","Inhib","Inhib.HTR3A","carrier",235,0,17,2,4
"29","Inhib","Inhib.LAMP5_LHX6","carrier",308,0,40,14,7
"30","Inhib","Inhib.PVALB","carrier",315,0,62,23,14
"31","Inhib","Inhib.VIP","carrier",334,0,36,7,8
"32","Inhib","Inhib.Chandelier","carrier",241,2,33,7,13
"33","Inhib","Inhib.SST","carrier",285,0,41,12,14
