"data_type","cluster","cell_type_anno","contrast","gene_id","gene_name","Type","gene_search","subsets_negProbe","subsets_negCodeword","subsets_unassigned","subsets_any_neg","subsets_GEX","vlmf_logFC","vlmf_AveExpr","vlmf_t","vlmf_P.Value","vlmf_adj.P.Val","vlmf_B","cell_type_broad"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000133800","LYVE1","Gene Expression","LYVE1; ENSG00000133800",FALSE,FALSE,FALSE,FALSE,TRUE,-0.631154596191219,8.9531039533408,-4.47729830652949,0.000334206854792478,0.116303985467782,0.375852396813562,"Astro"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000064989","CALCRL","Gene Expression","CALCRL; ENSG00000064989",FALSE,FALSE,FALSE,FALSE,TRUE,-0.863397533879811,6.46181015943018,-3.8355384542814,0.00133218368523027,0.190495246559539,-0.929843740959435,"Astro"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000135426","TESPA1","Gene Expression","TESPA1; ENSG00000135426",FALSE,FALSE,FALSE,FALSE,TRUE,0.724819982025909,8.48218574478251,3.69909928583879,0.00179061703890366,0.190495246559539,-1.10685730394554,"Astro"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000250722","SELENOP","Gene Expression","SELENOP; ENSG00000250722",FALSE,FALSE,FALSE,FALSE,TRUE,-0.402842450926869,10.6768713085593,-3.60629488034163,0.00218960053516712,0.190495246559539,-1.3588531270945,"Astro"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000104888","SLC17A7","Gene Expression","SLC17A7; ENSG00000104888",FALSE,FALSE,FALSE,FALSE,TRUE,0.279161866259499,11.665166187692,3.35827817077327,0.00374484813481102,0.260641430182847,-1.90959638861746,"Astro"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000140479","PCSK6","Gene Expression","PCSK6; ENSG00000140479",FALSE,FALSE,FALSE,FALSE,TRUE,0.760573922696001,8.14137093416295,3.17740191593313,0.00552830408249367,0.316814165919195,-2.08506035854782,"Astro"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000111249","CUX2","Gene Expression","CUX2; ENSG00000111249",FALSE,FALSE,FALSE,FALSE,TRUE,0.594376584941552,8.42004663238506,3.10686028817482,0.00643086621014317,0.316814165919195,-2.22297623842269,"Astro"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000118407","FILIP1","Gene Expression","FILIP1; ENSG00000118407",FALSE,FALSE,FALSE,FALSE,TRUE,-0.512108767172013,6.62162976599283,-3.04864588065896,0.00728308427400448,0.316814165919195,-2.30217453535947,"Astro"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000182463","TSHZ2","Gene Expression","TSHZ2; ENSG00000182463",FALSE,FALSE,FALSE,FALSE,TRUE,-0.739111366722038,6.21446169748998,-2.91151376846861,0.0097493855725731,0.342158677630547,-2.54041008618835,"Astro"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000136826","KLF4","Gene Expression","KLF4; ENSG00000136826",FALSE,FALSE,FALSE,FALSE,TRUE,1.31626382099685,6.87850901528737,2.86244993759407,0.0108153604998161,0.342158677630547,-2.62272414581157,"Astro"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000105329","TGFB1","Gene Expression","TGFB1; ENSG00000105329",FALSE,FALSE,FALSE,FALSE,TRUE,0.328547575545479,9.31667591227185,2.9021084773499,0.00994550680759258,0.342158677630547,-2.64866090368934,"Astro"
"Xenium_cell_type_anno","Astro.1","Astro.1","carrier","ENSG00000144369","FAM171B","Gene Expression","FAM171B; ENSG00000144369",FALSE,FALSE,FALSE,FALSE,TRUE,-0.273111741724121,13.5093172298815,-2.80241540021426,0.0122736826120023,0.355936795748067,-3.16415662001494,"Astro"
