dataset,cell_type_broad,Oligo_anno,n,prop
erc,OPC,OPC,15175,1
erc,Oligo,Oligo.NF,8587,0.19392064316524016
erc,Oligo,Oligo.P,4254,0.09606829114066981
erc,Oligo,Oligo.M,19430,0.4387886452428807
erc,Oligo,Oligo.L,12010,0.2712224204512093
dacc,OPC,OPC,2104,1
dacc,Oligo,Oligo.NF,750,0.0566593639042079
dacc,Oligo,Oligo.M,10820,0.8174057565913727
dacc,Oligo,Oligo.L,1667,0.12593487950441942
dlpfc,OPC,OPC,1648,1
dlpfc,Oligo,Oligo.NF,511,0.045682102628285357
dlpfc,Oligo,Oligo.M,5206,0.4654031825496156
dlpfc,Oligo,Oligo.L,3604,0.3221884498480243
dlpfc,Oligo,Oligo.other,1865,0.16672626497407472
hpc,Oligo,Oligo.NF,648,0.09547664653013113
hpc,Oligo,Oligo.M,2754,0.4057757477530573
hpc,Oligo,Oligo.L,2205,0.324885811109474
hpc,Oligo,Oligo.other,1180,0.17386179460733756
