Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000188976,NOC2L,3,-3.4214,142,2.42588,24,-0.6353,33,-0.1874,54,0.61421,19,-1.0504,4,-3.2869,36,-0.0406
ENSG00000188290,HES4,3,-4.4404,80,0.11729,213,1.80062,37,-1.1403,159,1.26163,11,-2.9353,22,-1.8145,123,0.93617
ENSG00000187608,ISG15,3,-5.3346,59,-1.2957,192,0.52950,31,-2.3694,195,0.54967,119,-0.2691,21,-2.8026,377,2.13247
ENSG00000078808,SDF4,209,0.72437,123,-0.1290,100,-0.4554,49,-1.6342,303,1.36962,201,0.76081,39,-1.8511,98,-0.5247
ENSG00000160087,UBE2J2,3,-3.5173,136,2.17918,44,0.17182,28,-0.5851,1,-4.5363,81,1.43328,3,-3.4647,13,-1.7731
ENSG00000131584,ACAP3,3,-4.7926,283,1.88158,88,-0.1183,49,-1.0938,105,0.15924,144,0.76362,22,-2.1684,80,-0.3061
ENSG00000127054,INTS11,536,3.52998,79,-0.2080,65,-0.5034,18,-2.5417,16,-2.5881,102,0.21309,15,-2.7074,22,-2.2236
ENSG00000107404,DVL1,3,-4.1050,107,0.97775,51,-0.2124,33,-0.9840,49,-0.3036,98,0.95387,66,0.17203,56,-0.0962
ENSG00000175756,AURKAIP1,255,1.47922,127,0.28893,108,0.02847,54,-1.1099,11,-3.3205,186,1.07125,42,-1.4197,72,-0.6645
ENSG00000221978,CCNL2,120,1.31487,130,1.46160,42,-0.3918,13,-2.2021,1,-5.0045,65,0.31535,13,-2.0802,67,0.38677
ENSG00000242485,MRPL20,267,1.42469,179,0.72631,168,0.62668,43,-1.6021,70,-0.7562,102,-0.1942,75,-0.6500,104,-0.1588
ENSG00000179403,VWA1,4,-6.0140,24,-3.5410,111,-1.3120,32,-3.2744,166,-0.7012,986,3.29194,62,-2.1828,236,-0.1789
ENSG00000205090,TMEM240,3,-3.6053,213,3.09782,50,0.29538,34,-0.3619,58,0.52434,4,-3.5017,12,-1.8735,23,-0.9630
ENSG00000160075,SSU72,3,-4.8645,232,1.41199,130,0.42634,76,-0.4606,118,0.27048,102,0.03139,25,-2.1084,117,0.28901
ENSG00000078369,GNB1,238,0.09044,377,0.84675,289,0.40143,142,-0.7710,217,-0.0540,284,0.42544,142,-0.7097,178,-0.4001
ENSG00000067606,PRKCZ,3,-4.3837,239,2.11043,52,-0.4829,42,-0.8903,21,-1.8759,107,0.74895,91,0.38330,42,-0.9062
ENSG00000162585,FAAP20,285,1.96237,49,-0.9533,104,0.19890,53,-0.9072,4,-4.5330,161,1.07275,27,-1.8628,56,-0.8174
ENSG00000157933,SKI,220,2.34114,100,0.84948,65,0.16015,24,-1.4309,1,-5.1267,79,0.51472,13,-2.2877,23,-1.5515
ENSG00000157916,RER1,3,-4.4179,95,0.40692,89,0.31641,32,-1.3466,148,1.15959,144,1.30777,6,-3.6320,57,-0.4288
ENSG00000157870,PRXL2B,3,-3.7542,239,3.12379,50,0.12313,28,-0.8555,64,0.53380,22,-1.1930,11,-2.1902,21,-1.2987
ENSG00000158109,TPRG1L,244,2.06694,228,1.92470,24,-1.7386,50,-0.6821,5,-3.8220,77,0.05062,47,-0.7210,11,-2.9748
ENSG00000069424,KCNAB2,3,-4.4233,389,3.19632,64,-0.2242,92,0.39861,98,0.46258,22,-1.9359,4,-4.2465,12,-2.8231
ENSG00000116254,CHD5,3,-4.8524,601,3.60239,73,-0.4761,138,0.60985,94,-0.0783,2,-5.6011,20,-2.3993,9,-3.5908
ENSG00000116251,RPL22,1837,0.90587,276,-2.0403,501,-1.1530,232,-2.4198,1029,-0.0438,1126,0.11011,1293,0.32136,1994,1.22974
ENSG00000097021,ACOT7,3,-4.2643,407,3.66112,22,-1.6575,39,-0.8792,66,0.01292,37,-0.9613,12,-2.5460,31,-1.2237
ENSG00000171735,CAMTA1,320,1.33849,259,0.96431,210,0.61038,112,-0.4246,6,-4.6728,106,-0.5212,75,-1.0067,138,-0.0669
ENSG00000049245,VAMP3,262,1.17251,0,-9.7540,78,-0.7845,28,-2.3971,80,-0.7501,289,1.62107,39,-1.7949,164,0.43030
ENSG00000116288,PARK7,777,1.93702,173,-0.5990,385,0.66938,117,-1.2780,52,-2.3965,305,0.32539,118,-1.1865,226,-0.2063
ENSG00000142599,RERE,165,1.19219,207,1.60754,126,0.72950,36,-1.3138,42,-1.0042,43,-1.0415,34,-1.2958,76,-0.0962
ENSG00000074800,ENO1,2575,2.89496,711,0.41866,1224,1.34727,312,-0.9471,6,-6.4710,291,-1.0554,47,-3.6471,132,-2.2807
ENSG00000171603,CLSTN1,830,1.75292,1087,2.30120,335,0.18029,150,-1.1471,39,-3.0347,161,-1.0266,106,-1.5861,135,-1.3115
ENSG00000054523,KIF1B,866,1.82838,328,0.14293,195,-0.6656,154,-1.1034,58,-2.4821,397,0.50992,277,-0.1269,237,-0.4061
