Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000228794,LINC01128,112,2.47049,7,-1.9270,16,-0.8432,28,0.08799,37,0.49000,21,-0.3619,20,-0.4269,19,-0.5528,18,-0.6297,16,-0.7958,21,-0.3720
ENSG00000188976,NOC2L,112,1.21329,49,-0.1275,21,-1.4271,28,-0.9352,44,-0.2917,62,0.25143,60,0.19358,53,0.00814,47,-0.1957,83,0.71597,59,0.18207
ENSG00000188290,HES4,112,0.40919,76,-0.2024,83,-0.0528,110,0.37907,83,-0.0567,52,-0.7626,80,-0.1219,187,1.26250,75,-0.2223,38,-1.2192,65,-0.4423
ENSG00000187608,ISG15,112,0.27840,59,-0.7048,79,-0.2792,48,-1.0026,58,-0.7181,46,-1.0690,128,0.49748,275,1.80339,111,0.29460,17,-2.5609,92,-0.0175
ENSG00000188157,AGRN,112,1.31344,34,-0.5701,34,-0.6428,28,-0.8970,30,-0.7891,14,-1.8682,60,0.30177,63,0.38036,42,-0.2666,67,0.46699,87,0.89570
ENSG00000078808,SDF4,112,0.75251,60,-0.2210,46,-0.6715,80,0.22461,60,-0.2384,59,-0.2606,79,0.19496,79,0.20581,70,0.00686,76,0.12963,68,-0.0357
ENSG00000176022,B3GALT6,112,1.76816,19,-1.0524,23,-0.8385,30,-0.3751,28,-0.4641,33,-0.2211,26,-0.6134,41,0.08787,41,0.10325,58,0.64723,26,-0.6011
ENSG00000160087,UBE2J2,112,1.45257,41,-0.1675,21,-1.2453,34,-0.4449,23,-1.0424,31,-0.6099,55,0.26829,49,0.11428,40,-0.2140,77,0.83088,52,0.19496
ENSG00000131584,ACAP3,112,0.44175,53,-0.7083,51,-0.8240,97,0.21082,82,-0.0359,57,-0.6023,116,0.50004,63,-0.4387,86,0.03567,125,0.62667,118,0.52469
ENSG00000169972,PUSL1,112,3.07928,6,-1.7244,10,-1.0965,21,0.02499,11,-0.9497,3,-2.6760,18,-0.1987,26,0.38514,15,-0.4598,9,-1.2224,9,-1.2300
ENSG00000127054,INTS11,112,1.19191,40,-0.4250,32,-0.8152,35,-0.6316,19,-1.5595,46,-0.2378,72,0.47485,76,0.56080,62,0.24728,51,-0.0718,55,0.04580
ENSG00000224051,CPTP,112,1.74020,16,-1.3671,19,-1.1465,28,-0.5085,19,-1.0588,40,0.05319,36,-0.1125,25,-0.6725,51,0.44311,45,0.21398,48,0.31731
ENSG00000107404,DVL1,112,0.91535,66,0.07924,65,0.05634,69,0.14433,56,-0.1911,86,0.48386,25,-1.3811,28,-1.1969,60,-0.0885,67,0.09893,60,-0.0713
ENSG00000175756,AURKAIP1,112,-0.7327,206,0.20838,198,0.15896,203,0.19053,157,-0.2131,134,-0.4569,225,0.35143,271,0.64719,178,-0.0202,144,-0.3489,139,-0.3961
ENSG00000221978,CCNL2,112,1.54143,41,-0.0803,37,-0.2954,28,-0.6843,26,-0.7609,17,-1.4440,79,0.93802,42,-0.0758,29,-0.6561,32,-0.4671,60,0.50211
ENSG00000242485,MRPL20,112,-0.6772,205,0.26133,160,-0.1360,169,-0.0390,221,0.37636,165,-0.0793,135,-0.3938,268,0.68913,178,0.04316,147,-0.2596,160,-0.1247
ENSG00000235098,ANKRD65,112,3.36800,26,0.52833,12,-0.6154,4,-1.9868,4,-2.1439,8,-1.1723,17,-0.1443,4,-1.9875,8,-1.2610,11,-0.6797,9,-1.0484
ENSG00000179403,VWA1,112,2.09336,145,2.63416,21,-0.7163,9,-1.8421,17,-0.9789,20,-0.7372,5,-2.7314,14,-1.2689,5,-2.7711,16,-1.0499,32,-0.0241
ENSG00000197785,ATAD3A,112,2.56793,19,-0.4807,8,-1.7380,10,-1.3282,14,-0.8697,8,-1.6377,34,0.44205,27,0.06108,14,-0.9483,36,0.52526,28,0.14836
ENSG00000205090,TMEM240,112,1.43595,26,-0.8804,25,-0.9739,28,-0.7895,22,-1.1124,57,0.30956,27,-0.8304,52,0.16679,60,0.43278,34,-0.4713,77,0.80640
ENSG00000160075,SSU72,112,-0.3410,104,-0.4443,104,-0.4797,196,0.53751,131,-0.0930,90,-0.6723,168,0.29194,197,0.55202,151,0.13579,122,-0.2085,181,0.41393
ENSG00000228594,FNDC10,112,1.97716,15,-1.2627,36,0.05495,31,-0.1374,19,-0.9138,47,0.47198,19,-0.8683,21,-0.7631,33,-0.0587,23,-0.6363,24,-0.5410
ENSG00000272106,AL691432.2,112,2.59163,17,-0.5650,14,-0.9326,20,-0.3417,22,-0.1849,7,-1.9634,31,0.32911,7,-1.9269,19,-0.4352,38,0.65572,7,-1.7837
ENSG00000197530,MIB2,112,1.53525,46,0.06758,36,-0.3469,46,0.06195,55,0.34058,26,-0.7999,36,-0.3031,43,-0.0197,26,-0.8726,37,-0.2718,48,0.15286
ENSG00000189339,SLC35E2B,112,2.72575,18,-0.4145,10,-1.2992,15,-0.6577,18,-0.4335,11,-1.1037,8,-1.5487,12,-1.0360,29,0.31021,14,-0.7658,23,-0.0613
ENSG00000215790,SLC35E2A,112,2.20134,17,-0.8501,17,-0.9574,18,-0.8006,32,0.04670,15,-1.0515,30,-0.0431,21,-0.5950,35,0.24382,24,-0.3889,26,-0.2501
ENSG00000008130,NADK,112,2.16447,17,-0.9544,26,-0.3330,34,0.12931,20,-0.6549,28,-0.1423,25,-0.3372,19,-0.7332,22,-0.5670,35,0.19827,20,-0.6489
ENSG00000078369,GNB1,112,-1.8161,264,-0.5295,388,0.07012,344,-0.1252,390,0.07273,256,-0.5769,469,0.36233,453,0.30710,480,0.44330,473,0.37527,347,-0.1125
ENSG00000187730,GABRD,112,0.01137,36,-1.6834,57,-1.0719,138,0.34593,98,-0.1886,71,-0.6843,121,0.13971,116,0.06611,164,0.69264,135,0.31377,172,0.69829
ENSG00000067606,PRKCZ,112,-0.8297,141,-0.4748,168,-0.2218,136,-0.5307,257,0.45951,184,-0.0675,197,0.04055,219,0.20245,210,0.15255,259,0.46972,237,0.32868
ENSG00000162585,FAAP20,112,1.10964,78,0.51124,62,0.17472,72,0.39379,40,-0.5317,50,-0.1657,24,-1.2487,64,0.20424,57,0.02456,31,-0.8882,20,-1.5238
ENSG00000157933,SKI,112,2.36332,21,-0.4800,21,-0.5074,22,-0.3717,32,0.20845,13,-1.1979,12,-1.2262,8,-1.9243,25,-0.1999,21,-0.4367,35,0.35307
ENSG00000157916,RER1,112,0.73734,47,-0.6058,55,-0.4119,64,-0.1387,41,-0.8250,33,-1.1579,106,0.65832,100,0.55158,91,0.45201,72,0.04672,46,-0.6307
ENSG00000157911,PEX10,112,1.88725,40,0.15231,28,-0.4008,40,0.15997,30,-0.2928,40,0.14132,23,-0.7003,49,0.47921,21,-0.8639,20,-0.9007,18,-1.0338
ENSG00000149527,PLCH2,112,2.30662,14,-1.0707,17,-0.8989,4,-2.9560,7,-2.0746,35,0.26774,59,1.13720,6,-2.3082,28,-0.0852,4,-2.6867,49,0.83397
ENSG00000197921,HES5,112,3.17281,15,-0.4504,17,-0.2737,22,0.19909,24,0.29833,5,-2.0148,5,-1.8425,2,-3.2132,7,-1.5978,6,-1.7175,18,-0.1631
ENSG00000157870,PRXL2B,112,1.13176,40,-0.4968,26,-1.2032,85,0.67861,50,-0.1628,43,-0.3753,83,0.64613,35,-0.6796,44,-0.3931,62,0.16594,70,0.37247
ENSG00000177133,PRDM16-DT,112,3.09358,11,-0.8727,15,-0.5301,49,1.44039,22,0.10003,10,-0.9884,1,-4.3647,11,-0.8723,5,-2.0851,6,-1.6583,2,-3.3956
ENSG00000158109,TPRG1L,112,-0.4221,100,-0.5831,104,-0.5625,140,-0.0792,86,-0.8132,102,-0.5535,247,0.83259,118,-0.3365,174,0.28945,188,0.38846,259,0.91400
ENSG00000116213,WRAP73,112,3.04822,7,-1.4877,9,-1.3686,15,-0.4787,8,-1.4597,4,-2.2883,16,-0.4016,28,0.49356,15,-0.5490,27,0.40748,5,-2.0074
ENSG00000130764,LRRC47,112,0.65859,51,-0.5588,40,-0.9982,81,0.15487,62,-0.2715,58,-0.3659,86,0.24756,87,0.25597,66,-0.1863,93,0.36513,117,0.72862
ENSG00000116198,CEP104,112,3.21542,18,-0.0698,10,-1.0070,11,-0.7964,8,-1.3365,0,-5.7474,19,-0.0190,6,-1.5748,9,-1.2579,13,-0.5879,26,0.43912
ENSG00000196581,AJAP1,112,1.80288,14,-1.4814,12,-1.7743,19,-1.0562,26,-0.5766,20,-0.9581,31,-0.2835,34,-0.1788,53,0.58040,36,-0.0931,71,1.01170
ENSG00000069424,KCNAB2,112,-0.5729,92,-0.8685,153,-0.0929,102,-0.7039,180,0.16201,71,-1.2504,178,0.14819,164,0.01395,235,0.65767,177,0.13707,255,0.72229
ENSG00000116254,CHD5,112,0.04341,62,-0.8493,76,-0.5811,94,-0.2296,127,0.24972,143,0.43893,82,-0.4279,58,-0.9488,108,-0.0059,148,0.49116,216,1.11005
ENSG00000116251,RPL22,112,-1.9100,902,1.34418,470,0.28990,402,0.01869,517,0.41729,429,0.11988,326,-0.3046,313,-0.3693,323,-0.3444,280,-0.5381,297,-0.4510
ENSG00000116237,ICMT,112,1.71539,24,-0.7479,31,-0.4216,12,-1.7786,18,-1.1977,19,-1.1378,48,0.30864,70,0.90278,54,0.53844,17,-1.2329,26,-0.6156
