Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to10,Feature log2 fold change topic 4to10
ENSG00000228794,LINC01128,17,-0.0785,15,-0.2506,19,0.22099
ENSG00000188976,NOC2L,13,-1.5164,22,-0.7617,41,1.10768
ENSG00000188290,HES4,246,1.91310,64,-0.4470,65,-0.9327
ENSG00000187608,ISG15,188,1.08828,72,-0.5417,93,-0.2504
ENSG00000188157,AGRN,17,0.11859,11,-0.6673,17,0.41181
ENSG00000078808,SDF4,78,0.39944,46,-0.4958,63,0.15158
ENSG00000176022,B3GALT6,51,0.63540,20,-0.9177,36,0.25633
ENSG00000160087,UBE2J2,30,-0.3929,24,-0.8384,44,0.77147
ENSG00000131584,ACAP3,64,0.18342,43,-0.4855,60,0.26016
ENSG00000127054,INTS11,36,-0.3448,20,-1.3244,53,1.05282
ENSG00000224051,CPTP,34,0.21498,17,-0.9026,33,0.50310
ENSG00000107404,DVL1,48,-0.0679,51,0.01341,51,0.01835
ENSG00000175756,AURKAIP1,139,-0.4124,172,-0.0874,189,0.23067
ENSG00000221978,CCNL2,57,0.55176,23,-0.9543,43,0.32936
ENSG00000242485,MRPL20,171,-0.2874,212,0.06410,207,0.06485
ENSG00000235098,ANKRD65,19,-0.1963,18,-0.3416,23,0.33819
ENSG00000179403,VWA1,52,1.27453,34,0.60893,18,-1.1524
ENSG00000197785,ATAD3A,8,-0.8521,5,-1.4732,17,1.38950
ENSG00000205090,TMEM240,31,-0.3081,28,-0.4958,41,0.49697
ENSG00000160075,SSU72,155,-0.0370,137,-0.2615,165,0.21049
ENSG00000228594,FNDC10,23,-0.2758,20,-0.4903,30,0.47933
ENSG00000272106,AL691432.2,19,-0.3857,19,-0.5064,28,0.53694
ENSG00000197530,MIB2,11,-1.3362,18,-0.6294,30,0.95280
ENSG00000248333,CDK11B,24,0.88984,9,-0.6976,14,-0.0293
ENSG00000189339,SLC35E2B,21,0.33002,12,-0.5125,18,0.20039
ENSG00000008128,CDK11A,14,0.50887,8,-0.4509,10,0.06143
ENSG00000215790,SLC35E2A,18,-0.1729,19,-0.1063,21,0.15320
ENSG00000008130,NADK,28,0.24894,16,-0.7057,25,0.36605
ENSG00000078369,GNB1,326,-0.3790,311,-0.4987,456,0.52858
ENSG00000187730,GABRD,51,-1.4011,76,-0.8806,153,1.17074
ENSG00000067606,PRKCZ,156,-0.3009,137,-0.5550,208,0.53602
ENSG00000162585,FAAP20,52,0.37202,41,-0.0332,40,-0.1485
ENSG00000157933,SKI,32,-0.0096,32,-0.0050,32,0.00801
ENSG00000157916,RER1,72,0.31716,54,-0.1658,59,-0.0262
ENSG00000157911,PEX10,14,-0.5735,22,0.10995,22,0.12625
ENSG00000149527,PLCH2,12,-0.1297,9,-0.5739,14,0.47250
ENSG00000157881,PANK4,9,-0.8620,12,-0.4453,18,0.66540
ENSG00000197921,HES5,2,-2.6432,19,0.48973,15,0.15949
ENSG00000157870,PRXL2B,64,-0.1753,55,-0.4360,77,0.39702
ENSG00000177133,PRDM16-DT,7,-1.0291,30,1.61495,10,-1.1375
ENSG00000158109,TPRG1L,142,-0.2337,116,-0.6000,181,0.53788
ENSG00000130764,LRRC47,69,-0.0356,41,-0.9106,80,0.64441
ENSG00000116198,CEP104,12,-0.0042,14,0.26038,11,-0.2018
ENSG00000198912,C1orf174,16,0.58837,6,-1.0032,12,0.33167
ENSG00000196581,AJAP1,20,-1.2549,23,-1.1313,57,1.31531
ENSG00000069424,KCNAB2,125,-0.8068,173,-0.3283,231,0.55554
ENSG00000116254,CHD5,67,-0.8932,103,-0.2451,131,0.51565
ENSG00000116251,RPL22,823,0.77565,608,0.30554,444,-0.6124
ENSG00000116237,ICMT,34,0.01308,28,-0.3332,35,0.23901
ENSG00000158292,GPR153,18,0.46851,8,-0.7788,14,0.28337
ENSG00000097021,ACOT7,188,-0.6908,168,-0.9372,342,0.96640
ENSG00000171680,PLEKHG5,11,-1.2909,19,-0.4389,29,0.78535
ENSG00000162408,NOL9,52,1.05036,23,-0.2740,25,-0.3822
ENSG00000162413,KLHL21,30,0.35626,21,-0.1807,24,-0.0357
ENSG00000116273,PHF13,16,0.08454,14,-0.1630,15,0.08394
ENSG00000041988,THAP3,17,-0.2592,15,-0.4712,21,0.45855
ENSG00000007923,DNAJC11,14,-0.9239,22,-0.2335,28,0.51533
ENSG00000171735,CAMTA1,134,-0.0953,116,-0.3555,151,0.30415
ENSG00000049245,VAMP3,60,1.60137,26,0.15581,18,-1.0489
ENSG00000049246,PER3,30,0.44160,18,-0.3732,23,0.04910
