cluster,layer_confidence,layer_label,top_enrich
xSp10D06,good,vVasc,"STXBP2, C1orf162, CD2, CTSS, PTPRC, ITGB2, TRAC, FASLG, IL7R, CD3G"
xSp10D08,good,vVasc,"ITGA8, PLCE1, NPNT, CAV1, CSPG4, LOX, MAGED2, CDH6, OST4, SDK1"
xSp10D03,good,vWMim,"SOX9, AQP4, PAX6, FZD8, GJA1, SOX2, SPON1, VCAN, COL16A1, SFRP2"
xSp10D10,good,vWMd,"PSEN1, GOLGA7, PCSK6, LINC00486, MAL, ERBB3, LINC00706, LINC00609, MKI67, MOBP"
xSp10D09,good,vL6,"HS3ST4, RXFP1, POU6F2, BRINP3, ROS1, NPFFR2, NNAT, HS3ST2, SULF1, RASGRP1"
xSp10D01,good,vLD,"NTNG1, PLCH1, CNTNAP3B, LRRK1, ARHGEF3, RIT2, SPHKAP, MEPE, PCSK1, CPNE4"
xSp10D04,good,vL2,"LAMP5, ADAMTS3, TESPA1, ADAMTS16, ADRB1, ANO3, GOLGA8A, CD36, PABPN1, FSTL4"
xSp10D02,poor,vVasc*,"FLT1, ADGRF5, ATP10A, THSD4, RNF144B, KLF4, PECAM1, KLF2, CDH6, CD163"
xSp10D05,poor,vL3*,"FGFR3, WIF1, CABLES1, PLCH1, GJA1, P2RY12, APOE, TRHDE, MT-ND1, LHX6"
xSp10D07,good,vInhib,"LYPD6, TGFB2, KIT, PLD5, VIP, THSD7B, CXCL14, ERBB4, LYPD6B, PROX1"
