cluster,layer_confidence,layer_label,top_enrich,top_cell_types,specific_cell_types,concentrated_cell_types,specific_cell_types_broad
xSp11D06,good,vVasc,"STXBP2, C1orf162, CTSS, ITGB2, CD2, PTPRC, SPI1, TRAC, ITGAM, CD3G","Vasc.PC (26%), Vasc.VLMC (24%), Vasc.Endo (15%)",NA,"Macro (79%), Vasc.VLMC (69%), Micro.1 (28%), Vasc.PC (25%)",Vasc (65%)
xSp11D08,good,vVasc,"ITGA8, PLCE1, CAV1, NPNT, CDH6, LOX, RPS27, CSPG4, OST4, CALCRL","Vasc.PC (47%), Vasc.Endo (36%), Vasc.VLMC (8%)","Vasc.PC (47%), Vasc.Endo (36%)","Vasc.PC (45%), Vasc.Endo (30%), Vasc.VLMC (24%)",Vasc (92%)
xSp11D07,good,vWMpv/vL1,"SOX9, AQP4, PAX6, FZD8, GJA1, COL16A1, VCAN, SOX2, SPON1, CTSH","Astro.5 (21%), Oligo.3 (12%), Astro.4 (12%)",NA,"Astro.4 (51%), Micro.3 (21%), Micro.4 (21%)",Astro (47%)
xSp11D10,good,vWMd,"PSEN1, GOLGA7, PCSK6, LINC00486, MAL, LINC00609, MKI67, LINC00706, CTNNA3, ERBB3","Oligo.4 (26%), Oligo.3 (25%), Oligo.2 (13%)",NA,"Oligo.2 (60%), Micro.1 (46%), Oligo.1 (42%), Oligo.5 (36%), Micro.3 (34%)",Oligo (77%)
xSp11D03,good,vWMuf,"MOG, CNDP1, MAG, MBP, HS3ST4, ERMN, BCAS1, ST18, PLP1, ERBB3","Oligo.3 (33%), Oligo.4 (14%), Astro.5 (10%)",Oligo.3 (33%),Oligo.3 (21%),Oligo (54%)
xSp11D09,good,vL6,"HS3ST4, POU6F2, RXFP1, BRINP3, SULF1, NPFFR2, ROS1, HS3ST2, RASGRP1, NNAT","Oligo.3 (26%), Astro.5 (11%), Oligo.4 (8%)",NA,"Excit.L6b (85%), Excit.L6_CT (83%), Excit.L5_6_NP (29%), Astro.3 (24%)",Oligo (38%)
xSp11D01,good,vL5a,"NTNG1, PLCH1, CNTNAP3B, LRRK1, MEPE, ARHGEF3, RIT2, SPHKAP, PCSK1, PVALB","Oligo.3 (15%), Excit.L5.1 (9%), Astro.5 (8%)",NA,"Excit.L2_5.2 (72%), Excit.L5.1 (66%), Excit.L5_6_NP (53%), Inhib.Pvalb (44%), Inhib.Sst (33%)",Excit (31%)
xSp11D04,good,vL2,"LAMP5, ADAMTS3, ADAMTS16, ADRB1, TESPA1, CD36, ANO3, GOLGA8A, MTX2, PABPN1","Excit.L2 (32%), Astro.1 (9%), Inhib.Vip (7%)",Excit.L2 (32%),"Excit.L2 (67%), Excit.L5.2 (33%), OPC.1 (29%), Excit.L2_5.1 (28%), Inhib.Vip (25%)",Excit (40%)
xSp11D11,poor,vVasc*,"FLT1, ADGRF5, ATP10A, THSD4, KLF4, CD163, RNF144B, KLF2, PECAM1, CDH6","Vasc.Endo (25%), Oligo.3 (14%), Vasc.PC (13%)",NA,Vasc.Endo (20%),Vasc (39%)
xSp11D02,good,vInhib,"LYPD6, THSD7B, PLD5, VIP, KIT, TGFB2, LYPD6B, CXCL14, PROX1, ERBB4","Astro.5 (14%), Astro.1 (14%), Inhib.Vip (13%)",NA,"Inhib.Pax6 (50%), Inhib.Vip (46%), Astro.1 (28%), Inhib.Lamp5_Lhx6 (27%), Excit.L5.2 (22%)",Astro (40%)
xSp11D05,good,vLD,"FGFR3, APOE, WIF1, GJA1, CABLES1, SLC4A4, SPON1, P2RY12, ELOVL2, SNTA1","Astro.5 (16%), Oligo.3 (16%), Vasc.Endo (11%)",NA,NA,Astro (34%)
