cluster_row,cluster_col,Jacc
xSp9D1,xSp10D01,0.6638286018796629
xSp9D2,xSp10D07,0.7620675474219915
xSp9D3,xSp10D10,0.9695711957628845
xSp9D4,xSp10D04,0.8777036406788769
xSp9D5,xSp10D05,0.3403028633237413
xSp9D6,xSp10D06,0.8996602491506229
xSp9D7,xSp10D03,0.8531623074820013
xSp9D8,xSp10D08,0.8474825431826535
xSp9D9,xSp10D09,0.8172200201950176
xSp9D1,xSp11D01,0.6492815261883397
xSp9D2,xSp11D02,0.6215449482067565
xSp9D3,xSp11D10,0.8037911882578833
xSp9D4,xSp11D04,0.8802237278886818
xSp9D5,xSp11D05,0.3223904467427231
xSp9D6,xSp11D06,0.8960680512194018
xSp9D7,xSp11D07,0.719423798237338
xSp9D8,xSp11D08,0.8340681951793063
xSp9D9,xSp11D09,0.5378432980031621
xSp9D1,xSp12D02,0.4827462072512214
xSp9D2,xSp12D07,0.747504159733777
xSp9D3,xSp12D10,0.8931083522312334
xSp9D4,xSp12D04,0.8123833371272479
xSp9D5,xSp12D11,0.27633340954371755
xSp9D6,xSp12D12,0.6656833410594631
xSp9D7,xSp12D03,0.6951342478602416
xSp9D8,xSp12D08,0.7937376110417738
xSp9D9,xSp12D09,0.5981397996015996
xSp10D01,xSp11D01,0.8148877941981391
xSp10D02,xSp11D11,0.8777147876077931
xSp10D03,xSp11D07,0.7953546143336232
xSp10D04,xSp11D04,0.9108392861409084
xSp10D05,xSp11D05,0.6040801489298422
xSp10D06,xSp11D06,0.9860000992900759
xSp10D07,xSp11D02,0.7737118687516021
xSp10D08,xSp11D08,0.9839916929866309
xSp10D09,xSp11D09,0.6370809695719443
xSp10D10,xSp11D10,0.8011888525771339
xSp10D01,xSp12D01,0.36298300381547
xSp10D02,xSp12D11,0.8413207182853832
xSp10D03,xSp12D03,0.754200889156808
xSp10D04,xSp12D04,0.7965705742185675
xSp10D05,xSp12D05,0.3003891415443762
xSp10D06,xSp12D12,0.6953093317712792
xSp10D07,xSp12D07,0.7537540805223069
xSp10D08,xSp12D08,0.9290050372411418
xSp10D09,xSp12D09,0.7057818937286524
xSp10D10,xSp12D10,0.8942112954085164
xSp11D01,xSp12D01,0.349273057701045
xSp11D02,xSp12D07,0.6407192379234542
xSp11D03,xSp12D05,0.5577790267557217
xSp11D04,xSp12D04,0.8224211362159821
xSp11D05,xSp12D02,0.3131205502009977
xSp11D06,xSp12D12,0.695103255478402
xSp11D07,xSp12D03,0.8642408515908354
xSp11D08,xSp12D08,0.9195491643995336
xSp11D09,xSp12D09,0.8003850665014274
xSp11D10,xSp12D10,0.8799700454969339
xSp11D11,xSp12D11,0.8152629497825228
