bansky,cluster,cell_type,n,prop_of_cluster,prop_of_cell_type
k09,xSp9D1,Oligo.3,7328,0.1656045197740113,0.13103230933835755
k09,xSp9D1,Astro.5,4946,0.11177401129943502,0.12721828670056354
k09,xSp9D1,Excit.L5.1,2655,0.06,0.6423140068744487
k09,xSp9D1,Excit.L2_5.2,2523,0.05701694915254237,0.6944579981241072
k09,xSp9D1,Vasc.Endo,2486,0.056180790960451976,0.05737309334655851
k09,xSp9D1,Astro.2,2428,0.05487005649717514,0.1250203086916991
k09,xSp9D1,Excit.L2,2351,0.05312994350282486,0.12639550312106781
k09,xSp9D1,Oligo.4,2289,0.05172881355932203,0.08176417179440221
k09,xSp9D1,Astro.1,2238,0.05057627118644068,0.12053093394890241
k09,xSp9D1,OPC.5,1939,0.04381920903954802,0.19338264403928343
k09,xSp9D1,Micro.5,1710,0.03864406779661017,0.11931989575138849
k09,xSp9D1,Excit.L2_5.1,1622,0.03665536723163842,0.2522484497882044
k09,xSp9D1,Inhib.Pvalb,1383,0.031254237288135596,0.41426731080644835
k09,xSp9D1,OPC.2,1362,0.030779661016949154,0.14107931739055124
k09,xSp9D1,Micro.2,1216,0.027480225988700566,0.10830414199655203
k09,xSp9D1,Inhib.Vip,931,0.02103954802259887,0.09510389554757998
k09,xSp9D1,Vasc.PC,883,0.019954802259887005,0.022825586071858237
k09,xSp9D1,Inhib.Sst,748,0.016903954802259886,0.31442470861581984
k09,xSp9D1,Oligo.1,578,0.013062146892655366,0.06366429338552484
k09,xSp9D1,Inhib.Lamp5_Lhx6,556,0.01256497175141243,0.1540834976527631
k09,xSp9D1,Excit.L5.2,399,0.009016949152542373,0.1954574581231717
k09,xSp9D1,Oligo.2,271,0.006124293785310734,0.03503407595902646
k09,xSp9D1,Inhib.Chandelier,270,0.006101694915254237,0.2567245199997253
k09,xSp9D1,Oligo.5,238,0.005378531073446328,0.12305152036510954
k09,xSp9D1,OPC.4,229,0.005175141242937853,0.10836053415168365
k09,xSp9D1,Excit.L5_6_NP,185,0.004180790960451978,0.581848024451437
k09,xSp9D1,Excit.L6_CT,163,0.0036836158192090395,0.10691757261094227
k09,xSp9D1,Astro.3,86,0.001943502824858757,0.1043940251844374
k09,xSp9D1,Inhib.Pax6,81,0.001830508474576271,0.06998220614472893
k09,xSp9D1,Excit.L6b,75,0.001694915254237288,0.04876815652915563
k09,xSp9D1,Micro.3,24,5.423728813559322e-4,0.017773942610952095
k09,xSp9D1,Astro.4,16,3.615819209039548e-4,0.0019111310192516458
k09,xSp9D1,Macro,15,3.3898305084745765e-4,0.0028300258758265254
k09,xSp9D1,Vasc.VLMC,12,2.711864406779661e-4,8.805347348458875e-4
k09,xSp9D1,OPC.1,7,1.5819209039548022e-4,0.2011133771643364
k09,xSp9D1,Micro.4,5,1.1299435028248587e-4,0.038056713383436615
k09,xSp9D1,Micro.1,1,2.2598870056497175e-5,0.00667274708687899
k09,xSp9D1,OPC.3,1,2.2598870056497175e-5,0.07763837298384477
k09,xSp9D2,Astro.5,4063,0.16404893608430574,0.18671625309917744
k09,xSp9D2,Astro.1,3656,0.1476157790608471,0.3517908160965567
k09,xSp9D2,Astro.2,2946,0.11894860096095611,0.27102197008581663
k09,xSp9D2,Inhib.Vip,2263,0.09137158315500464,0.41302187152769404
k09,xSp9D2,Oligo.3,1888,0.07623046796140025,0.060316314268214155
k09,xSp9D2,Vasc.Endo,1461,0.05898978479428271,0.06024170132952062
k09,xSp9D2,OPC.2,1159,0.04679614002503331,0.21449123457236607
k09,xSp9D2,Micro.5,1091,0.04405055113659305,0.13601329955928068
k09,xSp9D2,OPC.5,923,0.037267331529858276,0.1644679414689609
k09,xSp9D2,Oligo.4,793,0.03201841159607542,0.05060929733722086
k09,xSp9D2,Micro.2,707,0.02854604917834215,0.11250472848814873
k09,xSp9D2,Vasc.PC,641,0.025881212904267776,0.029604595680608733
k09,xSp9D2,Inhib.Lamp5_Lhx6,540,0.021803205878790324,0.2673714106416241
k09,xSp9D2,Excit.L2,402,0.016231275487543908,0.038614011163698836
k09,xSp9D2,Inhib.Pax6,316,0.012758913069810635,0.4877862610501452
k09,xSp9D2,Excit.L2_5.1,247,0.009972947874187427,0.06863007605912075
k09,xSp9D2,Excit.L5.2,247,0.009972947874187427,0.21618032978859067
k09,xSp9D2,OPC.4,244,0.009851818952638591,0.20628390877841363
k09,xSp9D2,Inhib.Pvalb,209,0.008438648201235514,0.11185222870546802
k09,xSp9D2,Oligo.1,182,0.007348487907295999,0.03581618656678334
k09,xSp9D2,Inhib.Sst,162,0.006540961763637098,0.12166620300734961
k09,xSp9D2,Inhib.Chandelier,131,0.005289296240965801,0.22254341743694306
k09,xSp9D2,Oligo.2,108,0.004360641175758065,0.024945085839610033
k09,xSp9D2,Astro.3,73,0.0029474704243549884,0.15832150989173935
