Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000188290,HES4,16,-4.1158,407,0.76302,1,-7.8688,131,-1.1626,16,-4.1524,540,2.20280
ENSG00000131584,ACAP3,16,-3.6884,407,1.29710,608,2.11524,224,0.29166,16,-3.7239,78,-1.6722
ENSG00000175756,AURKAIP1,760,1.50705,407,0.38496,315,-0.0349,179,-1.0201,534,0.85400,175,-1.1777
ENSG00000179403,VWA1,16,-3.9725,407,0.93886,1,-7.7251,146,-0.8189,215,-0.1307,390,1.32655
ENSG00000160075,SSU72,16,-3.7080,407,1.26987,337,0.92741,144,-0.5362,16,-3.7450,230,0.37293
ENSG00000078369,GNB1,16,-4.4425,407,0.37889,141,-1.2906,443,0.61509,525,0.81684,311,-0.0808
ENSG00000067606,PRKCZ,16,-5.2825,3973,4.70064,589,0.03346,77,-3.2233,16,-5.3171,148,-2.4128
ENSG00000069424,KCNAB2,16,-3.6247,407,1.37979,755,2.74328,199,0.14438,16,-3.6606,21,-3.6190
ENSG00000116254,CHD5,16,-4.2821,407,0.56594,1641,3.76442,261,-0.1867,16,-4.3183,0,-8.7755
ENSG00000116251,RPL22,16,-5.8938,407,-1.2083,217,-2.1505,555,-0.8113,906,0.04642,1757,1.98825
ENSG00000171735,CAMTA1,24,-4.8305,3937,4.24255,856,0.52971,199,-1.8956,16,-5.4264,122,-2.8317
ENSG00000116288,PARK7,637,1.32923,407,0.52584,48,-2.7536,301,0.02968,16,-4.3521,318,0.15980
ENSG00000074800,ENO1,16,-5.0829,407,-0.3395,908,1.00565,1160,1.88087,16,-5.1184,285,-1.0968
ENSG00000171603,CLSTN1,16,-5.1854,407,-0.4525,1964,2.43788,550,0.03492,702,0.43327,224,-1.6403
ENSG00000054523,KIF1B,16,-4.3167,407,0.52562,611,1.24865,323,0.16403,16,-4.3527,323,0.19295
ENSG00000116661,FBXO2,16,-3.8282,407,1.11806,280,0.46124,522,2.08506,16,-3.8638,47,-2.6338
ENSG00000132879,FBXO44,16,-3.6979,407,1.28502,840,2.89503,116,-0.8875,16,-3.7334,76,-1.7162
ENSG00000116786,PLEKHM2,16,-3.5284,407,1.50783,173,0.01314,176,0.04708,264,0.71674,112,-0.8540
ENSG00000077549,CAPZB,16,-5.5591,3997,3.80022,694,-0.0109,215,-1.9588,394,-0.9018,253,-1.8662
ENSG00000173436,MICOS10,16,-4.6597,407,0.13058,331,-0.2031,261,-0.6459,696,1.05217,469,0.51366
ENSG00000158747,NBL1,16,-4.1190,407,0.76048,580,1.40855,314,0.37028,167,-0.6863,176,-0.7664
ENSG00000162545,CAMK2N1,16,-5.1777,407,-0.4432,497,-0.1245,844,0.91036,16,-5.2130,736,0.74983
ENSG00000158828,PINK1,975,1.78312,407,0.19891,2,-7.4066,465,0.49465,20,-4.3106,302,-0.3646
ENSG00000127483,HP1BP3,16,-5.3292,3961,4.48823,110,-2.5681,142,-2.3481,16,-5.3663,327,-1.1595
ENSG00000076864,RAP1GAP,16,-4.0210,407,0.87814,1115,3.06974,156,-0.7687,172,-0.5434,51,-2.7131
ENSG00000070831,CDC42,16,-4.4051,407,0.42218,339,0.12053,207,-0.7406,748,1.51853,303,-0.0787
ENSG00000142676,RPL11,25,-6.0109,411,-1.9669,89,-4.2008,770,-1.1243,3113,1.29099,2703,1.64672
ENSG00000001461,NIPAL3,16,-3.2620,407,1.87704,34,-2.1691,46,-1.8909,16,-3.2978,242,1.35581
ENSG00000169504,CLIC4,16,-3.8359,407,1.10835,53,-2.1118,66,-1.9436,211,-0.0154,365,1.41681
ENSG00000117632,STMN1,16,-5.1895,407,-0.4563,1453,1.76503,223,-1.5035,16,-5.2252,845,1.11571
ENSG00000142669,SH3BGRL3,16,-4.6696,407,0.11918,407,0.11942,154,-1.5145,878,1.47555,462,0.45797
ENSG00000198830,HMGN2,16,-4.2312,407,0.62683,1,-7.9821,149,-1.0780,595,1.31128,398,0.85642
