Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to13,Feature log2 fold change topic 10to13
ENSG00000228794,LINC01128,112,2.47049,7,-1.9270,24,-0.2058,21,-0.3619,19,-0.5259,18,-0.7290
ENSG00000188976,NOC2L,112,1.21329,49,-0.1275,29,-1.1296,62,0.25143,56,0.11312,59,0.23724
ENSG00000188290,HES4,112,0.40919,76,-0.2024,90,0.08969,52,-0.7626,133,0.77859,63,-0.5964
ENSG00000187608,ISG15,112,0.27840,59,-0.7048,66,-0.6691,46,-1.0690,201,1.44157,83,-0.2479
ENSG00000188157,AGRN,112,1.31344,34,-0.5701,31,-0.8927,14,-1.8682,62,0.37696,60,0.39475
ENSG00000078808,SDF4,112,0.75251,60,-0.2210,58,-0.3604,59,-0.2606,79,0.22007,71,0.03710
ENSG00000176022,B3GALT6,112,1.76816,19,-1.0524,26,-0.7447,33,-0.2211,33,-0.2449,41,0.15420
ENSG00000160087,UBE2J2,112,1.45257,41,-0.1675,25,-1.1402,31,-0.6099,52,0.21187,53,0.28750
ENSG00000131584,ACAP3,112,0.44175,53,-0.7083,70,-0.3672,57,-0.6023,90,0.10274,104,0.45227
ENSG00000169972,PUSL1,112,3.07928,6,-1.7244,13,-0.8492,3,-2.6760,22,0.12892,12,-0.9641
ENSG00000127054,INTS11,112,1.19191,40,-0.4250,30,-1.0953,46,-0.2378,74,0.57617,57,0.14935
ENSG00000224051,CPTP,112,1.74020,16,-1.3671,21,-1.1207,40,0.05319,31,-0.3980,48,0.46611
ENSG00000107404,DVL1,112,0.91535,66,0.07924,64,0.02476,86,0.48386,27,-1.3616,62,-0.0425
ENSG00000175756,AURKAIP1,112,-0.7327,206,0.20838,189,0.09999,134,-0.4569,248,0.56136,160,-0.2431
ENSG00000221978,CCNL2,112,1.54143,41,-0.0803,32,-0.6126,17,-1.4440,60,0.55619,38,-0.2954
ENSG00000242485,MRPL20,112,-0.6772,205,0.26133,178,0.04649,165,-0.0793,201,0.25301,166,-0.0948
ENSG00000235098,ANKRD65,112,3.36800,26,0.52833,8,-1.3878,8,-1.1723,10,-0.8662,9,-1.2364
ENSG00000179403,VWA1,112,2.09336,145,2.63416,17,-1.1913,20,-0.7372,9,-1.9208,15,-1.4444
ENSG00000197785,ATAD3A,112,2.56793,19,-0.4807,10,-1.6057,8,-1.6377,30,0.28818,23,-0.2087
ENSG00000205090,TMEM240,112,1.43595,26,-0.8804,25,-1.1399,57,0.30956,39,-0.2791,58,0.46954
ENSG00000160075,SSU72,112,-0.3410,104,-0.4443,134,-0.0820,90,-0.6723,183,0.47251,151,0.17229
ENSG00000228594,FNDC10,112,1.97716,15,-1.2627,30,-0.2529,47,0.47198,20,-0.8704,28,-0.3868
ENSG00000272106,AL691432.2,112,2.59163,17,-0.5650,18,-0.6816,7,-1.9634,19,-0.4675,21,-0.3525
ENSG00000197530,MIB2,112,1.53525,46,0.06758,43,-0.0486,26,-0.7999,40,-0.1688,34,-0.4955
ENSG00000189339,SLC35E2B,112,2.72575,18,-0.4145,13,-1.0463,11,-1.1037,10,-1.3461,24,-0.0207
ENSG00000215790,SLC35E2A,112,2.20134,17,-0.8501,21,-0.7370,15,-1.0515,25,-0.3202,30,-0.0355
ENSG00000008130,NADK,112,2.16447,17,-0.9544,26,-0.3396,28,-0.1423,22,-0.5625,25,-0.4378
ENSG00000078369,GNB1,112,-1.8161,264,-0.5295,378,0.02798,256,-0.5769,461,0.36961,445,0.38552
ENSG00000187730,GABRD,112,0.01137,36,-1.6834,88,-0.4654,71,-0.6843,118,0.11307,159,0.82251
ENSG00000067606,PRKCZ,112,-0.8297,141,-0.4748,182,-0.1063,184,-0.0675,208,0.13515,229,0.37930
ENSG00000162585,FAAP20,112,1.10964,78,0.51124,59,0.10536,50,-0.1657,44,-0.3949,41,-0.5951
ENSG00000157933,SKI,112,2.36332,21,-0.4800,24,-0.3260,13,-1.1979,10,-1.6192,27,-0.1159
ENSG00000157916,RER1,112,0.73734,47,-0.6058,54,-0.5287,33,-1.1579,103,0.67582,75,0.14499
ENSG00000157911,PEX10,112,1.88725,40,0.15231,32,-0.2656,40,0.14132,36,-0.0109,20,-1.0905
ENSG00000149527,PLCH2,112,2.30662,14,-1.0707,11,-1.7200,35,0.26774,32,0.18662,27,-0.1328
ENSG00000197921,HES5,112,3.17281,15,-0.4504,20,0.02231,5,-2.0148,4,-2.4775,9,-1.3252
ENSG00000157870,PRXL2B,112,1.13176,40,-0.4968,47,-0.3379,43,-0.3753,59,0.11827,55,-0.0217
ENSG00000177133,PRDM16-DT,112,3.09358,11,-0.8727,25,0.45304,10,-0.9884,6,-1.8641,5,-2.4615
ENSG00000158109,TPRG1L,112,-0.4221,100,-0.5831,109,-0.5895,102,-0.5535,183,0.37813,199,0.67983
ENSG00000116213,WRAP73,112,3.04822,7,-1.4877,10,-1.3144,4,-2.2883,22,0.11324,15,-0.5702
ENSG00000130764,LRRC47,112,0.65859,51,-0.5588,56,-0.5497,58,-0.3659,87,0.27699,85,0.31496
ENSG00000116198,CEP104,112,3.21542,18,-0.0698,10,-1.2150,0,-5.7474,13,-0.6598,14,-0.6168
ENSG00000196581,AJAP1,112,1.80288,14,-1.4814,17,-1.4261,20,-0.9581,33,-0.2496,53,0.76369
ENSG00000069424,KCNAB2,112,-0.5729,92,-0.8685,147,-0.1955,71,-1.2504,171,0.09011,226,0.74978
ENSG00000116254,CHD5,112,0.04341,62,-0.8493,93,-0.3027,143,0.43893,70,-0.7150,145,0.64852
ENSG00000116251,RPL22,112,-1.9100,902,1.34418,465,0.33890,429,0.11988,320,-0.3637,306,-0.5169
ENSG00000116237,ICMT,112,1.71539,24,-0.7479,23,-1.0344,19,-1.1378,59,0.70280,38,-0.0888
ENSG00000097021,ACOT7,112,-1.3760,120,-1.2737,198,-0.6539,348,0.36151,475,0.97834,319,0.30768
ENSG00000215788,TNFRSF25,112,3.27072,13,-0.5257,11,-0.9869,10,-0.9917,11,-0.9172,11,-0.9378
ENSG00000171680,PLEKHG5,112,2.28195,4,-2.8769,18,-0.9461,6,-2.2295,12,-1.3706,41,0.76213
ENSG00000162408,NOL9,112,2.51362,18,-0.6000,18,-0.6842,32,0.32478,16,-0.8055,19,-0.6555
ENSG00000162413,KLHL21,112,2.51917,30,0.23216,20,-0.4975,10,-1.4145,17,-0.7128,18,-0.6731
ENSG00000116273,PHF13,112,2.95500,16,-0.4048,8,-1.6552,10,-1.1625,15,-0.5613,19,-0.1997
ENSG00000041988,THAP3,112,2.62066,17,-0.5941,13,-1.2090,0,-5.4125,28,0.18420,22,-0.2328
ENSG00000007923,DNAJC11,112,2.07958,28,-0.2439,29,-0.2376,7,-2.3016,22,-0.6422,30,-0.1994
ENSG00000171735,CAMTA1,112,-0.2852,143,0.09423,125,-0.1425,192,0.56575,136,0.02610,131,-0.0440
