sample_id,layers,k2_layer,notes
Br1039,,s,
Br1289,,i,
Br1556,,s,
Br1691,,w,
Br1706,,i,
Br2305,,i,
Br2582,,s,
Br3974,,i,
Br5161,,w,strange layer pattern
Br5212,,i,
Br5276,,s,low expression
Br5367,,i,
Br5415,,s,
Br5426,,w,
Br5460,,i,nice layers
Br5517,,s,
Br5529,,s,low expression
Br5599,,i,
Br5634,,s,"complex pattern, nice layers"
Br5712,,i,small
Br5832,,i,small
Br5854,,i,small
Br5941,,i,
Br6085,,i,"large vessle, "
Br6098,,i,
Br6161,,w,
Br6263,,w,
Br6321,,w,
Br6423,,s,
Br6476,,w,
Br6538,,s,tares
