Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000159479,MED8,15,-0.0766,18,0.37687,23,0.86257,2,-2.6872,7,-1.1965
ENSG00000178922,HYI,17,-0.5232,17,-0.5150,9,-1.4705,8,-1.5651,87,2.62918
ENSG00000142949,PTPRF,106,0.16647,106,0.16206,103,0.10521,57,-0.8464,92,-0.0867
ENSG00000066135,KDM4A,18,0.24538,10,-0.7361,22,0.70595,20,0.43344,4,-1.9319
ENSG00000126091,ST3GAL3,33,-0.0951,37,0.13924,48,0.65834,27,-0.4123,14,-1.3819
ENSG00000117408,IPO13,42,-0.5111,66,0.33291,48,-0.2861,4,-3.9958,131,1.52394
ENSG00000117410,ATP6V0B,271,-0.4274,298,-0.2511,541,0.98250,226,-0.6615,280,-0.3205
ENSG00000117411,B4GALT2,104,0.75735,50,-0.6671,65,-0.1889,64,-0.1940,74,0.04997
ENSG00000159214,CCDC24,17,0.04125,24,0.68039,19,0.15226,12,-0.5651,5,-1.8525
ENSG00000178028,DMAP1,30,-1.0370,45,-0.3263,69,0.50257,83,0.73216,59,0.16056
ENSG00000117419,ERI3,123,-0.6091,187,0.16902,226,0.56484,167,-0.0369,131,-0.4347
ENSG00000187147,RNF220,89,-0.1313,101,0.10510,127,0.57762,66,-0.5922,64,-0.6394
ENSG00000142937,RPS8,941,-0.5154,1208,-0.0563,592,-1.3029,2834,1.47845,1636,0.46191
ENSG00000070785,EIF2B3,10,-1.0887,20,-0.0008,29,0.75279,22,0.18412,18,-0.1321
ENSG00000126107,HECTD3,13,-0.0087,12,-0.1184,20,0.96704,1,-3.3613,11,-0.2391
ENSG00000126088,UROD,59,-0.3783,78,0.15862,77,0.14220,47,-0.6720,100,0.55536
ENSG00000117450,PRDX1,359,-0.1811,371,-0.1166,310,-0.4465,317,-0.3562,761,1.15007
ENSG00000117448,AKR1A1,28,-0.7059,62,0.84254,25,-0.8741,10,-2.0957,89,1.37238
ENSG00000132780,NASP,20,-0.4336,26,0.01576,27,0.09691,20,-0.4481,40,0.73791
ENSG00000159592,GPBP1L1,23,-0.6421,30,-0.1405,32,-0.0222,58,1.00854,31,-0.0472
ENSG00000159596,TMEM69,15,-0.3015,14,-0.4211,20,0.27993,29,0.87044,13,-0.4853
ENSG00000086015,MAST2,20,-0.1335,26,0.30352,22,-0.0096,35,0.76532,5,-2.1422
ENSG00000085998,POMGNT1,34,-0.8416,47,-0.3002,79,0.72098,47,-0.2665,75,0.51343
ENSG00000132128,LRRC41,38,-0.4148,40,-0.3407,50,0.10106,75,0.77629,50,0.08601
ENSG00000173660,UQCRH,539,0.06235,633,0.38528,547,0.09137,427,-0.3253,309,-0.8363
