Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000142655,PEX14,13,-0.8378,20,-0.1139,31,0.75010,20,-0.1357,23,0.10306
ENSG00000120948,TARDBP,37,-0.9853,80,0.45142,61,-0.0976,92,0.61134,64,0.01488
ENSG00000116649,SRM,96,-0.1021,97,-0.0777,120,0.33545,97,-0.0685,86,-0.2532
ENSG00000171824,EXOSC10,17,-0.3057,20,0.07020,29,0.81698,0,-5.2145,24,0.35589
ENSG00000198793,MTOR,34,0.48905,20,-0.5007,35,0.57070,16,-0.8292,18,-0.6200
ENSG00000116661,FBXO2,294,0.12720,183,-0.7380,174,-0.8265,325,0.27777,574,1.30355
ENSG00000132879,FBXO44,116,-0.3173,159,0.27707,225,1.05068,34,-2.1666,68,-1.1134
ENSG00000116670,MAD2L2,23,-0.6742,43,0.49358,14,-1.4704,59,0.93866,51,0.67251
ENSG00000011021,CLCN6,37,-0.6343,54,0.06705,83,0.96378,10,-2.5184,61,0.26004
ENSG00000116685,KIAA2013,19,-1.2706,37,-0.1816,50,0.39636,39,-0.0497,74,1.02511
ENSG00000083444,PLOD1,19,-0.3847,17,-0.6333,20,-0.3419,25,0.07278,55,1.45114
ENSG00000116688,MFN2,51,-0.3820,65,0.07599,84,0.58555,42,-0.6364,60,-0.0846
ENSG00000048707,VPS13D,28,-0.6888,31,-0.4858,62,0.89532,56,0.54003,26,-0.6834
ENSG00000162496,DHRS3,42,-0.1890,15,-1.9194,36,-0.4580,72,0.74839,114,1.61204
ENSG00000116731,PRDM2,28,-1.2308,81,0.74020,97,1.14928,18,-1.7623,24,-1.3664
ENSG00000189337,KAZN,28,-0.5308,38,-0.0149,42,0.19227,49,0.41986,39,0.04185
ENSG00000142634,EFHD2,15,-3.3437,212,1.17115,215,1.21091,59,-1.1627,43,-1.6373
ENSG00000116138,DNAJC16,12,-0.8394,18,-0.0401,33,1.18497,9,-1.1647,16,-0.2519
ENSG00000197312,DDI2,13,-0.5908,11,-0.8189,36,1.49977,6,-1.6133,19,0.06496
ENSG00000116786,PLEKHM2,71,-0.0451,82,0.24376,72,0.00066,78,0.11440,51,-0.5517
ENSG00000065526,SPEN,26,0.04810,28,0.14153,30,0.28461,1,-4.6842,37,0.62511
ENSG00000116809,ZBTB17,13,-0.9491,23,0.05183,24,0.12654,37,0.87068,22,-0.0392
ENSG00000185519,FAM131C,25,0.61820,19,0.01016,24,0.51366,0,-5.1794,12,-0.6426
ENSG00000037637,FBXO42,10,-0.5240,14,-0.0139,26,1.38445,0,-4.2902,10,-0.5118
ENSG00000055070,SZRD1,30,-0.1036,30,-0.0885,17,-1.0907,59,1.06359,41,0.40752
ENSG00000219481,NBPF1,10,-0.9576,19,0.13969,13,-0.6215,30,0.88789,29,0.78708
ENSG00000238142,BX284668.5,16,-0.1411,18,0.06050,11,-0.8273,30,0.94784,19,0.13704
ENSG00000159363,ATP13A2,146,0.24924,91,-0.6292,206,0.99262,80,-0.7557,64,-1.1079
ENSG00000117118,SDHB,72,-0.1019,94,0.43622,69,-0.1876,55,-0.5197,82,0.12950
ENSG00000117115,PADI2,27,-0.8784,21,-1.2433,21,-1.2900,2,-4.0715,209,3.36055
ENSG00000179051,RCC2,16,-0.2515,5,-2.0321,23,0.35502,30,0.81124,31,0.86581
ENSG00000074964,ARHGEF10L,19,0.03640,6,-1.8178,17,-0.1980,57,2.05696,9,-1.1399
ENSG00000117154,IGSF21,31,-1.5196,95,0.47517,145,1.48574,37,-1.1137,20,-2.0006
ENSG00000159423,ALDH4A1,54,1.12041,26,-0.3690,25,-0.4306,11,-1.6184,34,0.08938
ENSG00000127463,EMC1,19,-0.6721,22,-0.3934,29,0.16372,44,0.81390,33,0.32729
ENSG00000053372,MRTO4,30,6.92697,41,0.63753,36,0.39586,21,-0.5418,3,-3.3007
ENSG00000053371,AKR7A2,55,0.15582,38,-0.5470,26,-1.1915,58,0.21768,112,1.39888
ENSG00000077549,CAPZB,142,-0.2877,153,-0.1555,228,0.65182,132,-0.3727,148,-0.1782
ENSG00000173436,MICOS10,373,0.20146,395,0.31616,302,-0.2038,304,-0.1655,248,-0.4922
ENSG00000158747,NBL1,191,-0.7565,232,-0.4175,354,0.39595,169,-0.8644,600,1.28218
ENSG00000162545,CAMK2N1,1305,0.58666,1433,0.79391,763,-0.4591,365,-1.5453,456,-1.2053
ENSG00000090432,MUL1,15,-0.8666,15,-0.8779,46,1.31887,21,-0.3049,27,0.11826
ENSG00000183114,FAM43B,7,-2.3402,34,0.31205,65,1.89985,1,-4.7285,20,-0.6055
ENSG00000158828,PINK1,306,-0.2380,403,0.29109,409,0.32265,374,0.12111,170,-1.1304
ENSG00000244038,DDOST,21,-0.5379,21,-0.5406,34,0.40005,44,0.77286,28,0.00216
ENSG00000189410,SH2D5,20,-0.1801,21,-0.1505,30,0.60991,26,0.22527,11,-1.1258
ENSG00000127483,HP1BP3,107,-0.4800,125,-0.1958,165,0.33805,196,0.58143,121,-0.2217
ENSG00000075151,EIF4G3,75,-0.2777,80,-0.1533,137,0.96663,85,-0.0339,25,-1.9014
ENSG00000117298,ECE1,10,-1.5554,9,-1.7279,21,-0.3587,72,1.93450,50,1.20086
ENSG00000162551,ALPL,16,-1.4585,12,-1.9081,17,-1.3589,173,3.28120,33,-0.1527
ENSG00000076864,RAP1GAP,63,-1.1252,146,0.40376,219,1.33797,61,-1.0617,38,-1.7754
ENSG00000090686,USP48,23,-0.4939,27,-0.2354,35,0.28696,32,0.07963,41,0.49577
ENSG00000070831,CDC42,128,-0.6814,174,-0.1268,274,0.80440,201,0.12928,135,-0.5136
ENSG00000173372,C1QA,47,-0.4613,47,-0.4578,13,-2.4831,186,2.13353,81,0.50142
ENSG00000159189,C1QC,37,-0.3112,31,-0.6204,18,-1.5185,121,1.88012,56,0.42792
