k10,n,passALL_metricQC,metric_fail,rank,cell_type_k10,median_sum,median_detected,median_Mito_percent,median_scDblFinder.score,sctype,sestan_EC,snDLPFC_PEC
k9,13450,TRUE,NA,1,glia.01,8427,3043,0.061785605428429466,0.0017748478567227721,Oligodendrocytes,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098,Oligo
k1,12111,TRUE,NA,2,glia.02,8930,3507,0.07526719855486978,0.0010052856523543596,Astrocytes,Astro.AQP4.CHRDL1/Astro.AQP4.GFAP,Astro
k24,11541,TRUE,NA,3,glia.03,9383,3517,0.053900431203449624,0.0012288140133023262,Oligodendrocyte precursor cells,OPC.PDGFRA.GRIA4,OPC
k27,10192,TRUE,NA,4,glia.04,5559,2378,0.0809143327787915,0.0011381502263247967,Oligodendrocytes,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098,Oligo
k25,10185,TRUE,NA,5,glia.05,3834,1887,0.1025220422390814,9.914836846292019e-4,Oligodendrocytes,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098,Oligo
k6,6587,TRUE,NA,6,glia.06,5053,2416,0.04957858205255329,8.882741676643491e-4,Microglial cells,Micro.C1QB.P2RY12,Micro
k12,6403,TRUE,NA,7,glia.07,2494,1490,0.16333197223356472,8.094708900898695e-4,Oligodendrocytes,Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098/Oligo.OPALIN.SLC5A11*,VLMC*
k21,4576,TRUE,NA,8,glia.08,4678,2367.5,0.11336530673547247,8.114020456559956e-4,Astrocytes,Astro.AQP4.GFAP/Astro.AQP4.CHRDL1,Astro
k28,4453,TRUE,NA,9,glia.09,2975,1734,0.07821666014861164,6.925172638148069e-4,Microglial cells,Micro.C1QB.P2RY12,Micro
k4,3321,TRUE,NA,10,glia.10,2799,1674,0.141643059490085,8.094708900898695e-4,Astrocytes,Astro.AQP4.GFAP/Astro.AQP4.CHRDL1,Astro
k26,2600,TRUE,NA,11,glia.11,4427,2269,0.07372819319721974,7.712039514444768e-4,Oligodendrocyte precursor cells,OPC.PDGFRA.GRIA4,OPC
k11,2249,TRUE,NA,12,glia.12,1948,1277,0.1128031584884377,7.893528090789914e-4,Microglial cells,Micro.C1QB.P2RY12,Micro
k2,1065,TRUE,NA,13,glia.13,6942,2891,0.06202191440975812,0.0012470565270632505,Astrocytes,VLMC.COL1A1.COL1A2,VLMC
k5,614,TRUE,NA,14,glia.14,17020.5,4509,0.06126941714643862,0.01727487239986658,Oligodendrocytes,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.CPXM2.KANK4/Oligo.OPALIN.LINC01098,Oligo
k13,585,TRUE,NA,15,glia.15,21206,5377,0.05369608018614641,0.004044900648295879,Astrocytes,Astro.AQP4.CHRDL1/Astro.AQP4.GFAP,Astro
k10,480,TRUE,NA,16,glia.16,4377.5,2192.5,0.21576127010038762,0.0012470565270632505,Glutamatergic neurons,EC.L2.CUX2.CALB1/EC.L5.RORB.TLL1/EC.L6.THEMIS.CDH13,L2.3.IT
k14,444,TRUE,NA,17,glia.17,5053,2331,0.14527077997721627,0.0012470565270632505,Endothelial cells,Endo.CLDN5.VWF/PC.CLDN5.ABCC9,Endo
k15,295,TRUE,NA,18,glia.18,9103,3276,0.15022533800701052,0.0015982745680958033,Endothelial cells,Endo.CLDN5.VWF/PC.CLDN5.ABCC9,Endo
k20,220,TRUE,NA,19,glia.19,6189.5,2801,0.1482501819613855,0.005334343761205673,Glutamatergic neurons,EC.L5.RORB.TLL1/EC.L2.CUX2.CALB1/EC.L6.THEMIS.CDH13*,L2.3.IT/Vip/L5.IT/L6.IT*
k18,3716,FALSE,detected,20,glia.20_QC,1912,1214,0.2141328015870221,6.925172638148069e-4,Oligodendrocytes,NA,NA
k16,1743,FALSE,detected,21,glia.21_QC,1356,943,0.3663003663003663,6.357405218295753e-4,Oligodendrocytes,NA,NA
k7,989,FALSE,"detected,sum",22,glia.22_QC,1103,812,0.3669724770642202,6.728297448717058e-4,Astrocytes,NA,NA
k17,307,FALSE,scDblFinder.score,23,glia.23_QC,14289,4954,0.26286143447239957,0.9987033605575562,Glutamatergic neurons,NA,NA
k8,194,FALSE,scDblFinder.score,24,glia.24_QC,25392,5910.5,0.04719793809007987,0.9719561338424683,Oligodendrocyte precursor cells,NA,NA
k19,175,FALSE,"detected,sum",25,glia.25_QC,898,711,0.2932551319648094,7.308316417038441e-4,Astrocytes,NA,NA
k3,100,FALSE,"detected,sum",26,glia.26_QC,636.5,527.5,0.29915806476595086,6.910404772497714e-4,Astrocytes,NA,NA
k22,45,FALSE,scDblFinder.score,27,glia.27_QC,44418,8489,0.09458181326847723,0.9991335272789001,Glutamatergic neurons,NA,NA
k23,29,FALSE,scDblFinder.score,28,glia.28_QC,65810,9606,0.08813250265917034,0.9990334510803223,Glutamatergic neurons,NA,NA
