"","top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
"1",1,"enrichment","glia.01","ENSG00000260042",14.5669309968321,1.01159493834842e-36,1.60610928361578e-32,11997,4.21920838224869,"ENSG00000260042"
"2",2,"enrichment","glia.01","FAR1",13.563017086671,5.22380931856758e-33,8.19481588035717e-30,8676,1.60932418744332,"ENSG00000197601"
"3",3,"enrichment","glia.01","ENSG00000286438",13.3506550330163,3.13412815834618e-32,3.11003454812889e-29,5698,4.37778646959068,"ENSG00000286438"
"4",4,"enrichment","glia.01","TRPV5",13.0256021680078,4.80016038591757e-31,4.01116560248491e-28,6580,3.7568640033885,"ENSG00000127412"
"5",5,"enrichment","glia.01","ENSG00000229494",12.8744077166257,1.69778975855218e-30,1.28360990459681e-27,1924,3.62261737116916,"ENSG00000229494"
"6",6,"enrichment","glia.01","HAGLR",12.8401422063684,2.25931229322128e-30,1.55961309910757e-27,2302,4.19242424885815,"ENSG00000224189"
"7",7,"enrichment","glia.01","ZDHHC20",12.7756171231311,3.86724796301438e-30,2.36154984264536e-27,10270,2.28165019260966,"ENSG00000180776"
"8",8,"enrichment","glia.01","SLC25A13",12.5357953460348,2.8313995936865e-29,1.45013326932131e-26,6303,1.72505807401926,"ENSG00000004864"
"9",9,"enrichment","glia.01","PEX5L-AS2",12.5035883357117,3.6960968165493e-29,1.77827058049555e-26,3476,3.30053497493065,"ENSG00000244302"
"10",10,"enrichment","glia.01","DICER1",12.4046930156379,8.36711911096787e-29,3.79556428928106e-26,11016,1.57298789611509,"ENSG00000100697"
"11",1,"enrichment","glia.02","LAMP2",11.4600808228207,1.8371398617989e-25,4.86137826429685e-22,15707,2.58099798982236,"ENSG00000005893"
"12",2,"enrichment","glia.02","LINC00706",11.2534198722844,9.60229405769154e-25,1.35308926093361e-21,7942,3.57505584039267,"ENSG00000281186"
"13",3,"enrichment","glia.02","PTBP2",11.1951972611896,1.52688103728977e-24,1.61615268193664e-21,694,1.62537429951453,"ENSG00000117569"
"14",4,"enrichment","glia.02","PDE8A",11.1532376512262,2.13164449087635e-24,2.11525747385273e-21,11539,2.24033494052761,"ENSG00000073417"
"15",5,"enrichment","glia.02","ENSG00000289314",11.0732535102361,4.02106380298438e-24,3.19212149999915e-21,4121,4.14575074549706,"ENSG00000289314"
"16",6,"enrichment","glia.02","EXOC6B",11.0588961611506,4.50538505701876e-24,3.40628564525175e-21,1883,1.59037164967199,"ENSG00000144036"
"17",7,"enrichment","glia.02","SECISBP2L",11.0480617381158,4.90892501177648e-24,3.54268192781706e-21,11265,1.96980948041426,"ENSG00000138593"
"18",8,"enrichment","glia.02","ANKIB1",10.9730035443651,8.88519594348681e-24,6.13348939107566e-21,6277,1.69451058896827,"ENSG00000001629"
"19",9,"enrichment","glia.02","LINC01978",10.9287081926821,1.26007813053828e-23,7.14547997997817e-21,13072,3.28718702497803,"ENSG00000262188"
"20",10,"enrichment","glia.02","SIK3",10.9287013208815,1.26014637172885e-23,7.14547997997817e-21,9273,2.20343899888644,"ENSG00000160584"
"21",1,"enrichment","glia.03","GDF6",33.9707628776867,7.77482185402491e-105,1.23440846576354e-100,7053,4.20833636382716,"ENSG00000156466"
"22",2,"enrichment","glia.03","ENSG00000289644",30.6079803682746,2.74991122190822e-94,2.18301702351184e-90,10451,5.95744589275058,"ENSG00000289644"
