k10,n,passALL_metricQC,metric_fail,rank,cell_type_k10,median_sum,median_detected,median_Mito_percent,median_scDblFinder.score,sctype,sestan_EC,snDLPFC_PEC,anno
k1,12111,TRUE,NA,2,glia.02,8930,3507,0.075267199,0.001005286,Astrocytes,Astro.AQP4.CHRDL1/Astro.AQP4.GFAP,Astro,Astro.1
k21,4576,TRUE,NA,8,glia.08,4678,2367.5,0.113365307,8.11E-04,Astrocytes,Astro.AQP4.GFAP/Astro.AQP4.CHRDL1,Astro,Astro.2
k4,3321,TRUE,NA,10,glia.10,2799,1674,0.141643059,8.09E-04,Astrocytes,Astro.AQP4.GFAP/Astro.AQP4.CHRDL1,Astro,Astro.3
k13,585,TRUE,NA,15,glia.15,21206,5377,0.05369608,0.004044901,Astrocytes,Astro.AQP4.CHRDL1/Astro.AQP4.GFAP,Astro,Astro.5
k7,989,FALSE,"detected,sum",22,glia.22_QC,1103,812,0.366972477,6.73E-04,Astrocytes,NA,NA,Astro.6_QC
k19,175,FALSE,"detected,sum",25,glia.25_QC,898,711,0.293255132,7.31E-04,Astrocytes,NA,NA,Astro.7_QC
k3,100,FALSE,"detected,sum",26,glia.26_QC,636.5,527.5,0.299158065,6.91E-04,Astrocytes,NA,NA,Astro.8_QC
k14,444,TRUE,NA,17,glia.17,5053,2331,0.14527078,0.001247057,Endothelial cells,Endo.CLDN5.VWF/PC.CLDN5.ABCC9,Endo,Endo.1
k15,295,TRUE,NA,18,glia.18,9103,3276,0.150225338,0.001598275,Endothelial cells,Endo.CLDN5.VWF/PC.CLDN5.ABCC9,Endo,Endo.2
k10,480,TRUE,NA,16,glia.16,4377.5,2192.5,0.21576127,0.001247057,Glutamatergic neurons,EC.L2.CUX2.CALB1/EC.L5.RORB.TLL1/EC.L6.THEMIS.CDH13,L2.3.IT,Excit.1
k20,220,TRUE,NA,19,glia.19,6189.5,2801,0.148250182,0.005334344,Glutamatergic neurons,EC.L5.RORB.TLL1/EC.L2.CUX2.CALB1/EC.L6.THEMIS.CDH13*,L2.3.IT/Vip/L5.IT/L6.IT*,Excit.2
k17,307,FALSE,scDblFinder.score,23,glia.23_QC,14289,4954,0.262861434,0.998703361,Glutamatergic neurons,NA,NA,Excit.3_QC
k22,45,FALSE,scDblFinder.score,27,glia.27_QC,44418,8489,0.094581813,0.999133527,Glutamatergic neurons,NA,NA,Excit.4_QC
k23,29,FALSE,scDblFinder.score,28,glia.28_QC,65810,9606,0.088132503,0.999033451,Glutamatergic neurons,NA,NA,Excit.5_QC
k6,6587,TRUE,NA,6,glia.06,5053,2416,0.049578582,8.88E-04,Microglial cells,Micro.C1QB.P2RY12,Micro,Micro.1
k28,4453,TRUE,NA,9,glia.09,2975,1734,0.07821666,6.93E-04,Microglial cells,Micro.C1QB.P2RY12,Micro,Micro.2
k11,2249,TRUE,NA,12,glia.12,1948,1277,0.112803158,7.89E-04,Microglial cells,Micro.C1QB.P2RY12,Micro,Micro.3
k9,13450,TRUE,NA,1,glia.01,8427,3043,0.061785605,0.001774848,Oligodendrocytes,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098,Oligo,Oligo.1
k27,10192,TRUE,NA,4,glia.04,5559,2378,0.080914333,0.00113815,Oligodendrocytes,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098,Oligo,Oligo.2
k25,10185,TRUE,NA,5,glia.05,3834,1887,0.102522042,9.91E-04,Oligodendrocytes,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098,Oligo,Oligo.3
k12,6403,TRUE,NA,7,glia.07,2494,1490,0.163331972,8.09E-04,Oligodendrocytes,Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098/Oligo.OPALIN.SLC5A11*,VLMC*,Oligo.4
k5,614,TRUE,NA,14,glia.14,17020.5,4509,0.061269417,0.017274872,Oligodendrocytes,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.CPXM2.KANK4/Oligo.OPALIN.LINC01098,Oligo,Oligo.5
k18,3716,FALSE,detected,20,glia.20_QC,1912,1214,0.214132802,6.93E-04,Oligodendrocytes,NA,NA,Oligo.6_QC
k16,1743,FALSE,detected,21,glia.21_QC,1356,943,0.366300366,6.36E-04,Oligodendrocytes,NA,NA,Oligo.7_QC
k24,11541,TRUE,NA,3,glia.03,9383,3517,0.053900431,0.001228814,Oligodendrocyte precursor cells,OPC.PDGFRA.GRIA4,OPC,OPC.1
k26,2600,TRUE,NA,11,glia.11,4427,2269,0.073728193,7.71E-04,Oligodendrocyte precursor cells,OPC.PDGFRA.GRIA4,OPC,OPC.2
k8,194,FALSE,scDblFinder.score,24,glia.24_QC,25392,5910.5,0.047197938,0.971956134,Oligodendrocyte precursor cells,NA,NA,OPC.3_QC
k2,1065,TRUE,NA,13,glia.13,6942,2891,0.062021914,0.001247057,Astrocytes,VLMC.COL1A1.COL1A2,VLMC,VLMC.1
