Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,15,-0.4302,22,0.24495,13,-0.6786,38,1.16262,39,1.23102,0,-4.8708,12,-0.7828
ENSG00000188976,NOC2L,28,-0.6994,53,0.43439,40,-0.0459,74,1.01047,75,1.04360,8,-2.4282,23,-0.9357
ENSG00000188290,HES4,83,-0.0773,36,-1.3810,65,-0.4564,102,0.27689,70,-0.3460,183,1.31745,71,-0.3229
ENSG00000187608,ISG15,108,0.23462,26,-1.9786,61,-0.7182,118,0.35521,77,-0.3505,175,1.04233,93,-0.0559
ENSG00000188157,AGRN,38,0.35595,16,-1.0531,15,-1.1707,49,0.74467,43,0.52075,14,-1.2406,40,0.37863
ENSG00000078808,SDF4,72,-0.1053,70,-0.1259,53,-0.5899,86,0.19637,79,0.06113,61,-0.3480,116,0.71280
ENSG00000176022,B3GALT6,34,-0.1334,46,0.38251,38,0.08590,48,0.47688,46,0.38408,27,-0.4563,18,-1.1367
ENSG00000160087,UBE2J2,32,-0.3647,37,-0.0795,49,0.41591,64,0.86463,51,0.47339,2,-4.3035,42,0.14080
ENSG00000131584,ACAP3,59,-0.8486,141,0.67704,122,0.42322,113,0.28891,121,0.41003,83,-0.2189,60,-0.7230
ENSG00000127054,INTS11,34,-0.6316,58,0.29812,38,-0.3636,63,0.46158,53,0.16835,37,-0.4141,67,0.56090
ENSG00000224051,CPTP,30,-0.3631,41,0.22664,29,-0.3785,34,-0.1207,37,0.03382,59,0.82239,31,-0.2601
ENSG00000107404,DVL1,66,-0.0266,78,0.25822,95,0.58928,53,-0.3813,53,-0.3818,58,-0.2215,66,-0.0155
ENSG00000175756,AURKAIP1,164,-0.0642,168,-0.0225,173,0.02822,166,-0.0396,197,0.24850,122,-0.5394,206,0.31833
ENSG00000221978,CCNL2,30,-0.7060,46,0.08003,31,-0.5492,81,1.04923,62,0.59126,27,-0.7661,45,0.03177
ENSG00000242485,MRPL20,174,0.03523,225,0.46187,246,0.61738,153,-0.1770,139,-0.3300,91,-1.0050,165,-0.0597
ENSG00000235098,ANKRD65,13,-0.3120,30,1.11664,10,-0.7349,16,0.07265,12,-0.3817,0,-4.7298,30,1.12852
ENSG00000179403,VWA1,33,-0.7486,29,-0.8673,39,-0.3929,10,-2.3780,36,-0.5307,29,-0.8540,192,2.65561
ENSG00000197785,ATAD3A,10,-1.0874,24,0.43411,5,-1.8359,28,0.72977,20,0.14406,30,0.83309,20,0.10779
ENSG00000205090,TMEM240,38,-0.1670,59,0.59382,30,-0.4834,56,0.52133,65,0.76724,27,-0.6924,18,-1.3224
ENSG00000160075,SSU72,154,0.20723,167,0.31312,124,-0.1803,171,0.35374,148,0.10837,113,-0.3366,77,-0.9249
ENSG00000228594,FNDC10,45,0.01364,36,-0.3439,27,-0.8059,62,0.57360,68,0.74127,47,0.08881,25,-0.8910
ENSG00000272106,AL691432.2,16,-0.8767,33,0.34871,52,1.17913,27,0.04291,27,0.01998,21,-0.3529,20,-0.4851
ENSG00000197530,MIB2,34,-0.4471,37,-0.2399,32,-0.4834,42,-0.0491,92,1.34181,43,0.00771,31,-0.5273
ENSG00000189339,SLC35E2B,26,0.10736,29,0.27526,36,0.64889,29,0.29249,30,0.36568,0,-5.1986,19,-0.4090
ENSG00000215790,SLC35E2A,17,-0.4196,18,-0.3325,21,-0.0413,32,0.62581,14,-0.6360,40,1.03092,15,-0.6030
ENSG00000008130,NADK,23,-0.4231,35,0.36654,16,-0.8542,32,0.19107,44,0.73583,31,0.16193,23,-0.3320
ENSG00000078369,GNB1,410,0.16352,386,0.03991,377,0.00259,516,0.53073,388,0.04904,290,-0.4214,237,-0.7424
ENSG00000187730,GABRD,85,-0.2969,183,1.04786,68,-0.6214,200,1.21252,114,0.21174,47,-1.2009,19,-2.5125
ENSG00000067606,PRKCZ,177,-0.2032,178,-0.1683,207,0.07936,294,0.67240,333,0.90012,118,-0.8237,96,-1.1387
ENSG00000162585,FAAP20,77,0.59805,29,-1.0651,49,-0.2433,67,0.24867,59,0.04401,35,-0.8054,66,0.23584
ENSG00000157933,SKI,36,0.12134,47,0.55017,39,0.22832,39,0.22589,26,-0.4232,26,-0.4406,22,-0.6606
ENSG00000157916,RER1,41,-0.6381,48,-0.3194,60,0.04884,89,0.71829,59,0.00847,27,-1.2286,103,0.97066
ENSG00000157911,PEX10,30,-0.2892,33,-0.1115,41,0.25980,31,-0.2134,44,0.36129,31,-0.2212,42,0.29259
ENSG00000149527,PLCH2,19,0.62019,15,0.11132,6,-1.3138,24,0.90504,6,-1.1896,0,-4.8160,23,0.79060
ENSG00000197921,HES5,24,0.44486,39,1.21892,25,0.44287,8,-1.4123,9,-1.1947,11,-0.8507,14,-0.4844
ENSG00000157870,PRXL2B,40,-0.5785,56,0.02982,66,0.29037,76,0.53217,74,0.48968,68,0.34952,22,-1.4641
ENSG00000177133,PRDM16-DT,40,0.98810,17,-0.6095,20,-0.3405,7,-1.9502,23,-0.1380,34,0.47679,20,-0.3852
ENSG00000158109,TPRG1L,97,-0.4342,159,0.44632,149,0.33457,202,0.86264,131,0.11575,92,-0.4519,50,-1.3889
ENSG00000130764,LRRC47,56,-0.3398,74,0.16921,58,-0.2348,90,0.48871,58,-0.2277,91,0.51102,54,-0.3624
ENSG00000196581,AJAP1,12,-0.9915,56,1.68365,17,-0.3502,43,1.16176,33,0.67271,0,-5.4221,1,-3.8092
ENSG00000069424,KCNAB2,190,0.11426,265,0.66647,170,-0.0896,266,0.66925,168,-0.1037,145,-0.3402,39,-2.3209
ENSG00000116254,CHD5,110,-0.1623,127,0.09542,97,-0.3497,152,0.39967,242,1.23681,93,-0.4099,28,-2.2204
ENSG00000116251,RPL22,594,-0.1968,535,-0.3394,774,0.26936,290,-1.2911,384,-0.8635,1219,1.07288,882,0.49235
