Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to11,Feature log2 fold change topic 6to11
ENSG00000188976,NOC2L,1,-6.0249,204,1.80840,23,-2.1613,73,-0.7949
ENSG00000188290,HES4,238,0.33710,204,0.10932,920,2.93223,59,-2.5819
ENSG00000187608,ISG15,1,-6.0360,204,1.81094,194,1.13468,44,-1.8459
ENSG00000078808,SDF4,51,-1.3461,204,1.13370,228,1.01983,77,-1.2060
ENSG00000160087,UBE2J2,1,-6.0102,204,1.84110,21,-2.2798,72,-0.8181
ENSG00000131584,ACAP3,13,-3.6698,204,0.49226,88,-0.9244,176,0.30283
ENSG00000127054,INTS11,75,-0.4854,204,1.63080,119,0.22196,55,-1.5438
ENSG00000107404,DVL1,1,-6.3329,204,1.19907,20,-2.6499,114,-0.1450
ENSG00000175756,AURKAIP1,148,0.09822,204,0.81511,36,-2.0257,123,-0.3679
ENSG00000221978,CCNL2,1,-6.0099,204,1.87194,123,0.39697,53,-1.4609
ENSG00000242485,MRPL20,64,-1.2274,204,0.77857,179,0.36967,118,-0.5341
ENSG00000179403,VWA1,1,-5.9617,204,1.98908,151,0.79885,43,-1.8324
ENSG00000205090,TMEM240,1,-6.2171,204,1.42211,31,-1.9393,96,-0.4246
ENSG00000160075,SSU72,84,-1.2114,204,0.19540,102,-0.9134,206,0.36888
ENSG00000228594,FNDC10,2,-5.3222,204,2.04027,0,-7.0361,65,-0.9079
ENSG00000197530,MIB2,1,-5.9635,204,1.98443,91,-0.0325,53,-1.4043
ENSG00000078369,GNB1,187,-0.8521,204,-0.8593,386,0.27715,398,0.74653
ENSG00000187730,GABRD,1,-6.7487,204,0.50237,51,-1.7428,183,0.46249
ENSG00000067606,PRKCZ,432,1.18789,204,-0.0729,64,-1.8132,203,-0.1246
ENSG00000162585,FAAP20,1,-6.0515,204,1.77520,131,0.45252,57,-1.3768
ENSG00000157933,SKI,170,0.59389,204,1.24352,1,-6.2167,86,-0.8648
ENSG00000157916,RER1,40,-1.4287,204,1.62456,143,0.51767,57,-1.4668
ENSG00000197921,HES5,8,-4.0182,204,1.09930,33,-1.9869,120,-0.1258
ENSG00000157870,PRXL2B,1,-6.3611,204,1.14697,53,-1.2700,113,-0.2325
ENSG00000177133,PRDM16-DT,1,-5.6970,204,2.76585,0,-6.7921,39,-1.6340
ENSG00000158109,TPRG1L,189,0.27887,204,0.51524,103,-0.6790,141,-0.3549
