cluster,HumanPilot,spatialDLPFC,spatialHPC,sestan_EC
vInhib,Layer4,L4~Sp09D08/L3~Sp09D05,PV.FS/SST,InN.PVALB.PLCL1/InN.SST.EPB41L4A/InN.PVALB.MEPE/InN.LAMP5.CHST9/InN.LHX6.AC008415.1/InN.SST.OTOF/InN.PVALB.PLEKHH2/InN.VIP.NOX4/InN.LAMP5.KIT/InN.NR2F2.SLC17A8/InN.NR2F2.ANO2/InN.LAMP5.NMBR/InN.VIP.SCML4/InN.NR2F2.PTPRK/InN.VIP.ABI3BP/InN.VIP.CHRNA2/InN.VIP.PENK/InN.NR2F2.DDR2/InN.VIP.SCTR
vL1,Layer1,L1~Sp09D02,Astro.3/Astro.1,Astro.AQP4.CHRDL1/Astro.AQP4.GFAP
vL2,Layer2/Layer3,L3~Sp09D05/L2~Sp09D03,L2.3.3,EC.L2.CUX2.CALB1/EC.L2.CUX2.PDGFD
vL3,Layer3,L3~Sp09D05,L2.3.3/L2.3.2/L2.3.6*,EC.L3.PCP4.ADARB2/EC.L2.CUX2.CALB1*
vL5,Layer5,L5~Sp09D04,L5.1,EC.L5.RORB.TLL1
vL6,Layer6,L6~Sp09D07,L6b/L6.2,EC.L6b.TLE4.CCN2/EC.L6.TLE4.SULF1
vLD,Layer3,L3~Sp09D05/L4~Sp09D08,L2.3.2/L2.3.4/L2.3.3/L2.3.6,EC.L3.PCP4.ADARB2/EC.L2.CUX2.CALB1
vVasc,Layer1,L1~Sp09D01,VLMC/PC.SMC/Endo.1,PC.CLDN5.ABCC9/aSMC.ACTA2.TAGLN/VLMC.COL1A1.COL1A2/Endo.CLDN5.VWF/vSMC.ABCC9.P2RY14
vWMd,WM,WM~Sp09D06,Oligo.2/Oligo.1,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4
vWMim,WM,WM~Sp09D06,Oligo.2/Oligo.1,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LAMA2/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4
vWMuf,WM,WM~Sp09D06/WM~Sp09D09,Oligo.1/Oligo.2*,Oligo.OPALIN.LAMA2/Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098/Oligo.CPXM2.KANK4*
