Factor,term,p.value,adj_pvalue,signif
Factor1,APOE_carrier,0.6078668532107134,1,
Factor2,APOE_carrier,0.7956748395940342,1,
Factor3,APOE_carrier,0.2808282416406571,1,
Factor4,APOE_carrier,0.013912442374950177,0.09738709662465124,
Factor5,APOE_carrier,0.1895009826312984,1,
Factor6,APOE_carrier,0.3917982203564969,1,
Factor7,APOE_carrier,0.6758164675277065,1,
Factor1,Ancestry,0.6111212457774335,1,
Factor2,Ancestry,0.6272182334052404,1,
Factor3,Ancestry,0.9506745411585927,1,
Factor4,Ancestry,0.1286406367640472,0.9004844573483304,
Factor5,Ancestry,0.3034884898917697,1,
Factor6,Ancestry,0.4029519486504587,1,
Factor7,Ancestry,0.45989649009219635,1,
Factor1,taupathy,0.2635843653779552,1,
Factor2,taupathy,0.4377769655889009,1,
Factor3,taupathy,0.7793385850696234,1,
Factor4,taupathy,0.0021092077445532833,0.014764454211872982,*
Factor5,taupathy,0.5615161981577748,1,
Factor6,taupathy,0.11735806581513701,0.704148394890822,
Factor7,taupathy,0.9628326425360823,1,
Factor1,Sex,0.25020970507259727,1,
Factor2,Sex,0.9166797910894836,1,
Factor3,Sex,0.8206888611203025,1,
Factor4,Sex,0.061623880496891895,0.4313671634782433,
Factor5,Sex,0.40598061908797045,1,
Factor6,Sex,0.43295023347649475,1,
Factor7,Sex,0.38564157041405134,1,
Factor1,Age,0.7815414645004419,1,
Factor2,Age,0.9839470967630933,1,
Factor3,Age,0.10115156486061005,0.7080609540242704,
Factor4,Age,0.11803248133615679,0.7081948880169407,
Factor5,Age,0.6622208896791559,1,
Factor6,Age,0.19447528825637983,0.9723764412818992,
Factor7,Age,0.8891613891903554,1,
Factor1,Braak,0.2519327755055708,1,
Factor2,Braak,0.5623222030725532,1,
Factor3,Braak,0.5388764163992504,1,
Factor4,Braak,0.23452244415897322,1,
Factor5,Braak,0.473915670606481,1,
Factor6,Braak,0.6602554047629207,1,
Factor7,Braak,0.912868169534369,1,
Factor1,CERAD,0.7807802782884288,1,
Factor2,CERAD,0.8138923902782798,1,
Factor3,CERAD,0.3150930619544857,1,
Factor4,CERAD,0.33739981598632257,1,
Factor5,CERAD,0.5419231304565622,1,
Factor6,CERAD,0.6343254025475811,1,
Factor7,CERAD,0.7553052489311847,1,
