Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,3,-2.7843,36,0.80788,31,0.59465,16,-0.4874,16,-0.4832,24,0.11697,33,0.64143,8,-1.4472
ENSG00000188976,NOC2L,106,1.01392,94,0.81384,39,-0.6655,39,-0.6073,55,-0.0756,68,0.30371,47,-0.3342,21,-1.5308
ENSG00000188290,HES4,101,0.15128,93,0.02552,57,-0.7994,63,-0.5928,75,-0.3256,114,0.40541,222,1.51615,21,-2.2397
ENSG00000187608,ISG15,57,-0.4811,107,0.52489,34,-1.3392,62,-0.3343,48,-0.7390,119,0.82623,117,0.68447,74,-0.0574
ENSG00000188157,AGRN,3,-3.0497,47,0.83598,36,0.45867,35,0.36222,18,-0.7106,27,-0.0662,33,0.25705,19,-0.6295
ENSG00000078808,SDF4,50,-0.5555,92,0.41180,76,0.12130,55,-0.4109,48,-0.6281,81,0.23297,77,0.13167,77,0.11397
ENSG00000176022,B3GALT6,3,-3.0453,49,1.01368,22,-0.3157,23,-0.1946,39,0.62232,33,0.41878,29,0.15347,11,-1.3709
ENSG00000160087,UBE2J2,3,-3.6690,55,0.47077,39,-0.0783,44,0.12582,34,-0.2780,65,0.87900,30,-0.4958,35,-0.2328
ENSG00000131584,ACAP3,351,1.66857,108,-0.3407,151,0.21882,84,-0.7333,159,0.27708,88,-0.7325,86,-0.7037,76,-0.8784
ENSG00000127054,INTS11,94,0.55843,87,0.42698,66,-0.0234,40,-0.8056,42,-0.7269,57,-0.2858,81,0.30699,79,0.27229
ENSG00000224051,CPTP,3,-3.2239,47,0.73634,27,-0.1592,31,0.02599,24,-0.3214,39,0.46674,43,0.56077,20,-0.6010
ENSG00000107404,DVL1,3,-4.4566,45,-0.6962,92,0.47796,92,0.41486,83,0.26359,92,0.49604,69,-0.0311,47,-0.6281
ENSG00000175756,AURKAIP1,122,-0.2042,127,-0.1406,126,-0.1692,140,0.01659,121,-0.2202,143,0.05712,219,0.74959,120,-0.2279
ENSG00000221978,CCNL2,236,2.19495,76,0.13495,53,-0.4877,24,-1.6387,49,-0.5328,46,-0.7178,58,-0.2962,57,-0.3137
ENSG00000242485,MRPL20,426,1.24861,172,-0.2643,205,0.01436,147,-0.5166,183,-0.1695,179,-0.2278,156,-0.4173,184,-0.1654
ENSG00000179403,VWA1,79,0.43342,13,-2.2929,27,-1.3201,26,-1.3045,25,-1.3305,17,-2.0527,80,0.45479,292,3.06599
ENSG00000197785,ATAD3A,3,-2.2661,19,0.32110,19,0.36684,27,0.89294,11,-0.5675,15,0.00165,15,-0.0497,11,-0.4789
ENSG00000205090,TMEM240,77,0.39749,95,0.74654,37,-0.8496,56,-0.1141,88,0.60359,81,0.54567,43,-0.5459,10,-2.6210
ENSG00000160075,SSU72,42,-1.8854,191,0.46203,127,-0.2148,139,-0.0528,197,0.51255,182,0.43734,126,-0.2132,125,-0.2236
ENSG00000228594,FNDC10,67,0.90024,46,0.26492,29,-0.4705,40,0.05718,27,-0.5589,47,0.34649,44,0.20515,11,-1.8895
ENSG00000272106,AL691432.2,45,0.75651,23,-0.2890,31,0.15379,18,-0.6610,18,-0.6727,34,0.33559,15,-0.9185,32,0.22366
