test,g_cell_type,n,cor
Oligo.1,o1,411,-0.4213429280627007
Oligo.1,o2,394,0.3170668104796637
Oligo.1,o3,96,0.3034453773282191
Oligo.1,o4,651,-0.6556795129195354
Oligo.1,o5,95,0.7063523279348799
Oligo.1,o6,212,0.511326200977686
Oligo.2,o1,411,-0.39371709442079394
Oligo.2,o2,394,0.3972654684978912
Oligo.2,o3,96,0.2883027187844019
Oligo.2,o4,651,-0.6273666914999142
Oligo.2,o5,95,0.5439999434297605
Oligo.2,o6,212,0.4239644473627438
Oligo.3,o1,411,0.48307565035695277
Oligo.3,o2,394,-0.4272964706176587
Oligo.3,o3,96,-0.4272468356125149
Oligo.3,o4,651,0.7524665897491022
Oligo.3,o5,95,-0.6512348072415212
Oligo.3,o6,212,-0.5416082132501557
Oligo.4,o1,411,-0.08971311934822358
Oligo.4,o2,394,0.036751719223752456
Oligo.4,o3,96,0.2819310653397461
Oligo.4,o4,651,-0.3349468600941101
Oligo.4,o5,95,0.3584410667616508
Oligo.4,o6,212,0.12368401674140088
Oligo.5,o1,411,0.2299773111939779
Oligo.5,o2,394,-0.2132549447697831
Oligo.5,o3,96,-0.2031632039925037
Oligo.5,o4,651,0.48161735710325504
Oligo.5,o5,95,-0.6110250681558586
Oligo.5,o6,212,-0.315531016889133
