test,data,Sadick_cluster,n,cor
Oligo.1,Integrated,Sadick_Int0,4,0.061160687365817
Oligo.1,Integrated,Sadick_Int1,87,0.07018620128172914
Oligo.1,Integrated,Sadick_Int2,34,-0.6638951044165806
Oligo.1,Integrated,Sadick_Int3,85,-0.3387680469903909
Oligo.1,Integrated,Sadick_Int4,52,-0.11658785624375753
Oligo.1,Integrated,Sadick_Int5,307,-0.3736992370085459
Oligo.1,Integrated,Sadick_Int6,246,-0.1871957941925965
Oligo.1,Sadick,Sadick_S0,72,-0.08737746685800592
Oligo.1,Sadick,Sadick_S1,323,0.33931775427119326
Oligo.1,Sadick,Sadick_S2,269,-0.3329747563428876
Oligo.1,Sadick,Sadick_S3,199,-0.5719051686417044
Oligo.1,Sadick,Sadick_S4,452,-0.27611661102275065
Oligo.2,Integrated,Sadick_Int0,4,0.9706471283547091
Oligo.2,Integrated,Sadick_Int1,87,-0.12180536356350244
Oligo.2,Integrated,Sadick_Int2,34,-0.649842570663556
Oligo.2,Integrated,Sadick_Int3,85,0.6345397666973451
Oligo.2,Integrated,Sadick_Int4,52,-0.49530172846373133
Oligo.2,Integrated,Sadick_Int5,307,0.3739127608620239
Oligo.2,Integrated,Sadick_Int6,246,-0.07562695514448885
Oligo.2,Sadick,Sadick_S0,72,0.3284821069153343
Oligo.2,Sadick,Sadick_S1,323,0.22791234561297433
Oligo.2,Sadick,Sadick_S2,269,0.308643311942769
Oligo.2,Sadick,Sadick_S3,199,-0.6186879886106353
Oligo.2,Sadick,Sadick_S4,452,-0.10396133710031187
Oligo.3,Integrated,Sadick_Int0,4,-0.6776371060979798
Oligo.3,Integrated,Sadick_Int1,87,0.050309136866975274
Oligo.3,Integrated,Sadick_Int2,34,0.6197311136898851
Oligo.3,Integrated,Sadick_Int3,85,-0.15987184301613788
Oligo.3,Integrated,Sadick_Int4,52,0.48742439205989746
Oligo.3,Integrated,Sadick_Int5,307,0.10795865256787555
Oligo.3,Integrated,Sadick_Int6,246,0.20943222349590396
Oligo.3,Sadick,Sadick_S0,72,-0.18872138061958485
Oligo.3,Sadick,Sadick_S1,323,-0.3332010906329764
Oligo.3,Sadick,Sadick_S2,269,0.12329566329126897
Oligo.3,Sadick,Sadick_S3,199,0.707184404328969
Oligo.3,Sadick,Sadick_S4,452,0.14259461446771277
Oligo.4,Integrated,Sadick_Int0,4,-0.6639468570425143
Oligo.4,Integrated,Sadick_Int1,87,0.16484462155497634
Oligo.4,Integrated,Sadick_Int2,34,0.6222497156646968
Oligo.4,Integrated,Sadick_Int3,85,-0.5617799000023878
Oligo.4,Integrated,Sadick_Int4,52,-0.07366912354821453
Oligo.4,Integrated,Sadick_Int5,307,-0.2792789576236508
Oligo.4,Integrated,Sadick_Int6,246,-0.07192235387781674
Oligo.4,Sadick,Sadick_S0,72,-0.316300986549387
Oligo.4,Sadick,Sadick_S1,323,0.05692494137690287
Oligo.4,Sadick,Sadick_S2,269,-0.25918486050895584
Oligo.4,Sadick,Sadick_S3,199,-0.07001988194928778
Oligo.4,Sadick,Sadick_S4,452,-0.18780183695732106
Oligo.5,Integrated,Sadick_Int0,4,-0.1061412539821859
Oligo.5,Integrated,Sadick_Int1,87,-0.052588808237559716
Oligo.5,Integrated,Sadick_Int2,34,0.6431363768769842
Oligo.5,Integrated,Sadick_Int3,85,0.21512111236732198
Oligo.5,Integrated,Sadick_Int4,52,0.26939348977108324
Oligo.5,Integrated,Sadick_Int5,307,0.11209606432816767
Oligo.5,Integrated,Sadick_Int6,246,0.10458702420997071
Oligo.5,Sadick,Sadick_S0,72,0.07449464240324503
Oligo.5,Sadick,Sadick_S1,323,-0.17261305852605943
Oligo.5,Sadick,Sadick_S2,269,0.09065700716164887
Oligo.5,Sadick,Sadick_S3,199,0.5200080698108777
Oligo.5,Sadick,Sadick_S4,452,0.3280746823159066
