Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000188976,NOC2L,3,-3.4214,142,2.42588,24,-0.6353,33,-0.1874,54,0.61421,19,-1.0504,25,-0.6975
ENSG00000188290,HES4,3,-4.4404,80,0.11729,213,1.80062,37,-1.1403,159,1.26163,11,-2.9353,89,0.36711
ENSG00000187608,ISG15,3,-5.3346,59,-1.2957,192,0.52950,31,-2.3694,195,0.54967,119,-0.2691,258,1.45913
ENSG00000078808,SDF4,209,0.72437,123,-0.1290,100,-0.4554,49,-1.6342,303,1.36962,201,0.76081,79,-0.9690
ENSG00000160087,UBE2J2,3,-3.5173,136,2.17918,44,0.17182,28,-0.5851,1,-4.5363,81,1.43328,10,-2.3162
ENSG00000131584,ACAP3,3,-4.7926,283,1.88158,88,-0.1183,49,-1.0938,105,0.15924,144,0.76362,61,-0.8308
ENSG00000127054,INTS11,536,3.52998,79,-0.2080,65,-0.5034,18,-2.5417,16,-2.5881,102,0.21309,20,-2.5419
ENSG00000107404,DVL1,3,-4.1050,107,0.97775,51,-0.2124,33,-0.9840,49,-0.3036,98,0.95387,59,0.00463
ENSG00000175756,AURKAIP1,255,1.47922,127,0.28893,108,0.02847,54,-1.1099,11,-3.3205,186,1.07125,62,-0.9881
ENSG00000221978,CCNL2,120,1.31487,130,1.46160,42,-0.3918,13,-2.2021,1,-5.0045,65,0.31535,49,-0.1835
ENSG00000242485,MRPL20,267,1.42469,179,0.72631,168,0.62668,43,-1.6021,70,-0.7562,102,-0.1942,95,-0.3616
ENSG00000179403,VWA1,4,-6.0140,24,-3.5410,111,-1.3120,32,-3.2744,166,-0.7012,986,3.29194,178,-0.7181
ENSG00000205090,TMEM240,3,-3.6053,213,3.09782,50,0.29538,34,-0.3619,58,0.52434,4,-3.5017,19,-1.3415
ENSG00000160075,SSU72,3,-4.8645,232,1.41199,130,0.42634,76,-0.4606,118,0.27048,102,0.03139,87,-0.2781
ENSG00000078369,GNB1,238,0.09044,377,0.84675,289,0.40143,142,-0.7710,217,-0.0540,284,0.42544,166,-0.5692
